design_name,design_id,recipe_id,flow_mode,total_input_bits,total_output_bits,total_register_bits,total_logic_operator_bits,total_adder_sub_bits,total_multiplier_bits,total_comparator_bits,total_multiplexer_bits,total_shift_bits,total_division_bits,total_memory_write_addr_bits,total_memory_write_addr_width,total_memory_read_addr_bits,total_memory_read_addr_width,average_tree_depth,average_wire_width,worst_slack_ns,total_negative_slack_ns,run_utc,run_id,top_module,clock_port,abc_fast_cfg,clock_period_ns_cfg,max_fanout_cfg,max_transition_ns_cfg,max_capacitance_ff_cfg,fanout_load_cfg,num_rtl_files,ast_json_path,ast_log_path,netlist_path,sdc_path,run_dir,area_um2,clock_period_ns_sta,utilization_pct,tool_runtime_s,status,error_stage,error_message
flopoco_00000_ieeefpfma,flopoco_00000,base,fast,101,32,1006,426,460,48,23,1618,0,0,0,0,0,0,8.620842572062084,7.038039502560351,-0.553700,-98.973142,2026-04-19T03:09:48+00:00,flopoco_00000_ieeefpfma__base,flopoco_00000_ieeefpfma_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00000_ieeefpfma.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00000_ieeefpfma.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00000_ieeefpfma__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00000_ieeefpfma__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00000_ieeefpfma__base,15181.6835,1.000000,2.50,53.043,success,,
flopoco_00001_fpconstdiv,flopoco_00001,base,fast,35,34,0,95,122,0,4349,805,0,0,0,0,0,0,5.401226993865031,7.6402289452166805,-1.348285,-29.185029,2026-04-19T03:09:48+00:00,flopoco_00001_fpconstdiv__base,flopoco_00001_fpconstdiv_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00001_fpconstdiv.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00001_fpconstdiv.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00001_fpconstdiv__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00001_fpconstdiv__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00001_fpconstdiv__base,3525.2981,1.000000,0.58,45.027,success,,
flopoco_00002_fpsqrt,flopoco_00002,base,fast,21,20,141,16,269,0,9,140,0,0,0,0,0,0,2.5657894736842106,7.057268722466961,-0.136243,-1.500160,2026-04-19T03:09:48+00:00,flopoco_00002_fpsqrt__base,flopoco_00002_fpsqrt_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00002_fpsqrt.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00002_fpsqrt.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00002_fpsqrt__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00002_fpsqrt__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00002_fpsqrt__base,2470.3419,1.000000,0.41,40.723,success,,
flopoco_00003_fpcomparator,flopoco_00003,base,fast,133,3,0,79,0,0,138,10,0,0,0,0,0,0,1.9263157894736842,1.9323843416370108,0.044640,0.000000,2026-04-19T03:09:48+00:00,flopoco_00003_fpcomparator__base,flopoco_00003_fpcomparator_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00003_fpcomparator.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00003_fpcomparator.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00003_fpcomparator__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00003_fpcomparator__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00003_fpcomparator__base,1256.5839,1.000000,0.21,46.574,success,,
flopoco_00004_fpcomparator,flopoco_00004,base,fast,97,3,0,79,0,0,102,10,0,0,0,0,0,0,1.9263157894736842,1.6761565836298933,0.111507,0.000000,2026-04-19T03:09:48+00:00,flopoco_00004_fpcomparator__base,flopoco_00004_fpcomparator_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00004_fpcomparator.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00004_fpcomparator.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00004_fpcomparator__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00004_fpcomparator__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00004_fpcomparator__base,1164.8140,1.000000,0.19,47.694,success,,
flopoco_00005_fpsqrt,flopoco_00005,base,fast,67,66,1235,57,3354,0,9,1698,0,0,0,0,0,0,5.5265017667844525,21.090801886792452,-0.632471,-98.090648,2026-04-19T03:09:48+00:00,flopoco_00005_fpsqrt__base,flopoco_00005_fpsqrt_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00005_fpsqrt.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00005_fpsqrt.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00005_fpsqrt__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00005_fpsqrt__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00005_fpsqrt__base,16592.2813,1.000000,2.73,52.958,success,,
flopoco_00006_fpadd,flopoco_00006,base,fast,85,42,92,253,189,0,311,576,0,0,0,0,0,0,4.527638190954774,6.107794361525705,-0.911823,-50.055943,2026-04-19T03:09:48+00:00,flopoco_00006_fpadd__base,flopoco_00006_fpadd_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00006_fpadd.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00006_fpadd.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00006_fpadd__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00006_fpadd__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00006_fpadd__base,4269.5660,1.000000,0.70,48.137,success,,
flopoco_00007_fpconstmult,flopoco_00007,base,fast,67,66,0,4,525,0,8,59,0,0,0,0,0,0,0.7619047619047619,27.045454545454547,-1.510799,-94.083030,2026-04-19T03:09:48+00:00,flopoco_00007_fpconstmult__base,flopoco_00007_fpconstmult_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00007_fpconstmult.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00007_fpconstmult.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00007_fpconstmult__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00007_fpconstmult__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00007_fpconstmult__base,7250.0961,1.000000,1.19,50.741,success,,
flopoco_00008_ieeefpadd,flopoco_00008,base,fast,65,32,648,258,155,0,118,547,0,0,0,0,0,0,5.354330708661418,5.6005256241787125,-2.073013,-108.305417,2026-04-19T03:09:48+00:00,flopoco_00008_ieeefpadd__base,flopoco_00008_ieeefpadd_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00008_ieeefpadd.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00008_ieeefpadd.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00008_ieeefpadd__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00008_ieeefpadd__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00008_ieeefpadd__base,7429.3798,1.000000,1.22,45.017,success,,
flopoco_00009_fpconstmult,flopoco_00009,base,fast,19,18,0,4,12,0,8,6,0,0,0,0,0,0,0.5833333333333334,2.263157894736842,-1.510799,-94.083030,2026-04-19T03:09:48+00:00,flopoco_00009_fpconstmult__base,flopoco_00009_fpconstmult_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00009_fpconstmult.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00009_fpconstmult.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00009_fpconstmult__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00009_fpconstmult__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00009_fpconstmult__base,7250.0961,1.000000,1.19,46.714,success,,
