run_utc,run_id,design_name,design_id,recipe_id,flow_mode,top_module,clock_port,abc_fast_cfg,clock_period_ns_cfg,max_fanout_cfg,max_transition_ns_cfg,max_capacitance_ff_cfg,fanout_load_cfg,num_rtl_files,ast_json_path,ast_log_path,netlist_path,sdc_path,run_dir,area_um2,worst_slack_ns,total_negative_slack_ns,clock_period_ns_sta,utilization_pct,tool_runtime_s,status,error_stage,error_message
2026-04-06T02:43:45+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap40_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p16_cap40_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.16,40.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap40_fload1,21039.0034,-0.225215,-243.260764,0.250000,3.47,193.662,success,,
2026-04-06T02:43:45+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap60_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p16_cap60_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.16,60.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap60_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap60_fload1,21331.8696,-0.194168,-217.542087,0.250000,3.51,181.670,success,,
2026-04-06T02:43:45+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap80_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p16_cap80_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.16,80.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap80_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p16_cap80_fload1,21065.8708,-0.208178,-214.926962,0.250000,3.47,190.949,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap40_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p24_cap40_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.24,40.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap40_fload1,21039.0034,-0.225215,-243.260764,0.250000,3.47,197.444,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap60_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p24_cap60_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.24,60.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap60_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap60_fload1,21324.6878,-0.195388,-220.861955,0.250000,3.51,189.652,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap80_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p24_cap80_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.24,80.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap80_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p24_cap80_fload1,21065.8708,-0.208178,-214.926962,0.250000,3.47,199.986,success,,
2026-04-06T02:43:45+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap40_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p2_cap40_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.2,40.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap40_fload1,21039.0034,-0.225215,-243.260764,0.250000,3.47,189.283,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap60_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p2_cap60_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.2,60.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap60_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap60_fload1,21322.8262,-0.195242,-220.760817,0.250000,3.51,222.411,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap80_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo16_tr0p2_cap80_fload1,full,ac97_top,clk_i,True,0.25,16.0,0.2,80.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap80_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo16_tr0p2_cap80_fload1,21065.8708,-0.208178,-214.926962,0.250000,3.47,225.935,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap40_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo32_tr0p16_cap40_fload1,full,ac97_top,clk_i,True,0.25,32.0,0.16,40.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap40_fload1,21804.0199,-0.270645,-244.636233,0.250000,3.59,201.418,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap60_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo32_tr0p16_cap60_fload1,full,ac97_top,clk_i,True,0.25,32.0,0.16,60.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap60_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap60_fload1,20985.8033,-0.252145,-219.995065,0.250000,3.46,193.225,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap80_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo32_tr0p16_cap80_fload1,full,ac97_top,clk_i,True,0.25,32.0,0.16,80.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap80_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo32_tr0p16_cap80_fload1,20849.0807,-0.223865,-220.198891,0.250000,3.43,174.093,success,,
2026-04-06T02:43:46+00:00,ac97_ctrl__abcfast_clk0p25_fo32_tr0p24_cap40_fload1,ac97_ctrl,iwls05_0001,abcfast_clk0p25_fo32_tr0p24_cap40_fload1,full,ac97_top,clk_i,True,0.25,32.0,0.24,40.0,1.0,16,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast/ac97_ctrl.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/results/ast_logs/ac97_ctrl.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/ac97_ctrl__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/ac97_ctrl__abcfast_clk0p25_fo32_tr0p24_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/runs/ac97_ctrl__abcfast_clk0p25_fo32_tr0p24_cap40_fload1,21802.4248,-0.270463,-244.880120,0.250000,3.59,137.937,success,,
