design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
i2c,,total_negative_slack_ns,,0.160720527805338,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
i2c,2.0,total_negative_slack_ns,288.0,-18.134523391723636,49.47115707397461,50.39728546142578,-33.42695617675781,0.0,-7.131219863891602,42.339935302734375,49.47115707397461,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
i2c,2.0,total_negative_slack_ns,288.0,-3.441908359527588,22.10415267944336,24.281925201416016,-33.42695617675781,0.0,-7.131219863891602,14.972932815551758,22.10415267944336,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s1196,,total_negative_slack_ns,,-7.503229315838038,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s1196,1.0,total_negative_slack_ns,288.0,-4.102504730224609,6.308896541595459,6.548590660095215,-8.146805763244629,0.0,-2.3030331134796143,4.005863666534424,6.308896541595459,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s1196,1.0,total_negative_slack_ns,288.0,0.8578231930732727,0.8873235583305359,1.0931267738342283,-8.146805763244629,0.0,-2.3030331134796143,-1.6972625255584717,0.6057707667350769,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s1238,,total_negative_slack_ns,,0.4164547657792334,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s1238,3.0,total_negative_slack_ns,288.0,-2.793030261993408,6.015931606292725,6.260206699371338,-9.127351760864258,0.0,-2.787226438522339,3.2287051677703857,6.015931606292725,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
s1238,3.0,total_negative_slack_ns,288.0,0.7258912920951843,1.410017490386963,1.6828947067260742,-9.127351760864258,0.0,-2.787226438522339,-1.562469244003296,1.2247570753097534,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp_seed_sweep_new_ast\run_005\design_metrics.csv
s13207,,total_negative_slack_ns,,-0.156387173140041,,,,,,,,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\tns_cross_validation_best_epoch_per_design_summary.csv
s13207,1.0,total_negative_slack_ns,288.0,-0.0484344959259033,38.38845443725586,56.67078399658203,-152.84768676757812,0.0,-39.19118118286133,-19.66940689086914,19.521774291992188,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_084\design_metrics.csv
