epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,-1.90012526512146,-0.6943662166595459,-0.08973288536071777,-0.22628331184387207
2,-1.6210601329803467,-0.5661524534225464,-0.08892035484313965,-0.2256990671157837
3,-1.3668036460876465,-0.45224010944366455,-0.08811414241790771,-0.22514450550079346
4,-1.1372342109680176,-0.34985578060150146,-0.08730709552764893,-0.22461843490600586
5,-0.9318118095397949,-0.2577773332595825,-0.08650219440460205,-0.22411847114562988
6,-0.7489994764328003,-0.17523372173309326,-0.08569908142089844,-0.2236461639404297
7,-0.5863710641860962,-0.1016550064086914,-0.08489847183227539,-0.2232058048248291
8,-0.4410008192062378,-0.03657078742980957,-0.0840984582901001,-0.22279155254364014
9,-0.31023478507995605,0.020622074604034424,-0.08329892158508301,-0.22240543365478516
10,-0.1919187307357788,0.07084745168685913,-0.08250105381011963,-0.2220456600189209
11,-0.08437597751617432,0.1154029369354248,-0.08170497417449951,-0.2217162847518921
12,0.013743996620178223,0.15582597255706787,-0.080910325050354,-0.22141361236572266
13,0.10352957248687744,0.19358885288238525,-0.08011674880981445,-0.22113680839538574
14,0.18576723337173462,0.22979068756103516,-0.07932794094085693,-0.2208881378173828
15,0.2609531879425049,0.26501893997192383,-0.07854056358337402,-0.2206641435623169
16,0.32937318086624146,0.29933828115463257,-0.07775437831878662,-0.2204655408859253
17,0.3912208080291748,0.3324093818664551,-0.07696712017059326,-0.22029554843902588
18,0.44669270515441895,0.3637040853500366,-0.07617998123168945,-0.22014856338500977
19,0.496019184589386,0.39285051822662354,-0.07539725303649902,-0.22002780437469482
20,0.5394629240036011,0.41984349489212036,-0.07461833953857422,-0.21993088722229004
21,0.5773122310638428,0.4449971318244934,-0.07384347915649414,-0.21985900402069092
22,0.6099317073822021,0.46876639127731323,-0.07306492328643799,-0.21980929374694824
23,0.6377888917922974,0.49160510301589966,-0.07228946685791016,-0.2197805643081665
24,0.6614274978637695,0.513863742351532,-0.07151556015014648,-0.21977579593658447
25,0.6814582347869873,0.5357370376586914,-0.07074165344238281,-0.21979403495788574
26,0.6984955072402954,0.5572413206100464,-0.0699758529663086,-0.21983182430267334
27,0.7131223082542419,0.578250527381897,-0.06921112537384033,-0.21989119052886963
28,0.725877046585083,0.5985555648803711,-0.06844544410705566,-0.2199702262878418
29,0.7372252941131592,0.6179419159889221,-0.06768202781677246,-0.22006964683532715
30,0.7475503087043762,0.6362273693084717,-0.06691694259643555,-0.22018790245056152
31,0.7571420669555664,0.6532840728759766,-0.06615638732910156,-0.22032666206359863
32,0.7661973834037781,0.669020414352417,-0.06539487838745117,-0.22048258781433105
33,0.7748217582702637,0.6833667755126953,-0.06463801860809326,-0.2206566333770752
34,0.7830508351325989,0.6962666511535645,-0.06388092041015625,-0.2208486795425415
35,0.7908701300621033,0.7076702117919922,-0.06312894821166992,-0.22105979919433594
36,0.7982398271560669,0.7175502777099609,-0.06237936019897461,-0.22128713130950928
37,0.805112898349762,0.7258994579315186,-0.061627864837646484,-0.2215331792831421
38,0.8114540576934814,0.7327458262443542,-0.060878634452819824,-0.22179484367370605
39,0.817245602607727,0.7381546497344971,-0.06013214588165283,-0.22207283973693848
40,0.8224960565567017,0.7422338128089905,-0.05938899517059326,-0.22236871719360352
41,0.8272322416305542,0.7451303005218506,-0.058644890785217285,-0.2226790189743042
42,0.8315041661262512,0.7470303773880005,-0.05790424346923828,-0.22300565242767334
43,0.8353705406188965,0.7481470108032227,-0.05716288089752197,-0.22334730625152588
44,0.8388879299163818,0.7487064599990845,-0.056424856185913086,-0.22370648384094238
45,0.8421136140823364,0.7489324808120728,-0.055690646171569824,-0.22407782077789307
46,0.8450856804847717,0.7490243911743164,-0.05495607852935791,-0.22446668148040771
47,0.8478291034698486,0.7491451501846313,-0.05422496795654297,-0.2248702049255371
48,0.8503552079200745,0.74941086769104,-0.05349528789520264,-0.2252875566482544
49,0.8526650667190552,0.7498897314071655,-0.052764296531677246,-0.22571837902069092
50,0.8547539710998535,0.7506067156791687,-0.05203652381896973,-0.22616422176361084
51,0.8566204309463501,0.7515514492988586,-0.051311612129211426,-0.22662341594696045
52,0.8582666516304016,0.7526943683624268,-0.050585150718688965,-0.22709405422210693
53,0.8597037196159363,0.7539945244789124,-0.04986572265625,-0.22758173942565918
54,0.8609504699707031,0.7554088830947876,-0.04914665222167969,-0.22807848453521729
55,0.862034022808075,0.7568953633308411,-0.048424482345581055,-0.228590726852417
56,0.862984299659729,0.7584143877029419,-0.04770708084106445,-0.22911417484283447
57,0.8638327717781067,0.7599323391914368,-0.04699277877807617,-0.22964930534362793
58,0.8646080493927002,0.7614120244979858,-0.0462796688079834,-0.23019695281982422
59,0.8653327226638794,0.7628208994865417,-0.04556596279144287,-0.23075640201568604
60,0.8660216927528381,0.7641294598579407,-0.04485774040222168,-0.23132646083831787
61,0.8666859865188599,0.7653135061264038,-0.04414629936218262,-0.23190784454345703
62,0.8673295378684998,0.766355574131012,-0.04343819618225098,-0.23249852657318115
63,0.8679533004760742,0.7672528028488159,-0.0427325963973999,-0.23310112953186035
64,0.8685550689697266,0.7680084705352783,-0.04202628135681152,-0.23371291160583496
65,0.8691331148147583,0.7686336040496826,-0.041324734687805176,-0.23433637619018555
66,0.8696879148483276,0.7691452503204346,-0.04062294960021973,-0.234968900680542
67,0.8702194094657898,0.7695620059967041,-0.03992187976837158,-0.23561084270477295
68,0.8707307577133179,0.7699006795883179,-0.03922474384307861,-0.23626172542572021
69,0.8712245225906372,0.7701779007911682,-0.038527727127075195,-0.236922025680542
70,0.8717061281204224,0.7704061269760132,-0.03783261775970459,-0.23759186267852783
71,0.8721774220466614,0.7705944180488586,-0.0371394157409668,-0.23826909065246582
72,0.8726423382759094,0.7707492113113403,-0.03644764423370361,-0.23895525932312012
73,0.8731005191802979,0.7708758115768433,-0.03575730323791504,-0.23964977264404297
74,0.8735513091087341,0.7709765434265137,-0.035067200660705566,-0.2403503656387329
75,0.8739927411079407,0.7710520625114441,-0.03437960147857666,-0.24106073379516602
76,0.874421238899231,0.7711035013198853,-0.033692240715026855,-0.24177849292755127
77,0.8748338222503662,0.7711296081542969,-0.03300964832305908,-0.24250316619873047
78,0.8752281069755554,0.7711288928985596,-0.032321929931640625,-0.24323368072509766
79,0.8756023645401001,0.7710989117622375,-0.03164219856262207,-0.24397265911102295
80,0.8759549856185913,0.7710390090942383,-0.030960440635681152,-0.24471867084503174
81,0.8762878179550171,0.7709454298019409,-0.03028082847595215,-0.24546754360198975
82,0.8766007423400879,0.770818293094635,-0.02960193157196045,-0.24622690677642822
