design_name,max_abs_zscore,mean_abs_zscore
ss_pcm,6.7097898,0.8377439
systemcdes,6.6643844,1.9412735
i2c,6.525062,1.1278434
simple_spi,4.692683,1.3369383
sasc,4.692683,1.1685927
s35932,3.4000072,0.8532864
s38417,3.1917686,0.632308
s38584,3.178254,0.74502957
s38584a,3.178254,0.74502957
usb_phy,2.4430852,0.66929734
s838,2.2261755,0.38815993
s15850a,2.2237456,0.46447837
s15850,2.1398306,0.4592337
s13207a,1.5943836,0.48939455
s13207,1.5104687,0.4841498
s27,1.5056561,0.38475323
s510,1.4716042,0.32952744
s420,1.3465167,0.33338475
s526a,1.2940222,0.3589477
s526,1.289854,0.35868722
s1196,1.2159768,0.32090878
s1196a,1.2159768,0.31566405
s1196b,1.2159768,0.31566405
s1238,1.1988128,0.31946933
s1238a,1.1988128,0.31422466
s641,1.0289055,0.29745162
s820,1.0068344,0.29101646
s820a,1.0068344,0.29101646
s832,1.003357,0.29069436
s832a,1.003357,0.29069436
s713,0.9899138,0.29566687
s298,0.9654438,0.3411094
s382,0.96502167,0.30339712
s444,0.88110673,0.30120504
s400,0.88110673,0.29969823
s386,0.7741802,0.31871605
s1488,0.75523436,0.2624825
s344,0.6293619,0.2736193
s349,0.6293619,0.2698025
s1423,0.5434361,0.2675132
s1423a,0.5434361,0.2622685
s9234a,0.50348955,0.19951281
s5378a,0.4615321,0.19005579
s953,0.44561285,0.24703316
s953a,0.44561285,0.24703316
s9234,0.41957462,0.19426812
s5378,0.37761718,0.18481112
