epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,0.38983497,-1.0131552,-2.3619065,4678.707,-0.07854273,-0.11890306
2,0.3446414,-0.7813371,-2.1181777,4674.8657,-0.077653125,-0.11813183
3,0.3048489,-0.5785231,-1.9141486,4671.032,-0.07676528,-0.117368534
4,0.27005732,-0.40274572,-1.748815,4667.206,-0.07587931,-0.11661329
5,0.2399257,-0.2519856,-1.6200616,4663.388,-0.074995376,-0.115866326
6,0.2141029,-0.12373235,-1.5242879,4659.579,-0.07411327,-0.115127966
7,0.19215387,-0.015050113,-1.4567331,4655.7783,-0.07323315,-0.114398316
8,0.17357078,0.07692802,-1.4123657,4651.9854,-0.07235499,-0.113677524
9,0.15785655,0.15483935,-1.3857286,4648.201,-0.07147875,-0.11296537
10,0.14455327,0.22111814,-1.3705101,4644.425,-0.0706044,-0.11226165
11,0.13323906,0.27792662,-1.3598511,4640.6577,-0.069732025,-0.11156616
12,0.123540185,0.32706547,-1.3474422,4636.898,-0.06886158,-0.11087849
13,0.1151462,0.3699931,-1.3286661,4633.1465,-0.06799307,-0.11019857
14,0.107806906,0.40791184,-1.3010913,4629.4033,-0.06712656,-0.10952611
15,0.10131748,0.4417963,-1.2643577,4625.6694,-0.066261865,-0.10886087
16,0.095513165,0.47234648,-1.219797,4621.943,-0.06539931,-0.10820284
17,0.09027632,0.5000206,-1.169825,4618.2256,-0.06453867,-0.10755191
18,0.08553034,0.52516794,-1.1172315,4614.5166,-0.06368001,-0.10690787
19,0.08121686,0.5481211,-1.0646518,4610.816,-0.062823296,-0.10627065
20,0.077280186,0.56919944,-1.0142627,4607.124,-0.06196866,-0.105640076
21,0.0736666,0.5887046,-0.96757746,4603.4404,-0.061115958,-0.10501611
22,0.07032503,0.6069304,-0.9253515,4599.7656,-0.060265303,-0.10439863
23,0.06720562,0.62413204,-0.8877139,4596.0996,-0.05941665,-0.10378752
24,0.064265,0.64046574,-0.85444325,4592.442,-0.058570027,-0.10318239
25,0.06147635,0.65598124,-0.82514036,4588.793,-0.057725407,-0.10258327
26,0.0588307,0.6706767,-0.79922724,4585.1533,-0.056882907,-0.10198991
27,0.05632761,0.68454516,-0.77593327,4581.522,-0.056042362,-0.101402305
28,0.053967454,0.6975829,-0.7543741,4577.8994,-0.055203844,-0.100819945
29,0.051750027,0.70979,-0.73369026,4574.285,-0.054367352,-0.10024302
30,0.04967455,0.7211763,-0.7132026,4570.68,-0.053532768,-0.09967132
31,0.047738813,0.7317575,-0.6925518,4567.083,-0.0527004,-0.099104546
32,0.0459398,0.74154365,-0.6717866,4563.495,-0.05186994,-0.09854283
33,0.044275664,0.7505382,-0.6513425,4559.9165,-0.051041532,-0.09798594
34,0.04274568,0.75875914,-0.63190204,4556.3457,-0.050215147,-0.097434
35,0.04134675,0.7662615,-0.6142095,4552.7837,-0.04939077,-0.09688687
