fold,target,best_epoch,best_test_r2,completed_epoch
1,worst_slack_ns,163,0.7185665369033813,300
1,total_negative_slack_ns,300,-0.016982078552246094,300
2,worst_slack_ns,300,0.5639503002166748,300
2,total_negative_slack_ns,300,-0.02488720417022705,300
3,worst_slack_ns,123,0.4767898917198181,300
3,total_negative_slack_ns,300,-0.0719231367111206,300
4,worst_slack_ns,208,0.6028738021850586,300
4,total_negative_slack_ns,300,-0.05203092098236084,300
5,worst_slack_ns,71,0.12875616550445557,300
5,total_negative_slack_ns,300,-0.06693077087402344,300
