epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,2.35056,-0.76456034,-0.80638504,86406.36,-0.11405282,-0.15041535
2,2.256065,-0.6953948,-0.73317116,86387.77,-0.113792084,-0.1500316
3,2.1674623,-0.63083494,-0.66549677,86369.22,-0.11353135,-0.14964814
4,2.0847962,-0.5708333,-0.6032971,86350.664,-0.11327086,-0.14926481
5,2.0080018,-0.5152322,-0.5463023,86332.125,-0.11301041,-0.14888172
6,1.936868,-0.46379843,-0.49405384,86313.586,-0.112750076,-0.1484988
7,1.8710868,-0.41629305,-0.44606668,86295.06,-0.1124898,-0.14811607
8,1.8103443,-0.37249264,-0.40193415,86276.55,-0.112229824,-0.14773361
9,1.7543491,-0.3321745,-0.36131445,86258.02,-0.11196973,-0.14735138
10,1.7028116,-0.2951002,-0.32389298,86239.52,-0.11170991,-0.1469692
11,1.6554222,-0.2610106,-0.28936663,86221.03,-0.11145024,-0.14658725
12,1.6118463,-0.2296298,-0.2574406,86202.55,-0.11119058,-0.14620566
13,1.5717281,-0.20067087,-0.22782913,86184.07,-0.11093116,-0.14582422
14,1.5346997,-0.17384428,-0.2002581,86165.61,-0.11067188,-0.14544299
15,1.5003893,-0.14886656,-0.17446849,86147.14,-0.11041262,-0.145062
16,1.4684349,-0.12546903,-0.1502203,86128.7,-0.1101536,-0.14468114
17,1.4384935,-0.10340612,-0.12729834,86110.266,-0.109894656,-0.14430054
18,1.4102516,-0.08246108,-0.10551498,86091.83,-0.10963585,-0.14392021
19,1.3834337,-0.062449537,-0.084713146,86073.4,-0.109377265,-0.14354007
20,1.357805,-0.04322072,-0.064766586,86055.0,-0.10911872,-0.14316025
21,1.3331741,-0.024656093,-0.045578502,86036.59,-0.10886033,-0.14278051
22,1.309391,-0.006666732,-0.0270782,86018.21,-0.10860212,-0.14240113
23,1.2863431,0.01081115,-0.00921731,85999.83,-0.10834398,-0.14202201
24,1.2639503,0.027820552,0.008035541,85981.45,-0.10808609,-0.14164305
25,1.2421587,0.04438845,0.024698913,85963.086,-0.10782828,-0.1412644
26,1.2209346,0.060530484,0.04078411,85944.74,-0.10757057,-0.14088595
27,1.2002592,0.07625482,0.056298446,85926.4,-0.10731318,-0.14050758
28,1.1801226,0.09156529,0.071248904,85908.08,-0.10705576,-0.14012964
29,1.1605203,0.106464446,0.085644625,85889.76,-0.106798485,-0.13975196
30,1.1414493,0.12095481,0.099498294,85871.445,-0.10654144,-0.13937445
31,1.122906,0.13504042,0.11282706,85853.14,-0.10628452,-0.13899724
32,1.1048852,0.14872724,0.12565261,85834.85,-0.106027745,-0.13862026
33,1.0873785,0.16202347,0.13800071,85816.58,-0.10577109,-0.13824348
34,1.0703752,0.17493895,0.14989999,85798.3,-0.10551467,-0.13786706
35,1.0538616,0.18748514,0.16138054,85780.05,-0.105258346,-0.1374909
36,1.0378228,0.19967383,0.17247301,85761.805,-0.10500221,-0.13711484
37,1.0222428,0.2115169,0.18320629,85743.56,-0.10474606,-0.13673906
38,1.0071055,0.22302547,0.19360688,85725.33,-0.1044903,-0.13636367
39,0.99239635,0.23420939,0.20369801,85707.12,-0.10423462,-0.1359884
40,0.9781022,0.24507716,0.21349844,85688.92,-0.10397897,-0.13561356
41,0.9642118,0.25563562,0.22302333,85670.734,-0.1037236,-0.13523884
42,0.9507163,0.26589048,0.23228383,85652.55,-0.10346837,-0.13486437
43,0.9376081,0.27584624,0.24128783,85634.375,-0.103213236,-0.13449018
44,0.92488164,0.28550702,0.2500404,85616.22,-0.10295825,-0.13411622
45,0.9125315,0.29487675,0.25854498,85598.06,-0.1027035,-0.13374257
46,0.9005529,0.3039598,0.26680386,85579.92,-0.102448896,-0.13336912
47,0.8889405,0.3127613,0.274819,85561.8,-0.102194384,-0.13299596
48,0.87768793,0.32128733,0.2825925,85543.69,-0.101940036,-0.13262312
49,0.8667879,0.3295451,0.29012728,85525.58,-0.101685904,-0.13225035
50,0.85623103,0.33754292,0.29742676,85507.48,-0.10143189,-0.13187799
51,0.84600717,0.34529004,0.30449563,85489.39,-0.101178005,-0.13150582
52,0.8361046,0.3527965,0.3113392,85471.32,-0.100924276,-0.13113399
53,0.82651055,0.36007264,0.31796366,85453.26,-0.10067079,-0.13076234
54,0.8172118,0.36712903,0.32437554,85435.2,-0.100417376,-0.13039103
55,0.80819523,0.37397584,0.3305815,85417.16,-0.10016408,-0.13002002
56,0.7994474,0.38062292,0.33658817,85399.13,-0.099910975,-0.12964913
57,0.7909559,0.38707915,0.34240198,85381.11,-0.09965811,-0.12927854
58,0.7827091,0.3933527,0.34802872,85363.1,-0.09940536,-0.12890825
59,0.77469665,0.39945087,0.35347357,85345.11,-0.09915278,-0.12853813
60,0.766909,0.40537977,0.35874128,85327.12,-0.09890018,-0.12816834
61,0.75933826,0.41114482,0.36383587,85309.14,-0.098648,-0.12779872
62,0.7519773,0.41675073,0.36876065,85291.18,-0.09839573,-0.12742953
63,0.74482024,0.42220145,0.37351894,85273.23,-0.09814377,-0.12706049
64,0.73786175,0.42750055,0.37811327,85255.27,-0.097891904,-0.12669167
65,0.7310971,0.43265122,0.3825464,85237.35,-0.09764025,-0.1263232
66,0.72452223,0.43765682,0.38682097,85219.42,-0.09738872,-0.12595503
67,0.718133,0.44252014,0.39093977,85201.516,-0.09713731,-0.12558696
