epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,0.013322711,-0.095648766,-0.09419763,-0.112264276
2,0.033492386,-0.06880319,-0.0775969,-0.08231175
3,0.053477764,-0.042968035,-0.06288016,-0.056424618
4,0.07327551,-0.01813364,-0.04962969,-0.034140944
5,0.09291011,0.0058020353,-0.037519574,-0.0150898695
6,0.11250615,0.028862894,-0.026338816,0.0011475682
7,0.13212723,0.05119008,-0.015968561,0.015152812
8,0.1517806,0.072827935,-0.0063267946,0.027159393
9,0.17149276,0.09391165,0.0026123524,0.03735012
10,0.19132918,0.11461407,0.010874331,0.04598272
11,0.21132791,0.1349591,0.018526196,0.053624094
12,0.23151702,0.15505695,0.025847435,0.06083578
13,0.25190777,0.17492962,0.03308326,0.06797904
14,0.27248186,0.19457841,0.04057604,0.0751766
15,0.29323852,0.21406472,0.04839933,0.08255303
16,0.3141762,0.23339003,0.056462824,0.090213835
17,0.3352679,0.2525524,0.06484401,0.098204195
18,0.3565272,0.27156866,0.07352185,0.106518686
19,0.3778965,0.29040742,0.082529545,0.11522311
20,0.39935964,0.30901736,0.0919435,0.124284625
21,0.4208734,0.3274762,0.10167533,0.13367242
22,0.44237077,0.34559488,0.11167723,0.14356792
23,0.46378607,0.3633231,0.121968865,0.15391153
24,0.4850244,0.38068616,0.13254994,0.16446728
25,0.50603414,0.39773738,0.14352316,0.1755144
26,0.526744,0.41438293,0.15502685,0.18693382
27,0.5471159,0.43060994,0.16707116,0.19838047
28,0.5671059,0.44645625,0.17964226,0.20975143
29,0.5866587,0.46189564,0.19261521,0.22115892
30,0.6057472,0.47708523,0.20585263,0.2324965
31,0.6243266,0.49223894,0.21915555,0.24350876
32,0.64239407,0.5074498,0.23226637,0.25403655
33,0.6599196,0.52298784,0.24509388,0.26394504
34,0.676859,0.5386579,0.25765228,0.2731307
35,0.69319594,0.5542242,0.26989836,0.28154486
36,0.70891166,0.5696921,0.281761,0.2891581
37,0.7239551,0.58486485,0.29314286,0.29595459
38,0.73829925,0.6000954,0.3039862,0.30185562
39,0.7518537,0.6148298,0.31424367,0.30679417
40,0.76457304,0.629713,0.3239435,0.31085843
41,0.77636176,0.6438173,0.33307755,0.31408715
42,0.7871308,0.656657,0.34169447,0.3166057
43,0.7968128,0.6684568,0.3497637,0.31856018
44,0.8053364,0.6794364,0.35725725,0.3201186
45,0.81264156,0.68895376,0.36423582,0.32149184
46,0.81872404,0.69747186,0.37094724,0.3228488
47,0.82357323,0.70508873,0.37758136,0.32449216
48,0.82723755,0.71143734,0.38424367,0.3265928
49,0.8298156,0.7161505,0.39098918,0.32950264
50,0.83147174,0.7183881,0.39783198,0.33334166
51,0.83242536,0.7207937,0.4047916,0.33809453
52,0.832878,0.722723,0.4118471,0.3436702
53,0.8330542,0.7243774,0.41902834,0.34999436
54,0.8331512,0.72453046,0.4263695,0.35685128
55,0.8333181,0.7227623,0.43383056,0.36394936
56,0.8336498,0.7206379,0.44138306,0.37122667
57,0.8341911,0.71822155,0.4489764,0.37850994
58,0.8349572,0.7162254,0.45662016,0.38574773
59,0.83591866,0.71479756,0.4642865,0.39279264
60,0.8370333,0.71487343,0.47197974,0.39962375
61,0.83824235,0.715846,0.47972655,0.40610212
62,0.83951247,0.71754175,0.4874825,0.4122181
63,0.8408028,0.71960795,0.4951936,0.4179892
64,0.8420684,0.7208181,0.50291675,0.4234134
