epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.036308,-0.015009296,-0.049419127,1.0255556,-0.011049318,-0.15876612
2,1.0156096,0.005943692,-0.029573476,1.0109141,0.0034834384,-0.13137645
3,0.9954432,0.026299274,-0.010389352,0.9970385,0.017527033,-0.105839655
4,0.9746979,0.046129834,0.008231831,0.98299515,0.031133305,-0.082027495
5,0.9554914,0.06552309,0.026387215,0.96957076,0.04436065,-0.059704147
6,0.9369217,0.0845509,0.04415361,0.9559385,0.057272814,-0.03871919
7,0.9178766,0.10329896,0.061671197,0.9435585,0.069932655,-0.018625557
8,0.8994721,0.121856175,0.07902291,0.9311701,0.082367025,0.0008805633
9,0.881285,0.14028329,0.09625554,0.91891587,0.094655894,0.019921731
10,0.8632902,0.15864976,0.113342,0.9065175,0.10685609,0.0387004
11,0.84516776,0.17702937,0.13029394,0.8945241,0.11902376,0.05739324
12,0.82712764,0.19545087,0.14716633,0.88240254,0.13107994,0.07596922
13,0.809013,0.21395548,0.16403097,0.86994314,0.14306195,0.09446685
14,0.7913767,0.2325511,0.18102771,0.8588025,0.1549413,0.11280094
15,0.7720566,0.2512659,0.19825108,0.8465824,0.16675976,0.13086057
16,0.7543795,0.27009448,0.21574345,0.8348395,0.17850938,0.14854741
17,0.7358143,0.28904843,0.23353252,0.82376087,0.19018045,0.16582169
18,0.7175104,0.30813208,0.25158468,0.81166095,0.20180145,0.18262973
19,0.69836664,0.32735118,0.26982936,0.7994075,0.21335451,0.19888555
20,0.67941713,0.34670022,0.2882804,0.78829783,0.22477289,0.21442771
21,0.6603199,0.36617288,0.3068747,0.77847147,0.23599772,0.22914068
22,0.6414324,0.38577393,0.32558617,0.7666653,0.24696521,0.24282825
23,0.6218403,0.4055194,0.34439757,0.75720525,0.2575797,0.25535005
24,0.60279244,0.42539796,0.36329827,0.74540836,0.26776806,0.26656494
25,0.5830581,0.44539434,0.38229498,0.73614097,0.27746516,0.2764123
26,0.5639779,0.46549004,0.40139335,0.72516274,0.2866184,0.28489047
27,0.5443553,0.48566237,0.42054075,0.7168092,0.29519916,0.2920745
28,0.52450264,0.5058732,0.43973383,0.70881104,0.30322438,0.2980675
29,0.50382185,0.5260774,0.4589115,0.70081407,0.31071138,0.30299035
30,0.4849511,0.54621965,0.4780396,0.6936188,0.31773448,0.30711508
31,0.4648997,0.56624067,0.49704522,0.6865258,0.32436055,0.3106891
32,0.44529495,0.586085,0.51583266,0.68030864,0.33068785,0.31386894
33,0.42539757,0.60567635,0.53427994,0.6740195,0.3368179,0.31681004
34,0.4057567,0.6249412,0.55227363,0.6666157,0.34285656,0.31970602
35,0.3884154,0.64378786,0.56968373,0.66224164,0.34892073,0.3227726
36,0.3690656,0.6621369,0.5864125,0.65322626,0.3551045,0.32595026
37,0.35067043,0.6799151,0.60232925,0.6495434,0.3614704,0.32941744
38,0.3343441,0.69704926,0.6173306,0.6431676,0.3679906,0.33323333
39,0.31767341,0.7134707,0.6313283,0.63747805,0.37459955,0.3373581
40,0.30156976,0.7291172,0.64431506,0.6320782,0.38123098,0.34172028
41,0.2864536,0.7439278,0.6561841,0.62614506,0.38795644,0.34631154
42,0.27181587,0.757846,0.6668955,0.61705786,0.39481178,0.35109347
43,0.2582556,0.7708281,0.67636883,0.61004096,0.40180293,0.35604623
44,0.24527979,0.78282756,0.6847099,0.6029819,0.40894562,0.36116678
45,0.23497956,0.79379207,0.69193363,0.59891444,0.4161919,0.36646524
46,0.22363608,0.8036882,0.6981406,0.5890757,0.4235428,0.37196022
47,0.21452531,0.8124836,0.703279,0.58263695,0.43101677,0.3775998
48,0.20632593,0.8201537,0.70734537,0.57581294,0.43857822,0.38330686
49,0.19898525,0.82668704,0.71037036,0.5668019,0.44617215,0.38905445
50,0.19179878,0.83209527,0.71238345,0.56159246,0.453758,0.39485234
51,0.1879663,0.8364356,0.7136279,0.55192983,0.4613421,0.40066877
52,0.18329185,0.83979654,0.71406394,0.54848427,0.46892795,0.4065125
53,0.18045238,0.8423012,0.7139055,0.5412783,0.47653064,0.41234654
54,0.17824036,0.84409666,0.71345675,0.53388184,0.48412976,0.41811973
55,0.17743668,0.84534407,0.71288025,0.52434886,0.49175674,0.42378825
56,0.1757302,0.84619725,0.7122239,0.5149659,0.4994305,0.42935246
57,0.17474967,0.8468064,0.7116348,0.5094164,0.5071516,0.43469745
