design_name,total_input_bits,total_output_bits,total_register_bits,total_logic_operator_bits,total_adder_sub_bits,total_multiplier_bits,total_comparator_bits,total_multiplexer_bits,total_shift_bits,total_division_bits,average_tree_depth,average_wire_width
i2c,-0.431412,-0.3356597,-0.37240806,-0.49743238,1.496776,0.0,6.0209246,3.4618402,-0.145865,0.0,-0.3025242,1.9495274
s1196,-0.431412,-0.50348955,-0.4462964,-0.39818898,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.41640764,-0.26065004
s1196a,-0.431412,-0.41957462,-0.4462964,-0.39818898,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.41640764,-0.26065004
s1196b,-0.431412,-0.41957462,-0.4462964,-0.39818898,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.41640764,-0.26065004
s1238,-0.431412,-0.50348955,-0.4462964,-0.3923258,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.41635942,-0.26065004
s1238a,-0.431412,-0.41957462,-0.4462964,-0.3923258,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.41635942,-0.26065004
s13207,1.2862911,1.5104687,0.94794416,0.6481384,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.082326464,-0.26065004
s13207a,1.2862911,1.5943836,0.94794416,0.6481384,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.082326464,-0.26065004
s1423,-0.5434361,-0.37761718,-0.32036498,-0.3916557,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.003877531,-0.26065004
s1423a,-0.5434361,-0.29370224,-0.32036498,-0.3916557,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.003877531,-0.26065004
s1488,-0.3691764,-0.75523436,-0.47328168,-0.3821071,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.23361796,-0.26065004
s15850,1.2613968,2.1398306,0.7140715,0.8821632,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.2910899,-0.26065004
s15850a,1.2613968,2.2237456,0.7140715,0.8821632,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.2910899,-0.26065004
s27,-0.5932246,-0.9230642,-0.480028,-0.5146151,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.4234129,-0.26065004
s298,-0.530989,-0.88110673,-0.45529148,-0.4856342,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.3813744,-0.26065004
s344,-0.46875337,-0.6293619,-0.45304272,-0.48613676,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.3149728,-0.26065004
s349,-0.46875337,-0.6293619,-0.45304272,-0.48529917,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.35097137,-0.26065004
s35932,3.3774078,0.37761718,3.3991086,3.148201,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.18194443,-0.26065004
s382,-0.530989,-0.96502167,-0.43955004,-0.4744104,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.30094525,-0.26065004
s38417,0.7137234,0.08391493,3.1922214,3.0414908,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.103007674,-0.26065004
s38584,3.178254,0.50348955,2.7199786,2.9300902,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,4.596351,-0.26065004
s38584a,3.178254,0.50348955,2.7199786,2.9300902,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,4.596351,-0.26065004
s386,-0.5185419,-0.71327686,-0.47328168,-0.48077613,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.30145556,-0.26065004
s400,-0.530989,-0.88110673,-0.43955004,-0.47206512,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.30469447,-0.26065004
s420,-0.5932246,-0.3356597,-0.45079392,-0.46871474,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.2805774,-0.26065004
s444,-0.530989,-0.88110673,-0.43955004,-0.46720704,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.07813874,-0.26065004
s510,-0.5185419,-0.20978731,-0.47328168,-0.45983618,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.19427234,-0.26065004
s526,-0.530989,-0.88110673,-0.43955004,-0.45832852,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.34962973,-0.26065004
s526a,-0.530989,-0.88110673,-0.43955004,-0.45832852,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.3356998,-0.26065004
s5378,0.004237342,0.37761718,-0.08424361,0.004025565,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.049728293,-0.26065004
s5378a,0.004237342,0.4615321,-0.08424361,0.004025565,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.049728293,-0.26065004
s641,-0.30694076,0.37761718,-0.4440476,-0.46251652,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.32189813,-0.26065004
s713,-0.31938788,0.37761718,-0.4440476,-0.46050626,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.32179326,-0.26065004
s820,-0.3691764,-0.25174478,-0.47553045,-0.41360077,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.22310604,-0.26065004
s820a,-0.3691764,-0.25174478,-0.47553045,-0.41360077,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.223008,-0.26065004
s832,-0.3691764,-0.25174478,-0.47553045,-0.41192558,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.20131268,-0.26065004
s832a,-0.3691764,-0.25174478,-0.47553045,-0.41192558,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.20709561,-0.26065004
s838,-0.5932246,0.41957462,-0.41481352,-0.41778877,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.12285048,-0.26065004
s9234,-0.1202339,0.41957462,-0.012282812,0.28947896,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.09032867,-0.26065004
s9234a,-0.1202339,0.50348955,-0.012282812,0.28947896,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,0.09032867,-0.26065004
s953,-0.31938788,-0.3356597,-0.42155987,-0.41745374,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.24284457,-0.26065004
s953a,-0.31938788,-0.3356597,-0.42155987,-0.41745374,-0.3085242,0.0,-0.24516252,-0.3302103,-0.145865,0.0,-0.24287435,-0.26065004
sasc,-0.45630625,-0.4615321,-0.38911325,-0.5085126,3.651489,0.0,0.2516939,1.100983,-0.145865,0.0,-0.41855428,0.33984327
simple_spi,-0.45630625,-0.4615321,-0.40132087,-0.50351095,4.5250216,0.0,0.63462144,1.333399,-0.145865,0.0,-0.3766619,0.65843964
ss_pcm,-0.4936476,-0.3356597,-0.4218811,-0.51394504,0.27383068,0.0,-0.21351561,0.5230011,6.70979,0.0,-0.41767642,1.546266
systemcdes,0.20339133,4.405534,-0.40774596,-0.50085455,0.27383068,0.0,0.925773,2.8746843,-0.145865,0.0,-0.42488953,6.0373673
usb_phy,-0.3816235,-0.50348955,-0.3396402,-0.49046835,2.4285438,0.0,2.4321656,4.244715,-0.145865,0.0,-0.33464992,0.15520628
