design_name,max_abs_zscore,mean_abs_zscore
flopoco_00294_fpdiv,13.373905,1.9201024
flopoco_00416_fpdiv,8.728578,1.2363002
flopoco_00051_ieeefpfma,8.722043,1.645487
flopoco_00082_fpdiv,8.434614,1.8244848
flopoco_00149_fpdiv,8.434614,1.699659
flopoco_00374_fpdiv,8.434614,1.6672403
flopoco_00193_fpdiv,8.434614,1.6373421
flopoco_00013_fpmult,6.5184145,1.3996688
flopoco_00061_fpmult,6.5184145,1.3996688
flopoco_00484_fpmult,6.5184145,1.3996688
flopoco_00171_fpmult,6.5184145,1.362725
flopoco_00305_fpmult,6.5184145,1.3410885
flopoco_00037_fpconstdiv,5.927809,0.69072706
flopoco_00020_fpdiv,5.887292,1.0363755
flopoco_00357_fpconstdiv,4.831486,0.59153235
flopoco_00087_ieeefpfma,4.786719,1.3182387
flopoco_00470_fpmult,4.7231474,1.1301398
flopoco_00483_fpmult,4.7231474,1.1081926
flopoco_00380_ieeefpfma,4.691882,1.2703216
flopoco_00481_fpsqrt,4.657578,0.9884474
flopoco_00005_fpsqrt,4.657578,0.8166114
flopoco_00031_fpsqrt,4.657578,0.77081853
flopoco_00454_fpsqrt,4.657578,0.74962175
flopoco_00072_fpsqrt,4.657578,0.7037156
flopoco_00070_fpmult,4.590698,1.1148474
flopoco_00151_fpmult,4.590698,1.1019644
flopoco_00285_fpmult,4.590698,1.1019644
flopoco_00427_fpmult,4.590698,1.0928973
flopoco_00472_fpmult,4.590698,1.0928973
flopoco_00383_fpconstmult,4.504053,0.64387727
flopoco_00057_ieeefpfma,4.426065,1.1355475
flopoco_00446_fpdiv,4.328857,0.9963026
flopoco_00253_fpconstdiv,4.241009,0.55076545
flopoco_00147_fpdiv,4.103711,0.74663574
flopoco_00260_fpdiv,4.103711,0.6386344
flopoco_00101_fpdiv,3.998326,0.6819194
flopoco_00131_fpsqrt,3.9955382,0.9037912
flopoco_00143_fpdiv,3.9772623,0.63739055
flopoco_00186_fpconstmult,3.957531,0.5824069
flopoco_00460_fpconstdiv,3.6341465,0.45799083
flopoco_00223_fpdiv,3.3605673,0.79562354
flopoco_00379_fpconstdiv,3.3584526,0.4413743
flopoco_00385_fpconstdiv,3.3584526,0.4413743
flopoco_00007_fpconstmult,3.3399146,0.52994716
flopoco_00217_fpmult,3.172368,0.7332099
flopoco_00413_fpmult,3.172368,0.7332099
flopoco_00292_fpmult,3.172368,0.6937567
flopoco_00459_fpmult,3.172368,0.6937567
flopoco_00267_fpconstdiv,3.0977082,0.41254458
flopoco_00360_fpconstmult,3.0289733,0.50145906
flopoco_00058_fpdiv,3.0239787,0.5571661
flopoco_00324_fpconstdiv,2.9586627,0.4021808
flopoco_00448_fpconstdiv,2.9586627,0.4021808
flopoco_00109_fpmult,2.9319272,0.6620797
flopoco_00445_fpmult,2.9319272,0.6536149
flopoco_00019_fpmult,2.9319272,0.6463358
flopoco_00191_fpmult,2.9319272,0.6463358
flopoco_00301_fpmult,2.9319272,0.6463358
flopoco_00014_fpsqrt,2.8979917,0.7818252
flopoco_00179_fpmult,2.72169,0.5838971
flopoco_00212_fpmult,2.72169,0.5838971
flopoco_00229_fpmult,2.72169,0.5838971
flopoco_00361_fpmult,2.72169,0.5838971
flopoco_00451_fpmult,2.72169,0.5700666
flopoco_00055_fpmult,2.681044,0.5804012
flopoco_00411_fpmult,2.681044,0.5723176
flopoco_00035_fpconstmult,2.631051,0.47150928
flopoco_00075_fpmult,2.5920436,0.6230807
flopoco_00468_fpmult,2.5920436,0.6230807
flopoco_00017_ieeefpadd,2.5123742,0.5853286
