epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0313032,-0.0024062872,-0.020322334,0.99543273,0.018781101,0.007410884
2,1.0007945,0.023275148,0.005340159,0.98176146,0.03617754,0.038066924
3,0.9774302,0.047846247,0.030114066,0.96846616,0.05311831,0.06762173
4,0.9551446,0.07150581,0.053925812,0.945341,0.06967326,0.09539501
5,0.9330746,0.094124615,0.07661022,0.93530226,0.08574668,0.122228324
6,0.90966874,0.11578979,0.09839821,0.9151899,0.1012826,0.14764288
7,0.8872902,0.1367066,0.1192796,0.90091574,0.11645402,0.17184557
8,0.8664017,0.1569216,0.1395307,0.8854188,0.13145217,0.19524057
9,0.8452843,0.17653564,0.15915708,0.8676866,0.14637783,0.21766028
10,0.82633907,0.19547802,0.17804901,0.85344046,0.1611889,0.23950204
11,0.80703974,0.2141223,0.19662979,0.84219944,0.17576131,0.2604108
12,0.79077697,0.23234436,0.21466994,0.8283083,0.19008616,0.28061596
13,0.76752794,0.25014648,0.2322813,0.809799,0.2041336,0.30048585
14,0.7520946,0.26755518,0.24938624,0.7993063,0.2179782,0.3197422
15,0.73757565,0.28468385,0.26603675,0.778931,0.23137338,0.33835644
16,0.7218173,0.3015008,0.2823364,0.7731175,0.2443715,0.35631698
17,0.70090264,0.3178618,0.2982255,0.7595831,0.25723138,0.37379694
18,0.6890611,0.33378038,0.31369296,0.75314224,0.26990217,0.39051247
19,0.67149776,0.3493268,0.32866868,0.727609,0.28242263,0.40655094
20,0.657833,0.36446476,0.3431493,0.7212909,0.29477802,0.4220511
21,0.6402234,0.3791591,0.3570083,0.6975908,0.30693418,0.4370038
22,0.62900466,0.39332163,0.37016803,0.68648976,0.31886128,0.45146838
23,0.61345786,0.40692025,0.38271782,0.6845323,0.3305181,0.46529406
24,0.60079604,0.41992778,0.39457005,0.6716779,0.3419277,0.47855726
25,0.58692163,0.4322757,0.40565437,0.6648207,0.35303354,0.49121913
26,0.5732037,0.44395667,0.41595578,0.64941996,0.3638625,0.50326854
27,0.5617817,0.4550023,0.42557496,0.64762414,0.37444317,0.51471514
28,0.55454266,0.46538877,0.43454885,0.63953024,0.3847166,0.5255202
29,0.5375978,0.47517776,0.4429143,0.61808276,0.39466086,0.53578126
30,0.5291381,0.4843681,0.45064265,0.6115253,0.4043569,0.54556155
31,0.52785695,0.49297196,0.45779794,0.60253,0.4138567,0.55476075
32,0.509692,0.5010742,0.46446973,0.5944726,0.42312288,0.56343675
33,0.5040847,0.5087179,0.47072354,0.58860534,0.432058,0.57140994
34,0.5014144,0.5159319,0.47655964,0.5734368,0.44067946,0.5790454
35,0.4915162,0.5227665,0.48208976,0.5674734,0.4490056,0.5863103
36,0.49181014,0.5292673,0.48725277,0.5647815,0.457055,0.59324944
37,0.47560206,0.5355256,0.4923173,0.5516676,0.46482402,0.60017174
38,0.47228402,0.54158276,0.49727982,0.54371643,0.47225094,0.60678947
39,0.46461925,0.54742736,0.502221,0.5280391,0.4793395,0.6132026
40,0.4575905,0.5530909,0.5070479,0.5456693,0.48608893,0.6192615
41,0.4573165,0.5586064,0.5118116,0.52397066,0.49251264,0.6248354
42,0.4467531,0.56401694,0.5164929,0.5071768,0.49859104,0.6302637
43,0.44845757,0.56927943,0.52105004,0.5134026,0.50426877,0.63548404
44,0.43827048,0.57436526,0.5256096,0.51354694,0.50955003,0.6404519
45,0.43528906,0.57930243,0.5301664,0.49672937,0.514418,0.64527994
46,0.42990732,0.5840968,0.53455824,0.50156105,0.51885915,0.6496564
47,0.42114764,0.5887302,0.5387536,0.49556416,0.52290905,0.65377724
48,0.41466624,0.5931902,0.5428325,0.48319235,0.5265726,0.6575797
49,0.41955143,0.5974738,0.5466192,0.48801798,0.52986574,0.66131985
50,0.4118289,0.60155755,0.55012697,0.47877812,0.5327857,0.6647876
51,0.4082934,0.60548383,0.55342996,0.47062126,0.5353959,0.66828406
52,0.40771994,0.6092391,0.5565321,0.46931067,0.5377491,0.67170376
53,0.39924476,0.6128093,0.55930793,0.4783651,0.5398289,0.67502916
