epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0126772,0.011411858,-0.087325096,1.0346193,-0.016069423,-0.35628074
2,0.99009514,0.033569776,-0.055978715,1.0187895,-0.00074989797,-0.33076063
3,0.96870726,0.054971375,-0.026378358,1.0039867,0.013661921,-0.30528513
4,0.9481856,0.075688735,0.0016478539,0.9892937,0.027239788,-0.2792626
5,0.92728674,0.095794156,0.028143084,0.97559357,0.040210545,-0.25243074
6,0.9070257,0.11537421,0.053223323,0.96221685,0.052722324,-0.22454414
7,0.8883766,0.13450947,0.07705963,0.95002365,0.06489207,-0.19552872
8,0.8694714,0.15327649,0.09974881,0.93709743,0.0768522,-0.16546586
9,0.85107833,0.1717548,0.12141262,0.9249665,0.088622645,-0.13429941
10,0.8329805,0.19002214,0.14218625,0.9135154,0.1002542,-0.102220535
11,0.8150002,0.20813099,0.16219366,0.90233773,0.11179813,-0.069429636
12,0.7975906,0.22615238,0.18159351,0.89021605,0.123272814,-0.036212396
13,0.77951854,0.2441473,0.20052433,0.87862825,0.13469106,-0.002989936
14,0.7610976,0.26213926,0.2190892,0.8672673,0.14602175,0.029867148
15,0.74431765,0.28015283,0.23738265,0.8557538,0.15726018,0.061886895
16,0.7263341,0.2982059,0.25548542,0.84499425,0.16841704,0.092614874
17,0.70803607,0.31632984,0.27348715,0.8345396,0.179445,0.1215652
18,0.6903199,0.33454263,0.29144388,0.82266444,0.19033656,0.14836335
19,0.67246926,0.35284752,0.30939016,0.81111896,0.20111723,0.17263123
20,0.65361834,0.3712377,0.3273567,0.8016399,0.21179113,0.19409858
21,0.636296,0.38972098,0.34538427,0.79119813,0.22228885,0.21258679
22,0.6182679,0.40829673,0.36345786,0.7814419,0.23255649,0.22804868
23,0.5992417,0.42696223,0.38151643,0.77101886,0.24256702,0.24060726
24,0.58123404,0.44571406,0.39945096,0.76038176,0.2523035,0.25039905
25,0.5625099,0.46453843,0.4171439,0.75082564,0.26174155,0.25770757
26,0.545023,0.48341593,0.4344655,0.74243796,0.27085465,0.26286417
27,0.52530634,0.5023495,0.45133147,0.73306096,0.27962533,0.26621243
28,0.5064136,0.5213256,0.46772003,0.72299325,0.28804955,0.2680885
29,0.48938233,0.5403236,0.48354855,0.71497583,0.29613343,0.26881173
30,0.47046465,0.5593221,0.49881047,0.7085482,0.30389094,0.26876062
31,0.45116955,0.57828784,0.5135363,0.7003652,0.3113458,0.26823896
32,0.43288055,0.5971688,0.5276719,0.6941599,0.3185188,0.26752764
33,0.4149398,0.61590487,0.54131585,0.68602085,0.32542855,0.26682726
34,0.39593512,0.6344288,0.5545338,0.67912257,0.33210355,0.2663625
35,0.377854,0.65265524,0.56726205,0.67216045,0.3385744,0.26617345
36,0.36028698,0.6705097,0.57981306,0.66584194,0.34487575,0.2663787
37,0.34323627,0.6878959,0.59195626,0.65947276,0.35101217,0.26696965
38,0.32552904,0.70471615,0.603755,0.6537256,0.3570358,0.26804656
39,0.31010145,0.7208725,0.6151439,0.6479669,0.36299568,0.26974458
40,0.2937246,0.736274,0.6260633,0.641034,0.36895305,0.27211028
41,0.27945945,0.7508394,0.6363461,0.6378497,0.37494338,0.27523702
42,0.2648751,0.76449996,0.64587545,0.63020915,0.38098073,0.27909228
43,0.251624,0.77719617,0.6544806,0.6250677,0.38708907,0.28370467
44,0.23985517,0.78887856,0.66219103,0.6192145,0.39328277,0.28900087
45,0.228409,0.7995089,0.66883755,0.6123164,0.3995685,0.2949012
46,0.21860942,0.8090504,0.6740896,0.60642445,0.40588355,0.30113083
47,0.20904884,0.8174993,0.67777425,0.59907085,0.4122447,0.30755863
48,0.20065996,0.8248595,0.67957926,0.59489065,0.4186924,0.3141945
49,0.1946354,0.83114386,0.6798881,0.58715075,0.42521888,0.3209638
50,0.18832119,0.83639157,0.67908823,0.5839756,0.4318429,0.32768255
51,0.1834834,0.840672,0.6775653,0.5773225,0.4386015,0.33414984
52,0.17861125,0.8440777,0.67562324,0.56860167,0.44547766,0.34032026
53,0.1760784,0.84671897,0.6730667,0.56163204,0.4524815,0.3461783
54,0.17338881,0.8487118,0.6705345,0.55510265,0.4595819,0.35167795
55,0.17172833,0.85018337,0.6679777,0.5480685,0.46674377,0.3568682
56,0.17179218,0.8512497,0.66577977,0.5423589,0.4739252,0.36177897
57,0.17006728,0.85202616,0.6640899,0.53422785,0.4811372,0.36654666
58,0.16981952,0.85261726,0.66302097,0.5294342,0.4884053,0.37129703
59,0.16946259,0.8531141,0.66259754,0.52031803,0.4957313,0.3760675
60,0.1687847,0.8535986,0.66261595,0.5123578,0.50311524,0.3808493
61,0.16820778,0.85413325,0.6630786,0.50412655,0.5105497,0.38571325
62,0.16792229,0.8547611,0.6639919,0.49782163,0.518013,0.39069995
63,0.16749966,0.8555025,0.6649563,0.49512967,0.5254796,0.39577127
64,0.16702323,0.8563546,0.6664356,0.4830255,0.5329393,0.4011889
65,0.16567042,0.8573071,0.6680089,0.47663727,0.5403803,0.40687698
66,0.16481039,0.85833865,0.6692875,0.46971306,0.5477747,0.4127882
67,0.16330095,0.8594055,0.6706602,0.46152267,0.55509883,0.4189124
68,0.16275974,0.86048317,0.67236614,0.4550148,0.56233084,0.42518967
69,0.16152108,0.86152965,0.67465,0.4508432,0.56944996,0.4316055
70,0.15986969,0.8625223,0.677227,0.44093913,0.5764548,0.43796557
71,0.15861171,0.8634423,0.6801199,0.43604198,0.5833488,0.44420037
72,0.15790161,0.8642782,0.68309826,0.42997044,0.59012306,0.45029432
73,0.15682307,0.8650182,0.68613684,0.42292976,0.5967814,0.45641527
74,0.15635857,0.8656605,0.6894871,0.4151691,0.60332847,0.46238667
75,0.15458184,0.86619884,0.69267905,0.4087309,0.6097717,0.4680515
76,0.1537697,0.86664045,0.6957344,0.40662843,0.61610806,0.4736198
77,0.15369003,0.86699885,0.6987769,0.3996542,0.6223155,0.47913283
78,0.15309194,0.86728466,0.70150775,0.3915012,0.6283978,0.48428518
79,0.15292418,0.867514,0.703744,0.38697067,0.6343492,0.48901826
80,0.15259035,0.8677077,0.70551884,0.38434485,0.640174,0.49339598
81,0.15167199,0.8678831,0.70671475,0.3784638,0.6458718,0.49734458
82,0.15200129,0.8680483,0.7071351,0.37034306,0.6514546,0.5010356
83,0.15120669,0.86821544,0.7071065,0.36480454,0.6569132,0.5045657
