design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s27,4,total_negative_slack_ns,288,-183.7093505859375,1.7663493156433105,2.3344197273254395,-0.4652949869632721,0.0,-0.08177533745765686,-1.4472367763519287,-1.3654614686965942
i2c,2,total_negative_slack_ns,288,-20.293392181396484,52.536865234375,53.16437911987305,-33.42695617675781,0.0,-7.131219863891602,45.405643463134766,52.536865234375
s510,1,total_negative_slack_ns,288,-6.27997350692749,2.1393697261810303,3.439885139465332,-3.521289110183716,0.0,-0.8304376602172852,-2.6840438842773438,-1.8536063432693481
s298,3,total_negative_slack_ns,288,-3.0539002418518066,1.7024387121200562,2.284444808959961,-3.157489061355591,0.0,-0.5928377509117126,-2.089085817337036,-1.4962478876113892
s344,2,total_negative_slack_ns,288,-2.318497657775879,2.027501344680786,2.93998384475708,-4.482790946960449,0.0,-0.950855016708374,-2.8792636394500732,-1.9284082651138306
s420,3,total_negative_slack_ns,288,-1.7502508163452148,1.926767349243164,2.7737386226654053,-4.480721950531006,0.0,-1.081291913986206,-2.993350028991699,-1.9120583534240723
s349,1,total_negative_slack_ns,288,-1.468937635421753,2.25862455368042,2.8744380474090576,-4.973042011260986,0.0,-1.0988430976867676,-3.332411050796509,-2.233567953109741
s444,2,total_negative_slack_ns,288,-1.1085996627807617,1.620532751083374,2.4161770343780518,-4.594910144805908,0.0,-0.8916535973548889,-2.319437265396118,-1.427783489227295
usb_phy,1,total_negative_slack_ns,288,-0.9597028493881226,7.6820502281188965,10.27706241607666,-20.32241439819336,0.0,-4.0896806716918945,-11.501073837280273,-7.411393165588379
s400,4,total_negative_slack_ns,288,-0.7543150186538696,1.7793469429016113,2.168137550354004,-4.488002777099609,0.0,-0.8724053502082825,-2.6115074157714844,-1.7391020059585571
systemcdes,2,total_negative_slack_ns,288,-0.7250908613204956,26.87070083618164,39.79165267944336,-83.60449981689453,0.0,-23.923463821411133,2.9472408294677734,26.87070083618164
s386,5,total_negative_slack_ns,288,-0.672372579574585,1.1526398658752441,1.50869882106781,-3.1184980869293213,0.0,-0.746756911277771,-1.5984246730804443,-0.8516679406166077
s382,4,total_negative_slack_ns,288,-0.2709702253341675,1.6729732751846313,1.9713937044143677,-4.823084831237793,0.0,-0.9624850749969482,-2.5639894008636475,-1.6015043258666992
