epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0186181,0.0017811537,-0.03604729,1.009352,0.005283403,-0.091565035
2,0.99957454,0.0205294,-0.014205003,0.9963436,0.018227626,-0.08126961
3,0.98104334,0.038585685,0.005215466,0.98354876,0.03065461,-0.0727521
4,0.9633387,0.05603645,0.022504425,0.9709331,0.042662524,-0.06520586
5,0.94640094,0.07296505,0.038201533,0.9589432,0.054322124,-0.05767853
6,0.92960775,0.08949001,0.0528208,0.9478504,0.06569354,-0.04980309
7,0.91309404,0.10572505,0.06663607,0.9360056,0.07678987,-0.041874457
8,0.89708936,0.12180577,0.07994745,0.9259181,0.08766483,-0.03371749
9,0.88159287,0.13784716,0.09316643,0.9139029,0.09837185,-0.02526636
10,0.8655137,0.15394549,0.10654446,0.90379226,0.10891358,-0.016421175
11,0.85007113,0.17020011,0.12000139,0.8939993,0.11928348,-0.0071957707
12,0.83377373,0.1866685,0.13375036,0.8828306,0.12947977,0.0023911358
13,0.81759596,0.20338058,0.14796725,0.87373054,0.13951111,0.012317431
14,0.8004673,0.2203714,0.16278519,0.86358434,0.14937916,0.022442007
15,0.78433603,0.23766351,0.17829072,0.8534111,0.15908429,0.03267789
16,0.7674405,0.25526065,0.19409586,0.8442624,0.16861784,0.04264922
17,0.7501685,0.27315608,0.21041879,0.83402616,0.17797437,0.052217852
18,0.7321981,0.29133713,0.22716776,0.82500553,0.18713588,0.061632823
19,0.71463233,0.30978754,0.2440614,0.81588537,0.19609262,0.07086414
20,0.6964604,0.32846636,0.26082873,0.80713713,0.20482525,0.07967844
21,0.6772597,0.34733027,0.27733845,0.7988315,0.21331553,0.08815192
22,0.659469,0.36634412,0.29345748,0.78974545,0.22155714,0.096263684
23,0.64064467,0.38546914,0.30892253,0.78169,0.22956042,0.10396806
24,0.6215753,0.40466642,0.32348984,0.7739178,0.23734479,0.11123115
25,0.60276335,0.42390323,0.33707848,0.76470846,0.2449307,0.11813994
26,0.5834505,0.44313502,0.3494286,0.7584381,0.2523455,0.124839425
27,0.56476897,0.46233702,0.3604735,0.75193864,0.259623,0.13135439
28,0.5456473,0.4814964,0.3700042,0.7447057,0.2667926,0.1376728
29,0.527011,0.5006044,0.37792057,0.7367985,0.27388984,0.14365597
30,0.50835526,0.51965296,0.38424602,0.73060864,0.28093567,0.14950484
31,0.4900636,0.5386346,0.3892656,0.7223874,0.2879413,0.15533982
32,0.47077233,0.5575367,0.3931543,0.7163811,0.29488978,0.16113886
33,0.4530244,0.57634354,0.3960854,0.7092714,0.30178973,0.16687621
34,0.4341899,0.59502864,0.3981932,0.70286626,0.30863357,0.17252934
35,0.41532415,0.6135632,0.40022594,0.69632053,0.3154415,0.17809366
36,0.39784473,0.6319019,0.4026784,0.6881029,0.32222167,0.18348035
37,0.3798192,0.6500002,0.40572986,0.6814697,0.328957,0.18869872
38,0.36208248,0.66779864,0.4096323,0.6769475,0.33563894,0.1939912
39,0.34411663,0.6852171,0.41442317,0.66951364,0.34227115,0.19921096
40,0.32704207,0.70217335,0.41985625,0.66308117,0.3489,0.20391914
41,0.31139308,0.7185653,0.42581588,0.6574431,0.35553303,0.20815416
42,0.29504484,0.7342827,0.43208665,0.64950323,0.36221418,0.21189919
43,0.28010437,0.7492217,0.43829718,0.6437914,0.3689561,0.21495867
44,0.26470664,0.7632831,0.4442382,0.6350496,0.37577066,0.21737632
45,0.25150362,0.7763797,0.4494389,0.6299368,0.38269135,0.2190915
46,0.23813207,0.7884374,0.45338497,0.625535,0.38972616,0.22015171
47,0.22710523,0.7994024,0.45573825,0.61691326,0.3968927,0.22054513
48,0.21562557,0.809244,0.4561623,0.6106378,0.40413254,0.2204844
49,0.20810978,0.8179447,0.45443296,0.60293996,0.4113973,0.2199888
50,0.19917038,0.8255269,0.4501238,0.5960726,0.41866112,0.21922906
51,0.19208816,0.8320301,0.4431525,0.5888235,0.4259097,0.21829629
52,0.18577895,0.83750886,0.43379647,0.5829858,0.43312722,0.21762176
53,0.18142554,0.84204215,0.421988,0.574787,0.4403302,0.21740976
54,0.17675635,0.8457206,0.40823793,0.5680206,0.44752923,0.21770735
55,0.17293584,0.8486489,0.39299807,0.5623894,0.45475388,0.2186977
56,0.1696656,0.85094035,0.37601656,0.5527388,0.46204776,0.22030921
57,0.16813347,0.85271186,0.3584372,0.54593223,0.469436,0.22224137
58,0.16656418,0.8540947,0.34168506,0.5393373,0.47689128,0.22454782
59,0.16604152,0.8552103,0.32644886,0.5314868,0.4843851,0.22693698
60,0.16460799,0.85615647,0.3132003,0.5268096,0.49189502,0.2295529
61,0.16403385,0.8570157,0.30208915,0.5195085,0.49938902,0.23234782
62,0.1634616,0.8578574,0.29338688,0.50961673,0.50685596,0.23521301
63,0.16238007,0.85872614,0.2876347,0.50475764,0.51427877,0.23810764
64,0.16157123,0.8596551,0.2835117,0.49837127,0.52163434,0.2414506
65,0.16091582,0.8606638,0.28027585,0.4894744,0.5289162,0.24519381
66,0.16019289,0.86176234,0.27759403,0.4835782,0.5361246,0.24905284
67,0.15868926,0.8629386,0.27604532,0.47682148,0.54329455,0.2528093
68,0.15713087,0.86417496,0.27586418,0.47027913,0.5504135,0.25645158
69,0.15555999,0.8654437,0.27592474,0.46293315,0.557483,0.2598022
70,0.1554142,0.866707,0.27678424,0.45572153,0.5644827,0.26322088
71,0.1538975,0.86793196,0.27824566,0.44968,0.5714158,0.2669362
72,0.1513435,0.8690823,0.27991644,0.44441682,0.57825595,0.27193847
73,0.15161495,0.8701479,0.2817003,0.43577546,0.58500797,0.278372
74,0.14956225,0.8711103,0.28163972,0.4285926,0.5916773,0.28669164
75,0.14840771,0.8719584,0.2819272,0.4238883,0.59827197,0.2965029
76,0.14839008,0.87269163,0.28099853,0.41721922,0.6047885,0.3075498
77,0.1465578,0.87331617,0.27995747,0.4086768,0.6112034,0.31938773
78,0.14657772,0.8738515,0.27838272,0.40369192,0.61754334,0.33143786
79,0.14537077,0.8743166,0.2767532,0.399964,0.6237923,0.34340578
80,0.14470673,0.8747288,0.27462,0.39475256,0.6299287,0.35541308
81,0.14476846,0.87510204,0.27311236,0.38758975,0.6359489,0.36722133
82,0.14401081,0.8754535,0.270794,0.3815275,0.6418309,0.37862787
83,0.14251272,0.87579453,0.2678156,0.37564373,0.6475891,0.38993824
84,0.14274856,0.87613297,0.26511917,0.37053394,0.6532406,0.4009386
85,0.14208655,0.87647545,0.2618485,0.36728895,0.65877813,0.41153222
86,0.1421983,0.87682486,0.25842085,0.36189097,0.66420937,0.4217804
87,0.14085808,0.8771912,0.2536999,0.35510767,0.66953003,0.43200654
88,0.14201377,0.8775767,0.24745083,0.35237736,0.67474645,0.44249353
89,0.13987827,0.8779768,0.2389938,0.34353966,0.67985374,0.45280752
