fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.11348206549882889,0.15839199721813202,0.8503900170326233
1,train,total_negative_slack_ns,2.4760613441467285,5.5842180252075195,0.9918199181556702
1,test,worst_slack_ns,0.0922725573182106,0.11288294941186905,0.9314651489257812
1,test,total_negative_slack_ns,4.890953063964844,10.468268394470215,0.9824415445327759
2,train,worst_slack_ns,0.09113947302103043,0.13912780582904816,0.8879801034927368
2,train,total_negative_slack_ns,3.266429901123047,6.942412853240967,0.988010585308075
2,test,worst_slack_ns,0.14775633811950684,0.18706437945365906,0.7932754158973694
2,test,total_negative_slack_ns,5.772406578063965,10.709480285644531,0.979242205619812
3,train,worst_slack_ns,0.07313501089811325,0.11332114040851593,0.9271542429924011
3,train,total_negative_slack_ns,2.294691324234009,5.231385231018066,0.9932949542999268
3,test,worst_slack_ns,0.13622477650642395,0.19159789383411407,0.7636657953262329
3,test,total_negative_slack_ns,6.207674980163574,18.6867733001709,0.9356715083122253
4,train,worst_slack_ns,0.08464479446411133,0.12466750293970108,0.9065828919410706
4,train,total_negative_slack_ns,2.926337480545044,5.971717834472656,0.9932578802108765
4,test,worst_slack_ns,0.15008544921875,0.21980802714824677,0.7393442392349243
4,test,total_negative_slack_ns,2.694842576980591,5.701483726501465,0.6875489950180054
5,train,worst_slack_ns,0.07494045794010162,0.10160176455974579,0.9417507648468018
5,train,total_negative_slack_ns,2.4933528900146484,4.797542572021484,0.9948422312736511
5,test,worst_slack_ns,0.06569039076566696,0.08212816715240479,0.9539627432823181
5,test,total_negative_slack_ns,4.420188903808594,9.49813175201416,0.9763270020484924
