design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s27,4,total_negative_slack_ns,288,-200.7389373779297,1.72474205493927,2.4396603107452393,-0.4652949869632721,0.0,-0.08177533745765686,-0.7928659319877625,-0.7110908031463623
s510,1,total_negative_slack_ns,288,-9.381093978881836,2.8875555992126465,4.107717514038086,-3.521289110183716,0.0,-0.8304376602172852,-3.5997602939605713,-2.769322633743286
usb_phy,1,total_negative_slack_ns,288,-7.4595746994018555,15.81683349609375,21.35247039794922,-20.32241439819336,0.0,-4.0896806716918945,-19.51924705505371,-15.4295654296875
s444,2,total_negative_slack_ns,288,-5.978487968444824,3.5113184452056885,4.395541191101074,-4.594910144805908,0.0,-0.8916535973548889,-4.388188362121582,-3.4965343475341797
s386,5,total_negative_slack_ns,288,-1.6390604972839355,1.177703857421875,1.895224690437317,-3.1184980869293213,0.0,-0.746756911277771,-1.6554840803146362,-0.9087271094322205
s298,3,total_negative_slack_ns,288,-0.7613459825515747,1.1773916482925415,1.505797266960144,-3.157489061355591,0.0,-0.5928377509117126,-1.0559886693954468,-0.4631509780883789
i2c,2,total_negative_slack_ns,288,-0.7497072219848633,13.647126197814941,15.239860534667969,-33.42695617675781,0.0,-7.131219863891602,-19.49032974243164,-12.359109878540039
s344,2,total_negative_slack_ns,288,-0.3743635416030884,1.4307788610458374,1.892016887664795,-4.482790946960449,0.0,-0.950855016708374,-2.2558507919311523,-1.3049958944320679
s1423a,3,total_negative_slack_ns,288,-0.17007875442504883,11.50768756866455,16.201814651489258,-40.895965576171875,0.0,-14.305703163146973,-3.321138858795166,10.984563827514648
s1423,4,total_negative_slack_ns,288,-0.08307874202728271,11.217270851135254,15.642085075378418,-40.30670166015625,0.0,-14.81924819946289,-3.9243783950805664,10.894868850708008
s832a,1,total_negative_slack_ns,288,0.011648952960968018,1.803754210472107,2.5292916297912598,-6.867057800292969,0.0,-1.7138322591781616,-3.4194130897521973,-1.705580711364746
s420,3,total_negative_slack_ns,288,0.1721644401550293,1.279059886932373,1.5217783451080322,-4.480721950531006,0.0,-1.081291913986206,-2.1044058799743652,-1.0231140851974487
s400,4,total_negative_slack_ns,288,0.2310807704925537,1.1163572072982788,1.4354016780853271,-4.488002777099609,0.0,-0.8724053502082825,-1.5273518562316895,-0.6549464464187622
s820a,3,total_negative_slack_ns,288,0.27845388650894165,1.7605061531066895,2.120332956314087,-6.843706130981445,0.0,-1.6709110736846924,-3.284195899963379,-1.6132848262786865
s832,2,total_negative_slack_ns,288,0.3119516372680664,1.652753233909607,2.110341787338257,-6.867057800292969,0.0,-1.7138322591781616,-3.2372798919677734,-1.5234476327896118
s526a,4,total_negative_slack_ns,288,0.3276808261871338,1.0768885612487793,1.3725179433822632,-4.59926700592041,0.0,-0.8958985805511475,-1.4831842184066772,-0.5872854590415955
s838,5,total_negative_slack_ns,288,0.35003477334976196,2.477550745010376,3.0916295051574707,-9.767878532409668,0.0,-2.6199939250946045,-4.828305721282959,-2.2083117961883545
s820,4,total_negative_slack_ns,288,0.4056374430656433,1.5339769124984741,1.9244105815887451,-6.843706130981445,0.0,-1.6709110736846924,-2.998291015625,-1.3273800611495972
s526,5,total_negative_slack_ns,288,0.4227483868598938,0.9091374278068542,1.2644306421279907,-4.650142192840576,0.0,-0.8880174160003662,-1.4325166940689087,-0.5444993376731873
systemcdes,2,total_negative_slack_ns,288,0.4591525197029114,20.060476303100586,22.280420303344727,-83.60449981689453,0.0,-23.923463821411133,-38.92115020751953,-14.997687339782715
s382,4,total_negative_slack_ns,288,0.4717937111854553,1.00507652759552,1.2708885669708252,-4.823084831237793,0.0,-0.9624850749969482,-1.4239033460617065,-0.461418092250824
s38417,3,total_negative_slack_ns,288,0.6819332838058472,65.14846801757812,102.57437896728516,-513.5249633789062,0.0,-134.61981201171875,-70.15695190429688,64.46286010742188
ss_pcm,3,total_negative_slack_ns,288,0.7222758531570435,2.57238507270813,3.0817558765411377,-16.613008499145508,0.0,-3.321835517883301,-2.1901121139526367,1.1317237615585327
s349,1,total_negative_slack_ns,288,0.7519528865814209,0.6855967044830322,0.9110977649688721,-4.973042011260986,0.0,-1.0988430976867676,-1.4516397714614868,-0.3527967631816864
s1196,1,total_negative_slack_ns,288,0.7820777297019958,1.0176947116851807,1.3533400297164917,-8.146805763244629,0.0,-2.3030331134796143,-1.2943919897079468,1.0086413621902466
s1238,3,total_negative_slack_ns,288,0.806300938129425,1.1950258016586304,1.41468346118927,-9.127351760864258,0.0,-2.787226438522339,-2.313084363937378,0.4741419553756714
s1238a,2,total_negative_slack_ns,288,0.8175070881843567,1.0494470596313477,1.348010540008545,-8.9385986328125,0.0,-2.6519179344177246,-1.9234095811843872,0.7285082936286926
s713,5,total_negative_slack_ns,288,0.8289458155632019,1.3954885005950928,1.7266262769699097,-11.170372009277344,0.0,-2.9202499389648438,-4.029110908508301,-1.1088608503341675
s5378,3,total_negative_slack_ns,288,0.8371061086654663,5.380679607391357,6.48500919342041,-42.78767776489258,0.0,-11.415985107421875,-10.326753616333008,1.089232325553894
s5378a,2,total_negative_slack_ns,288,0.8560038208961487,4.819482803344727,6.055025577545166,-43.22509002685547,0.0,-11.281671524047852,-9.797962188720703,1.483709692955017
s953a,1,total_negative_slack_ns,288,0.8647904396057129,0.9939051866531372,1.36545991897583,-10.15001106262207,0.0,-2.2330358028411865,-3.126339912414551,-0.8933041095733643
s1488,2,total_negative_slack_ns,288,0.8736257553100586,1.0787620544433594,1.2325559854507446,-9.541492462158203,0.0,-2.5044665336608887,-3.0779502391815186,-0.5734834671020508
s953,2,total_negative_slack_ns,288,0.8787870407104492,1.1057491302490234,1.2928550243377686,-10.15001106262207,0.0,-2.2330358028411865,-3.1504523754119873,-0.9174164533615112
s1196a,5,total_negative_slack_ns,288,0.8848254680633545,0.7999624609947205,0.9388990998268127,-7.770129203796387,0.0,-2.1623144149780273,-2.202486753463745,-0.04017258435487747
s9234a,3,total_negative_slack_ns,288,0.9116191267967224,4.162735939025879,5.099066257476807,-45.17364501953125,0.0,-12.543959617614746,-12.918537139892578,-0.3745774030685425
s35932,5,total_negative_slack_ns,288,0.9193079471588135,28.92868995666504,39.822811126708984,-438.6055908203125,0.0,-88.74264526367188,-99.06803894042969,-10.32538890838623
s641,1,total_negative_slack_ns,288,0.9236948490142822,1.0535948276519775,1.2208963632583618,-11.92619514465332,0.0,-3.298856496810913,-3.5274362564086914,-0.2285800725221634
s9234,4,total_negative_slack_ns,288,0.9239813685417175,4.001492023468018,4.704570770263672,-44.81858444213867,0.0,-12.493487358093262,-16.164512634277344,-3.6710290908813477
