epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0147917,0.0064499853,-0.022192001,0.9996312,0.015071762,-0.3983572
2,0.9954489,0.025770748,-0.0017798424,0.98429984,0.029637193,-0.32335955
3,0.97639334,0.044515718,0.017699242,0.9704364,0.0439276,-0.25829995
4,0.9576494,0.062774256,0.036318183,0.95614207,0.057997487,-0.1994321
5,0.9404683,0.08066722,0.054234363,0.9419429,0.071940005,-0.14605118
6,0.92208636,0.09828687,0.071481764,0.9281517,0.08582087,-0.09728563
7,0.9048111,0.11570732,0.088102125,0.9149127,0.09962944,-0.053105045
8,0.8872244,0.13297376,0.104241766,0.90112364,0.11335864,-0.013094569
9,0.8705121,0.15011612,0.120018736,0.8880145,0.12696508,0.022879291
10,0.85379344,0.16719225,0.13552679,0.8738717,0.14042653,0.05472213
11,0.83652097,0.18426184,0.15080546,0.8614232,0.1536983,0.082387246
12,0.8201393,0.20135581,0.16588698,0.8484532,0.16680937,0.10595844
13,0.8027972,0.21850975,0.18091889,0.83611166,0.17974825,0.12572673
14,0.78584415,0.23575683,0.19599417,0.8227175,0.1924754,0.14183733
15,0.7690499,0.25312886,0.21115908,0.80883104,0.2049555,0.15458158
16,0.7512328,0.2706566,0.22646117,0.79842174,0.21716061,0.16424194
17,0.7343572,0.2883634,0.2419028,0.7859245,0.22905734,0.17127924
18,0.7169299,0.30628172,0.2575131,0.77461076,0.24059296,0.17614491
19,0.699257,0.3244292,0.27332944,0.76231945,0.25173908,0.17946684
20,0.6808428,0.34282392,0.28938136,0.7531668,0.26246858,0.18169194
21,0.6632253,0.3614788,0.30568895,0.741212,0.2727639,0.18324204
22,0.6455592,0.38038176,0.32231325,0.7310413,0.2826152,0.18441124
23,0.62693286,0.3995243,0.33927396,0.7207039,0.2920279,0.18548426
24,0.6076617,0.41888547,0.3565426,0.71322864,0.30101174,0.18679278
25,0.58829886,0.4384083,0.3740541,0.7033709,0.30958825,0.1882784
26,0.5696639,0.45804968,0.39174902,0.6936625,0.31778932,0.19008468
27,0.5510637,0.47774497,0.40959397,0.6867533,0.3256879,0.19257566
28,0.5316006,0.49744803,0.42755213,0.6792434,0.33331695,0.19580524
29,0.5113283,0.5171254,0.4455661,0.66904444,0.34073144,0.19994755
30,0.49355215,0.5367323,0.4635411,0.66217387,0.34797722,0.20498052
31,0.47303385,0.5562479,0.48140135,0.6594105,0.35507968,0.21084926
32,0.45350075,0.57563937,0.49908295,0.64890206,0.3620534,0.21735635
33,0.43592668,0.5948722,0.516551,0.64423627,0.36889955,0.22466746
34,0.41647106,0.61391175,0.53380114,0.63533795,0.37563914,0.2325836
35,0.3980559,0.6327038,0.5507221,0.6307787,0.38234845,0.24113527
36,0.37964666,0.6511895,0.5671915,0.6237074,0.38908035,0.25005746
