fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.07166984677314758,0.098039910197258,0.9574339389801025
1,delta_total_negative_slack_ns,32.716278076171875,62.65784454345703,0.5649662613868713
2,delta_worst_slack_ns,0.10554080456495285,0.17747275531291962,0.8782072067260742
2,delta_total_negative_slack_ns,40.397186279296875,72.94506072998047,0.32321351766586304
3,delta_worst_slack_ns,0.07137427479028702,0.09646636247634888,0.9589277505874634
3,delta_total_negative_slack_ns,25.839710235595703,60.9309196472168,0.5090517997741699
4,delta_worst_slack_ns,0.07992463558912277,0.10367197543382645,0.9586542248725891
4,delta_total_negative_slack_ns,16.49053955078125,19.998931884765625,-1.6158270835876465
5,delta_worst_slack_ns,0.06571029126644135,0.09023458510637283,0.9584241509437561
5,delta_total_negative_slack_ns,30.060367584228516,51.626041412353516,0.5454292297363281
