fold,target,epoch,train_loss
1,delta_worst_slack_ns,1,0.5372870348103054
1,delta_worst_slack_ns,2,0.06147032571179015
1,delta_worst_slack_ns,3,0.03873806087686135
1,delta_worst_slack_ns,4,0.03244789688101223
1,delta_worst_slack_ns,5,0.028756650013698114
1,delta_worst_slack_ns,6,0.026224849376458307
1,delta_worst_slack_ns,7,0.024148962239513884
1,delta_worst_slack_ns,8,0.022533266069563303
1,delta_worst_slack_ns,9,0.021121505558401258
1,delta_worst_slack_ns,10,0.019960464042675746
1,delta_worst_slack_ns,11,0.01899078791519185
1,delta_worst_slack_ns,12,0.018230393182139495
1,delta_worst_slack_ns,13,0.01731420968387936
1,delta_worst_slack_ns,14,0.01654949648076439
1,delta_worst_slack_ns,15,0.01607449489503025
1,delta_worst_slack_ns,16,0.015374048557076548
1,delta_worst_slack_ns,17,0.01491763139026122
1,delta_worst_slack_ns,18,0.01438081530747829
1,delta_worst_slack_ns,19,0.014162336806165384
1,delta_worst_slack_ns,20,0.013658048873124001
1,delta_worst_slack_ns,21,0.013379957588451044
1,delta_worst_slack_ns,22,0.013105575789560427
1,delta_worst_slack_ns,23,0.012716512584516237
1,delta_worst_slack_ns,24,0.01240871400032584
1,delta_worst_slack_ns,25,0.01215741540061998
1,delta_worst_slack_ns,26,0.011898455361055361
1,delta_worst_slack_ns,27,0.011589302155594746
1,delta_worst_slack_ns,28,0.01145659292581024
1,delta_worst_slack_ns,29,0.01109230408987573
1,delta_worst_slack_ns,30,0.01101095753221272
1,delta_total_negative_slack_ns,1,0.7632492326938354
1,delta_total_negative_slack_ns,2,0.35435497366988267
1,delta_total_negative_slack_ns,3,0.2202171339645042
1,delta_total_negative_slack_ns,4,0.12580340532390205
1,delta_total_negative_slack_ns,5,0.06978892430931598
1,delta_total_negative_slack_ns,6,0.046098892328080475
1,delta_total_negative_slack_ns,7,0.03580212525396913
1,delta_total_negative_slack_ns,8,0.03060046156068464
1,delta_total_negative_slack_ns,9,0.027737455554418377
1,delta_total_negative_slack_ns,10,0.024807939652700325
1,delta_total_negative_slack_ns,11,0.02291358697477046
1,delta_total_negative_slack_ns,12,0.021390002047469665
1,delta_total_negative_slack_ns,13,0.020304213454191748
1,delta_total_negative_slack_ns,14,0.018986466399452707
1,delta_total_negative_slack_ns,15,0.018527347600093117
1,delta_total_negative_slack_ns,16,0.017865444446827198
1,delta_total_negative_slack_ns,17,0.017167376387897913
1,delta_total_negative_slack_ns,18,0.016305540730287362
1,delta_total_negative_slack_ns,19,0.016735255385416228
1,delta_total_negative_slack_ns,20,0.015804394022435754
1,delta_total_negative_slack_ns,21,0.015103717057688816
1,delta_total_negative_slack_ns,22,0.01489209446093968
1,delta_total_negative_slack_ns,23,0.014240268153605518
1,delta_total_negative_slack_ns,24,0.014614636584691278
1,delta_total_negative_slack_ns,25,0.014299262077309884
1,delta_total_negative_slack_ns,26,0.013637097613947527
1,delta_total_negative_slack_ns,27,0.013608920343175486
1,delta_total_negative_slack_ns,28,0.013287768444723196
1,delta_total_negative_slack_ns,29,0.013051360509954058
1,delta_total_negative_slack_ns,30,0.01280073634441103
2,delta_worst_slack_ns,1,0.6712881749098724
2,delta_worst_slack_ns,2,0.07058157487674518
2,delta_worst_slack_ns,3,0.04146520745333609
2,delta_worst_slack_ns,4,0.03439508318095594
2,delta_worst_slack_ns,5,0.030047006424035395
2,delta_worst_slack_ns,6,0.02706140718302569
2,delta_worst_slack_ns,7,0.02493060320929006
2,delta_worst_slack_ns,8,0.023106108992933867
2,delta_worst_slack_ns,9,0.02170223939615685
2,delta_worst_slack_ns,10,0.020448438275057275
