fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.10904011130332947,0.15670743584632874,0.85355544090271
1,train,total_negative_slack_ns,24.265235900878906,49.586631774902344,0.3549976348876953
1,test,worst_slack_ns,0.09972620755434036,0.12051116675138474,0.9218895435333252
1,test,total_negative_slack_ns,31.2262020111084,62.995018005371094,0.36415916681289673
2,train,worst_slack_ns,0.10323921591043472,0.15265575051307678,0.8651367425918579
2,train,total_negative_slack_ns,26.34461784362793,50.60903549194336,0.36286187171936035
2,test,worst_slack_ns,0.24651925265789032,0.4192544221878052,-0.038401126861572266
2,test,total_negative_slack_ns,29.782073974609375,60.587406158447266,0.3356308341026306
3,train,worst_slack_ns,0.09457580745220184,0.13326135277748108,0.899262547492981
3,train,total_negative_slack_ns,26.622093200683594,51.004207611083984,0.3626441955566406
3,test,worst_slack_ns,0.2032332420349121,0.3273371458053589,0.3101802468299866
3,test,total_negative_slack_ns,28.44964027404785,73.93556213378906,-0.007028341293334961
4,train,worst_slack_ns,0.09103712439537048,0.13006629049777985,0.8983168005943298
4,train,total_negative_slack_ns,31.68419075012207,57.725196838378906,0.37001699209213257
4,test,worst_slack_ns,0.14589273929595947,0.21297819912433624,0.755290687084198
4,test,total_negative_slack_ns,18.242887496948242,21.690271377563477,-3.5220580101013184
5,train,worst_slack_ns,0.10905177891254425,0.15731553733348846,0.8603532314300537
5,train,total_negative_slack_ns,25.838224411010742,52.853511810302734,0.3740030527114868
5,test,worst_slack_ns,0.09980519860982895,0.12585099041461945,0.8918967843055725
5,test,total_negative_slack_ns,32.028472900390625,54.31513595581055,0.22586160898208618
