design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s27,4,total_negative_slack_ns,288,-17838.197265625,19.435195922851562,22.941516876220703,-0.4652949869632721,0.0,-0.08177533745765686,1.2094217538833618,1.2911970615386963
s298,3,total_negative_slack_ns,288,-260.5929260253906,15.557612419128418,18.35089111328125,-3.157489061355591,0.0,-0.5928377509117126,-0.9310624599456787,-0.3382246196269989
s386,5,total_negative_slack_ns,288,-232.08737182617188,15.05329704284668,17.811290740966797,-3.1184980869293213,0.0,-0.746756911277771,-1.6219193935394287,-0.87516188621521
s400,4,total_negative_slack_ns,288,-182.72572326660156,18.64456558227539,22.1879940032959,-4.488002777099609,0.0,-0.8724053502082825,1.998363971710205,2.8707690238952637
s526a,4,total_negative_slack_ns,288,-175.25071716308594,18.62107276916504,22.222644805908203,-4.59926700592041,0.0,-0.8958985805511475,2.40568208694458,3.3015806674957275
s510,1,total_negative_slack_ns,288,-173.52113342285156,14.160991668701172,16.842363357543945,-3.521289110183716,0.0,-0.8304376602172852,0.9069671630859375,1.737404704093933
s382,4,total_negative_slack_ns,288,-159.3384552001953,18.554485321044922,22.142391204833984,-4.823084831237793,0.0,-0.9624850749969482,2.2624478340148926,3.22493314743042
s344,2,total_negative_slack_ns,288,-126.3142318725586,15.321073532104492,18.210115432739258,-4.482790946960449,0.0,-0.950855016708374,0.9454006552696228,1.8962554931640625
s420,3,total_negative_slack_ns,288,-121.03197479248047,15.069157600402832,18.476350784301758,-4.480721950531006,0.0,-1.081291913986206,3.7114269733428955,4.792718887329102
s444,2,total_negative_slack_ns,288,-119.16062927246094,15.38027572631836,18.23949432373047,-4.594910144805908,0.0,-0.8916535973548889,0.763493001461029,1.6551467180252075
s526,5,total_negative_slack_ns,288,-111.22504425048828,14.91203784942627,17.630203247070312,-4.650142192840576,0.0,-0.8880174160003662,-1.6995187997817993,-0.8115013837814331
s349,1,total_negative_slack_ns,288,-80.82923889160156,13.892587661743164,16.54825210571289,-4.973042011260986,0.0,-1.0988430976867676,0.695486307144165,1.794329285621643
s820,4,total_negative_slack_ns,288,-72.20169067382812,18.192216873168945,21.35662269592285,-6.843706130981445,0.0,-1.6709110736846924,-4.291296005249023,-2.6203842163085938
s1196b,4,total_negative_slack_ns,288,-56.55655288696289,17.88043212890625,20.98882484436035,-7.770129203796387,0.0,-2.1623144149780273,-4.830156326293945,-2.667841672897339
s820a,3,total_negative_slack_ns,288,-49.927494049072266,15.632036209106445,17.81345558166504,-6.843706130981445,0.0,-1.6709110736846924,-6.149234771728516,-4.478323459625244
s832,2,total_negative_slack_ns,288,-46.208526611328125,14.955324172973633,17.480485916137695,-6.867057800292969,0.0,-1.7138322591781616,-3.9036691188812256,-2.1898374557495117
s832a,1,total_negative_slack_ns,288,-38.28895568847656,13.62552547454834,15.946982383728027,-6.867057800292969,0.0,-1.7138322591781616,-3.54235577583313,-1.8285233974456787
s1196a,5,total_negative_slack_ns,288,-34.4425163269043,13.746391296386719,16.470355987548828,-7.770129203796387,0.0,-2.1623144149780273,-2.91918683052063,-0.7568732500076294
s1196,1,total_negative_slack_ns,288,-27.73602867126465,13.358604431152344,15.540660858154297,-8.146805763244629,0.0,-2.3030331134796143,-4.509193420410156,-2.206160545349121
s1238a,2,total_negative_slack_ns,288,-27.232797622680664,14.328299522399902,16.766685485839844,-8.9385986328125,0.0,-2.6519179344177246,-4.836053371429443,-2.1841354370117188
s1238,3,total_negative_slack_ns,288,-25.089399337768555,13.726095199584961,16.418277740478516,-9.127351760864258,0.0,-2.787226438522339,-3.7488255500793457,-0.961599588394165
s1488,2,total_negative_slack_ns,288,-21.941675186157227,13.768003463745117,16.606952667236328,-9.541492462158203,0.0,-2.5044665336608887,-2.1588282585144043,0.3456374406814575
s953,2,total_negative_slack_ns,288,-19.4808406829834,14.03956127166748,16.80541229248047,-10.15001106262207,0.0,-2.2330358028411865,-2.275388479232788,-0.042352888733148575
s838,5,total_negative_slack_ns,288,-18.613262176513672,13.180060386657715,16.98311424255371,-9.767878532409668,0.0,-2.6199939250946045,3.3384852409362793,5.958478927612305
s953a,1,total_negative_slack_ns,288,-16.020240783691406,12.758394241333008,15.319977760314941,-10.15001106262207,0.0,-2.2330358028411865,-1.9751116037368774,0.2579248249530792
s713,5,total_negative_slack_ns,288,-13.623312950134277,12.883854866027832,15.964465141296387,-11.170372009277344,0.0,-2.9202499389648438,0.23361121118068695,3.1538610458374023
s641,1,total_negative_slack_ns,288,-9.725078582763672,11.725571632385254,14.474453926086426,-11.92619514465332,0.0,-3.298856496810913,-1.9945683479309082,1.3042882680892944
ss_pcm,3,total_negative_slack_ns,288,-9.463907241821289,12.851638793945312,18.91639518737793,-16.613008499145508,0.0,-3.321835517883301,7.156774520874023,10.47861099243164
usb_phy,1,total_negative_slack_ns,288,-3.285526752471924,10.97447395324707,15.197633743286133,-20.32241439819336,0.0,-4.0896806716918945,1.851370096206665,5.941051006317139
i2c,2,total_negative_slack_ns,288,-1.713433027267456,17.490596771240234,18.97832489013672,-33.42695617675781,0.0,-7.131219863891602,-20.321800231933594,-13.19057846069336
s1423a,3,total_negative_slack_ns,288,-1.515517234802246,21.97978973388672,23.75580596923828,-40.895965576171875,0.0,-14.305703163146973,7.6740875244140625,21.97978973388672
s9234,4,total_negative_slack_ns,288,-1.4429864883422852,24.179590225219727,26.669843673706055,-44.81858444213867,0.0,-12.493487358093262,-35.08604431152344,-22.59255599975586
simple_spi,4,total_negative_slack_ns,288,-1.0761067867279053,15.054887771606445,17.41868019104004,-33.24667739868164,0.0,-7.457696914672852,-12.239668846130371,-4.781972885131836
sasc,5,total_negative_slack_ns,288,-0.5335792303085327,10.44784164428711,13.21152400970459,-29.25296974182129,0.0,-6.715629577636719,-6.723588943481445,-0.007959578186273575
s1423,4,total_negative_slack_ns,288,-0.4170973300933838,13.623536109924316,17.892230987548828,-40.30670166015625,0.0,-14.81924819946289,-1.1957108974456787,13.623536109924316
s38417,3,total_negative_slack_ns,288,-0.40871942043304443,136.54725646972656,215.86985778808594,-513.5249633789062,0.0,-134.61981201171875,1.927438497543335,136.54725646972656
systemcdes,2,total_negative_slack_ns,288,-0.36531519889831543,30.944908142089844,35.399932861328125,-83.60449981689453,0.0,-23.923463821411133,-54.16792297363281,-30.24445915222168
s35932,5,total_negative_slack_ns,288,-0.057538509368896484,133.2741241455078,144.16661071777344,-438.6055908203125,0.0,-88.74264526367188,-156.02740478515625,-67.28475952148438
s38584a,1,total_negative_slack_ns,288,0.1136590838432312,150.6609344482422,183.09176635742188,-531.3651123046875,0.0,-137.66419982910156,-111.21163940429688,26.452571868896484
s38584,2,total_negative_slack_ns,288,0.12496811151504517,149.76632690429688,181.9199676513672,-531.3651123046875,0.0,-137.66419982910156,-111.78250122070312,25.88169288635254
s9234a,3,total_negative_slack_ns,288,0.2383551001548767,12.880709648132324,14.968827247619629,-45.17364501953125,0.0,-12.543959617614746,-21.618186950683594,-9.074225425720215
s5378a,2,total_negative_slack_ns,288,0.25005680322647095,11.826340675354004,13.818302154541016,-43.22509002685547,0.0,-11.281671524047852,-17.727935791015625,-6.446263313293457
