design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
i2c,2,total_negative_slack_ns,288,-19.525659561157227,51.293067932128906,52.19716262817383,-33.42695617675781,0.0,-7.131219863891602,44.16184616088867,51.293067932128906
s386,5,total_negative_slack_ns,288,-15.537677764892578,4.134328842163086,4.744312763214111,-3.1184980869293213,0.0,-0.746756911277771,3.3875722885131836,4.134328842163086
s510,1,total_negative_slack_ns,288,-5.654072284698486,3.050368070602417,3.288688898086548,-3.521289110183716,0.0,-0.8304376602172852,-3.23374080657959,-2.4033031463623047
s298,3,total_negative_slack_ns,288,-5.6435770988464355,2.144212245941162,2.9244563579559326,-3.157489061355591,0.0,-0.5928377509117126,1.2631957530975342,1.8560335636138916
s444,2,total_negative_slack_ns,288,-4.195374011993408,3.0441782474517822,3.7926268577575684,-4.594910144805908,0.0,-0.8916535973548889,2.1418380737304688,3.033491849899292
s1196,1,total_negative_slack_ns,288,-3.7376766204833984,6.048676013946533,6.310137748718262,-8.146805763244629,0.0,-2.3030331134796143,3.74564266204834,6.048676013946533
s1238a,2,total_negative_slack_ns,288,-3.3596434593200684,6.351134300231934,6.588639736175537,-8.9385986328125,0.0,-2.6519179344177246,3.6992170810699463,6.351134300231934
s344,2,total_negative_slack_ns,288,-3.359391212463379,2.5913755893707275,3.3696680068969727,-4.482790946960449,0.0,-0.950855016708374,1.618729591369629,2.569584846496582
s1196a,5,total_negative_slack_ns,288,-3.0406579971313477,5.259885787963867,5.561177730560303,-7.770129203796387,0.0,-2.1623144149780273,3.097571849822998,5.259885787963867
s832,2,total_negative_slack_ns,288,-2.5992140769958496,4.408563137054443,4.826664447784424,-6.867057800292969,0.0,-1.7138322591781616,2.6947309970855713,4.408563137054443
s1238,3,total_negative_slack_ns,288,-2.4196083545684814,5.69180965423584,5.944067478179932,-9.127351760864258,0.0,-2.787226438522339,2.9045839309692383,5.69180965423584
s832a,1,total_negative_slack_ns,288,-2.3698997497558594,4.2169623374938965,4.670375347137451,-6.867057800292969,0.0,-1.7138322591781616,2.503129720687866,4.2169623374938965
s27,4,total_negative_slack_ns,288,-1.8077614307403564,0.21573561429977417,0.28781577944755554,-0.4652949869632721,0.0,-0.08177533745765686,0.048085376620292664,0.12986071407794952
s349,1,total_negative_slack_ns,288,-1.8033690452575684,2.2890307903289795,3.062936782836914,-4.973042011260986,0.0,-1.0988430976867676,1.042029857635498,2.1408727169036865
s820a,3,total_negative_slack_ns,288,-1.741182804107666,3.673598289489746,4.132767677307129,-6.843706130981445,0.0,-1.6709110736846924,2.0026872158050537,3.673598289489746
ss_pcm,3,total_negative_slack_ns,288,-1.3853247165679932,7.825259685516357,9.031610488891602,-16.613008499145508,0.0,-3.321835517883301,4.503423690795898,7.825259685516357
s526,5,total_negative_slack_ns,288,-1.0718491077423096,1.965558409690857,2.3954741954803467,-4.650142192840576,0.0,-0.8880174160003662,-1.2995705604553223,-0.4115532636642456
