epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,0.47216755,-1.3597866,-1.7237403,4649.1924,-0.07159016,-0.11114335
2,0.40723783,-1.0289922,-1.8875583,4645.736,-0.07078948,-0.11105244
3,0.35029167,-0.7423918,-2.1105633,4642.29,-0.06999133,-0.11099348
4,0.30094624,-0.49703798,-2.3296342,4638.854,-0.06919563,-0.11096613
5,0.2586944,-0.28885242,-2.519275,4635.4287,-0.068402484,-0.110969946
6,0.2228367,-0.11313095,-2.6448464,4632.014,-0.06761189,-0.111004665
7,0.19256718,0.03477335,-2.6774516,4628.611,-0.066823885,-0.11106958
8,0.16708861,0.15887263,-2.604431,4625.218,-0.06603849,-0.111164354
9,0.1457107,0.2623977,-2.432735,4621.8364,-0.06525569,-0.11128807
10,0.12787576,0.3479616,-2.1850297,4618.466,-0.064475514,-0.11144018
11,0.11313157,0.4178235,-1.8919094,4615.1064,-0.06369791,-0.111619905
12,0.1010867,0.47409946,-1.5844269,4611.757,-0.06292288,-0.111826345
13,0.09137438,0.5188845,-1.2885695,4608.4194,-0.062150646,-0.11205874
14,0.08363165,0.55431235,-1.022004,4605.0933,-0.061380766,-0.11231601
15,0.077489585,0.582538,-0.7933272,4601.778,-0.06061361,-0.112597324
16,0.0725768,0.605617,-0.6037768,4598.473,-0.059849072,-0.112901375
17,0.068540476,0.6253214,-0.45038623,4595.18,-0.059087038,-0.11322717
18,0.06507774,0.64299554,-0.32891455,4591.8975,-0.058327653,-0.113573596
19,0.061960258,0.65950716,-0.23552918,4588.626,-0.057570793,-0.11393936
20,0.059042327,0.67528397,-0.16720037,4585.3657,-0.05681646,-0.11432304
21,0.056253992,0.6904028,-0.12129778,4582.116,-0.056064747,-0.11472352
22,0.053585183,0.7047122,-0.09486661,4578.8765,-0.055315495,-0.11513932
23,0.05106429,0.7179687,-0.083951354,4575.649,-0.054568745,-0.11556909
24,0.04873442,0.72996,-0.083258584,4572.431,-0.05382452,-0.11601136
25,0.046632174,0.7405896,-0.08634858,4569.225,-0.053082846,-0.11646483
26,0.0447734,0.7499046,-0.08641124,4566.029,-0.052343607,-0.116928004
27,0.04314861,0.758072,-0.077427104,4562.843,-0.051606752,-0.11739953
28,0.041727416,0.7653254,-0.055336155,4559.667,-0.05087235,-0.117878035
29,0.04046808,0.77190953,-0.01879338,4556.5024,-0.050140403,-0.118362285
30,0.03932713,0.77804214,0.030723583,4553.348,-0.04941077,-0.11885085
31,0.038266134,0.7838937,0.08944806,4550.2036,-0.048683573,-0.11934245
32,0.037255093,0.7895795,0.15225613,4547.069,-0.047958612,-0.119835876
33,0.036273696,0.79516345,0.21370926,4543.9443,-0.047235966,-0.12032986
34,0.03531048,0.8006698,0.26893443,4540.8296,-0.046515584,-0.120823264
35,0.03436083,0.8060943,0.31418094,4537.725,-0.045797516,-0.12131498
36,0.03342494,0.8114088,0.34702086,4534.6294,-0.045081638,-0.12180402
37,0.03250724,0.8165595,0.36626512,4531.5435,-0.044367958,-0.122289136
38,0.03161671,0.8214692,0.37175646,4528.467,-0.043656446,-0.12276952
39,0.030766536,0.8260482,0.36419234,4525.3994,-0.042947125,-0.12324419
40,0.02997226,0.8302118,0.34506088,4522.341,-0.042239904,-0.12371252
41,0.02924877,0.83389807,0.3166728,4519.292,-0.041534662,-0.12417348
42,0.028607184,0.8370805,0.28218183,4516.252,-0.040831544,-0.12462652
43,0.028052468,0.83977586,0.24545884,4513.2207,-0.040130425,-0.12507088
44,0.027582115,0.8420413,0.21074264,4510.1978,-0.039431334,-0.12550616
45,0.027186507,0.8439616,0.18208979,4507.1836,-0.038734246,-0.12593159
46,0.026851228,0.8456281,0.16274065,4504.1777,-0.038039066,-0.12634695
47,0.026560504,0.8471214,0.15458758,4501.1807,-0.037345745,-0.12675175
48,0.026300395,0.8485014,0.15790397,4498.191,-0.036654424,-0.12714562
49,0.026060525,0.84980524,0.1714055,4495.21,-0.03596499,-0.12752819
50,0.02583434,0.85105324,0.19260171,4492.2373,-0.035277367,-0.12789936
51,0.025618324,0.852255,0.21831326,4489.2725,-0.034591556,-0.12825878
52,0.025410736,0.8534172,0.24522126,4486.3154,-0.03390763,-0.1286064
53,0.025210336,0.8545474,0.2703247,4483.365,-0.03322537,-0.1289421
54,0.025015827,0.855651,0.29123718,4480.424,-0.032544874,-0.12926576
55,0.024826203,0.8567271,0.30632797,4477.4893,-0.031866215,-0.12957723
56,0.024641585,0.8577646,0.31474432,4474.563,-0.031189227,-0.12987658
57,0.024463791,0.858744,0.31637764,4471.6436,-0.030513978,-0.13016394
58,0.024296153,0.85964143,0.31180018,4468.7314,-0.02984035,-0.13043916
59,0.024142694,0.86043644,0.30218902,4465.8267,-0.029168416,-0.13070235
60,0.024006892,0.8611185,0.2892108,4462.9287,-0.028498078,-0.13095362
61,0.023890514,0.8616913,0.2748422,4460.0386,-0.027829433,-0.13119309
62,0.023792876,0.862172,0.2611189,4457.1543,-0.027162433,-0.1314209
63,0.023711026,0.86258566,0.24985,4454.2783,-0.026496936,-0.13163705
64,0.023640657,0.86295795,0.24235435,4451.408,-0.02583306,-0.13184194
65,0.023577344,0.86330956,0.23928061,4448.545,-0.025170732,-0.1320355
66,0.02351753,0.863653,0.24055853,4445.689,-0.024509931,-0.13221797
67,0.023459053,0.8639928,0.24548587,4442.839,-0.023850704,-0.13238958
68,0.023401128,0.8643285,0.252918,4439.9966,-0.023192931,-0.13255039
69,0.023343857,0.8646576,0.26151183,4437.16,-0.022536803,-0.13270068
70,0.02328765,0.8649789,0.2699656,4434.3296,-0.021882057,-0.13284075
71,0.02323277,0.8652922,0.2772166,4431.507,-0.021228814,-0.13297065
72,0.023179287,0.86559737,0.2825671,4428.6895,-0.020577073,-0.13309059
73,0.023127204,0.865894,0.2857439,4425.8784,-0.019926716,-0.13320091
74,0.023076648,0.86617994,0.28689325,4423.0747,-0.019277906,-0.13330153
75,0.023027979,0.86645204,0.28652287,4420.2764,-0.018630505,-0.13339297
76,0.022981754,0.866707,0.28540203,4417.484,-0.017984485,-0.13347521
77,0.022938496,0.86694336,0.28442827,4414.698,-0.017339896,-0.13354857
78,0.022898452,0.86716163,0.28447467,4411.919,-0.016696692,-0.13361308
79,0.022861471,0.86736476,0.2862391,4409.145,-0.016054917,-0.13366911
80,0.022827063,0.86755645,0.2901272,4406.377,-0.015414501,-0.13371675
81,0.022794556,0.86774045,0.29618615,4403.615,-0.014775539,-0.13375612
82,0.022763327,0.86791915,0.30410856,4400.8594,-0.01413784,-0.13378748
83,0.022732954,0.8680935,0.31330258,4398.1094,-0.013501501,-0.13381091
84,0.022703283,0.86826324,0.32300416,4395.3657,-0.012866545,-0.13382669
85,0.02267435,0.8684279,0.33241227,4392.627,-0.012232924,-0.13383487
86,0.022646269,0.868587,0.34081596,4389.8945,-0.011600614,-0.1338356
87,0.022619117,0.86874044,0.347693,4387.168,-0.010969615,-0.133829
88,0.022592915,0.8688887,0.35277134,4384.4463,-0.010339975,-0.13381532
89,0.022567611,0.869032,0.3560482,4381.7314,-0.0097115515,-0.13379443
90,0.022543132,0.8691708,0.35776958,4379.0215,-0.009084487,-0.1337666
91,0.022519436,0.86930496,0.3583793,4376.3174,-0.008458758,-0.13373211
92,0.022496501,0.8694347,0.35844198,4373.6187,-0.007834244,-0.1336908
93,0.02247433,0.86956006,0.3585516,4370.9253,-0.0072110295,-0.13364284
94,0.022452917,0.8696812,0.35923892,4368.2373,-0.0065889955,-0.13358822
95,0.022432242,0.8697979,0.36089116,4365.5557,-0.0059683323,-0.13352725
96,0.022412285,0.86991054,0.36370078,4362.879,-0.0053488254,-0.13345988
97,0.022393042,0.8700188,0.36764684,4360.2075,-0.004730654,-0.13338618
98,0.022374535,0.87012243,0.3725195,4357.541,-0.0041135787,-0.13330622
99,0.0223568,0.87022144,0.3779722,4354.88,-0.0034978508,-0.13322008
100,0.022339873,0.8703157,0.38359466,4352.2246,-0.0028833388,-0.1331279
101,0.022323757,0.8704054,0.3889872,4349.5747,-0.002270007,-0.13302955
102,0.022308417,0.87049085,0.3938255,4346.929,-0.0016578436,-0.13292527
103,0.02229379,0.87057257,0.39790386,4344.29,-0.0010469437,-0.13281503
104,0.022279806,0.87065095,0.4011546,4341.6553,-0.00043720007,-0.13269894
105,0.022266401,0.8707261,0.40364236,4339.026,0.00017133952,-0.13257693
106,0.022253528,0.87079847,0.40553752,4336.4014,0.0007787108,-0.13244916
107,0.022241151,0.870868,0.4070754,4333.782,0.0013849139,-0.13231571
108,0.022229232,0.87093514,0.4085075,4331.168,0.0019899607,-0.13217635
109,0.022217723,0.8710002,0.41005483,4328.5586,0.0025937795,-0.13203149
110,0.022206582,0.87106335,0.41186944,4325.9546,0.0031965612,-0.13188097
111,0.022195764,0.87112474,0.4140133,4323.3555,0.0037981153,-0.13172475
112,0.022185246,0.87118423,0.4164571,4320.7607,0.0043985127,-0.13156313
113,0.02217502,0.8712422,0.41909534,4318.1714,0.0049978616,-0.13139586
114,0.0221651,0.8712982,0.42177805,4315.587,0.005595982,-0.13122319
115,0.02215549,0.8713524,0.42434508,4313.008,0.006193054,-0.13104507
116,0.022146184,0.871405,0.4266619,4310.4326,0.0067889094,-0.13086155
117,0.022137169,0.87145597,0.42864496,4307.8623,0.0073837875,-0.1306726
118,0.022128422,0.87150544,0.4302761,4305.298,0.007977438,-0.13047847
119,0.022119924,0.87155354,0.4316023,4302.7373,0.008570099,-0.13027889
120,0.022111665,0.8716003,0.4327243,4300.1816,0.009161556,-0.13007405
121,0.02210364,0.8716456,0.43377343,4297.6304,0.009751951,-0.1298641
122,0.022095846,0.8716896,0.43488622,4295.084,0.010341299,-0.12964892
123,0.022088282,0.8717324,0.43617693,4292.543,0.010929513,-0.12942861
124,0.022080932,0.871774,0.43771744,4290.0054,0.0115167145,-0.12920317
125,0.02207378,0.87181455,0.4395256,4287.4736,0.012102795,-0.12897263
126,0.022066813,0.871854,0.4415651,4284.946,0.01268785,-0.1287372
127,0.022060018,0.8718926,0.44375563,4282.423,0.01327188,-0.1284968
128,0.02205338,0.87193024,0.4459916,4279.904,0.013854695,-0.12825142
129,0.022046894,0.87196714,0.44816375,4277.39,0.014436603,-0.1280011
130,0.02204055,0.87200326,0.45017928,4274.881,0.015017402,-0.12774602
131,0.022034336,0.87203854,0.45197886,4272.376,0.015597189,-0.12748617
132,0.022028247,0.8720733,0.45354444,4269.876,0.016175937,-0.12722151
133,0.02202227,0.8721072,0.45489898,4267.379,0.016753662,-0.12695225
134,0.022016417,0.8721406,0.45609856,4264.8877,0.017330313,-0.12667829
135,0.022010675,0.8721732,0.45721847,4262.4004,0.017905962,-0.1263998
136,0.022005055,0.87220514,0.4583375,4259.9185,0.01848054,-0.12611671
137,0.021999551,0.8722364,0.45952234,4257.44,0.019054186,-0.12582923
138,0.021994166,0.87226707,0.46081644,4254.966,0.019626725,-0.12553735
139,0.021988884,0.872297,0.46223402,4252.496,0.020198356,-0.12524106
140,0.021983707,0.8723265,0.46376014,4250.0312,0.020768976,-0.124940515
141,0.021978628,0.87235534,0.4653576,4247.5693,0.021338547,-0.124635674
142,0.021973642,0.8723838,0.46697578,4245.1133,0.021907127,-0.12432678
143,0.021968741,0.8724117,0.46856338,4242.661,0.022474706,-0.124013685
144,0.021963926,0.8724391,0.47007808,4240.2124,0.023041379,-0.1236966
145,0.021959186,0.8724662,0.47149515,4237.7686,0.023606956,-0.12337545
146,0.021954522,0.8724928,0.47280988,4235.329,0.024171626,-0.123050526
147,0.021949928,0.8725189,0.47403565,4232.8936,0.024735272,-0.12272171
148,0.02194541,0.87254477,0.47519952,4230.4624,0.025297951,-0.12238909
149,0.021940965,0.87257004,0.47633377,4228.036,0.025859606,-0.1220528
150,0.021936584,0.872595,0.4774685,4225.613,0.026420439,-0.12171286
151,0.021932274,0.8726196,0.47862443,4223.1943,0.026980221,-0.12136934
152,0.021928031,0.8726438,0.47981033,4220.78,0.027539004,-0.12102236
153,0.021923847,0.8726677,0.4810207,4218.3696,0.028096844,-0.12067199
154,0.021919727,0.87269115,0.48223954,4215.963,0.02865379,-0.12031814
155,0.021915663,0.8727144,0.48344383,4213.5605,0.029209698,-0.11996113
156,0.02191166,0.8727371,0.48461,4211.1626,0.029764747,-0.11960083
157,0.021907713,0.8727597,0.48571974,4208.7686,0.030318772,-0.11923742
158,0.021903824,0.87278193,0.48676434,4206.3784,0.030871928,-0.11887093
159,0.021899987,0.8728038,0.48774505,4203.9927,0.031424046,-0.1185015
160,0.0218962,0.87282544,0.48867378,4201.611,0.03197527,-0.11812906
161,0.021892468,0.8728467,0.48956847,4199.233,0.0325256,-0.11775386
162,0.021888783,0.87286776,0.49045068,4196.8594,0.033075012,-0.11737587
163,0.021885145,0.87288845,0.49133816,4194.4893,0.03362341,-0.11699513
164,0.021881558,0.87290907,0.4922448,4192.1235,0.034170937,-0.116611764
165,0.021878015,0.8729292,0.4931739,4189.7617,0.034717523,-0.11622592
166,0.021874519,0.87294924,0.49412328,4187.404,0.035263192,-0.115837574
167,0.021871064,0.87296885,0.49507874,4185.05,0.035807945,-0.11544676
168,0.021867651,0.87298834,0.49603027,4182.6997,0.036351822,-0.115053594
169,0.021864286,0.8730076,0.49695426,4180.3535,0.0368947,-0.11465822
170,0.021860963,0.8730265,0.49785072,4178.011,0.03743676,-0.114260696
171,0.021857688,0.8730451,0.49869147,4175.673,0.037977852,-0.11386094
172,0.021854473,0.87306327,0.49951202,4173.3384,0.03851805,-0.11345911
173,0.02185134,0.87308055,0.5002527,4171.0083,0.039057363,-0.113055386
174,0.021848328,0.87309754,0.50104904,4168.681,0.03959577,-0.112649694
175,0.02184539,0.87311554,0.5016872,4166.3584,0.040133275,-0.11224209
176,0.021842273,0.8731352,0.502493,4164.039,0.040669896,-0.1118328
177,0.021838881,0.8731529,0.50320303,4161.724,0.041205645,-0.11142178
178,0.021835798,0.8731688,0.5038625,4159.413,0.041740466,-0.11100905
179,0.021833051,0.8731863,0.5046846,4157.1055,0.042274367,-0.110594764
180,0.021830032,0.87320423,0.50535727,4154.802,0.04280747,-0.11017901
181,0.021826923,0.8732201,0.506039,4152.502,0.043339632,-0.10976169
182,0.021824175,0.8732363,0.5068308,4150.206,0.043870926,-0.109343015
183,0.021821368,0.87325346,0.5074595,4147.913,0.04440131,-0.108923115
184,0.021818396,0.8732691,0.50811064,4145.625,0.044930935,-0.10850185
185,0.021815678,0.87328464,0.5088392,4143.3403,0.04545957,-0.108079374
186,0.021812987,0.8733009,0.5094186,4141.0596,0.045987308,-0.10765573
187,0.021810153,0.8733163,0.5100297,4138.7817,0.04651425,-0.10723108
188,0.021807503,0.87333137,0.51071215,4136.5083,0.04704026,-0.106805325
189,0.021804893,0.8733469,0.5112709,4134.2383,0.04756545,-0.10637863
190,0.021802185,0.87336177,0.51186335,4131.9717,0.048089765,-0.10595095
191,0.02179962,0.87337637,0.5125212,4129.7095,0.04861324,-0.105522454
192,0.021797085,0.87339133,0.5130692,4127.451,0.049135815,-0.105093144
193,0.021794485,0.87340575,0.5136379,4125.1963,0.049657524,-0.10466311
194,0.021791998,0.8734199,0.5142571,4122.9443,0.050178457,-0.1042323
195,0.02178954,0.87343425,0.51477206,4120.6963,0.050698508,-0.10380091
196,0.021787044,0.8734482,0.5152939,4118.4526,0.051217593,-0.10336894
197,0.021784637,0.8734619,0.51585686,4116.2124,0.05173601,-0.10293629
198,0.021782253,0.87347573,0.51632905,4113.9756,0.052253425,-0.10250324
199,0.021779846,0.8734892,0.516807,4111.743,0.05277008,-0.10206978
200,0.021777516,0.87350255,0.5173275,4109.513,0.053285826,-0.1016358
