fold,target,epoch,train_loss
1,delta_worst_slack_ns,1,1.0609738019493606
1,delta_worst_slack_ns,2,0.7730121227714034
1,delta_worst_slack_ns,3,0.5818364593359802
1,delta_worst_slack_ns,4,0.44774534161742385
1,delta_worst_slack_ns,5,0.34921303749442456
1,delta_worst_slack_ns,6,0.2749161204776248
1,delta_worst_slack_ns,7,0.21848477217349205
1,delta_worst_slack_ns,8,0.1753381858537863
1,delta_worst_slack_ns,9,0.14230870708330973
1,delta_worst_slack_ns,10,0.1168133363619939
1,delta_worst_slack_ns,11,0.09712304441152034
1,delta_worst_slack_ns,12,0.08181072966204034
1,delta_worst_slack_ns,13,0.069925866282738
1,delta_worst_slack_ns,14,0.06068900310330921
1,delta_worst_slack_ns,15,0.05353211563404974
1,delta_worst_slack_ns,16,0.04801832727931283
1,delta_worst_slack_ns,17,0.043806497757141294
1,delta_worst_slack_ns,18,0.04060185222967609
1,delta_worst_slack_ns,19,0.038206237180902436
1,delta_worst_slack_ns,20,0.036415388611880865
1,delta_worst_slack_ns,21,0.03510463157215634
1,delta_worst_slack_ns,22,0.03412854304542771
1,delta_worst_slack_ns,23,0.03341639171670507
1,delta_worst_slack_ns,24,0.032898674061795974
1,delta_worst_slack_ns,25,0.03252162612057305
1,delta_worst_slack_ns,26,0.03223803404483709
1,delta_worst_slack_ns,27,0.032018866311680445
1,delta_worst_slack_ns,28,0.03185597993992828
1,delta_worst_slack_ns,29,0.0317242467501858
1,delta_worst_slack_ns,30,0.03161732144877538
1,delta_total_negative_slack_ns,1,0.9890545935960146
1,delta_total_negative_slack_ns,2,0.8712189115203537
1,delta_total_negative_slack_ns,3,0.8121851310357675
1,delta_total_negative_slack_ns,4,0.7711353987544864
1,delta_total_negative_slack_ns,5,0.7364912131527165
1,delta_total_negative_slack_ns,6,0.7056142213466289
1,delta_total_negative_slack_ns,7,0.6775428022708263
1,delta_total_negative_slack_ns,8,0.6519999274978409
1,delta_total_negative_slack_ns,9,0.628851277692182
1,delta_total_negative_slack_ns,10,0.6075499705724172
1,delta_total_negative_slack_ns,11,0.5884410395278586
1,delta_total_negative_slack_ns,12,0.5711607958103443
1,delta_total_negative_slack_ns,13,0.555611255111637
1,delta_total_negative_slack_ns,14,0.5415855856450112
1,delta_total_negative_slack_ns,15,0.529216844756324
1,delta_total_negative_slack_ns,16,0.5182740880741371
1,delta_total_negative_slack_ns,17,0.5083392133583894
1,delta_total_negative_slack_ns,18,0.49972010213691553
1,delta_total_negative_slack_ns,19,0.49208460430483203
1,delta_total_negative_slack_ns,20,0.48546731847900526
1,delta_total_negative_slack_ns,21,0.4796138013805355
1,delta_total_negative_slack_ns,22,0.4746352144189783
1,delta_total_negative_slack_ns,23,0.47037716518651257
1,delta_total_negative_slack_ns,24,0.46659275916245607
1,delta_total_negative_slack_ns,25,0.4634302537720483
1,delta_total_negative_slack_ns,26,0.4607550009592875
1,delta_total_negative_slack_ns,27,0.45848754630074484
1,delta_total_negative_slack_ns,28,0.4565780725744035
1,delta_total_negative_slack_ns,29,0.45510294612821517
1,delta_total_negative_slack_ns,30,0.45369880049078315
2,delta_worst_slack_ns,1,1.4288396147994307
2,delta_worst_slack_ns,2,1.1245965601445675
2,delta_worst_slack_ns,3,0.9032538398966059
2,delta_worst_slack_ns,4,0.7318180271455118
2,delta_worst_slack_ns,5,0.5941255710146449
2,delta_worst_slack_ns,6,0.4821104903120894
2,delta_worst_slack_ns,7,0.39162903558742534
2,delta_worst_slack_ns,8,0.31870716819176087
2,delta_worst_slack_ns,9,0.2604229814476437
2,delta_worst_slack_ns,10,0.2139617505821738
2,delta_worst_slack_ns,11,0.17703411000984925
2,delta_worst_slack_ns,12,0.14770309725502231
2,delta_worst_slack_ns,13,0.12426005632759214
2,delta_worst_slack_ns,14,0.10554469027766236
2,delta_worst_slack_ns,15,0.09051874794580557
2,delta_worst_slack_ns,16,0.07846205392936328
2,delta_worst_slack_ns,17,0.06876837477848695
2,delta_worst_slack_ns,18,0.06098833571638431
2,delta_worst_slack_ns,19,0.05475147647990121
2,delta_worst_slack_ns,20,0.04977881592941714
2,delta_worst_slack_ns,21,0.04583187707820096
2,delta_worst_slack_ns,22,0.0427215058837567
2,delta_worst_slack_ns,23,0.04027270644276708
2,delta_worst_slack_ns,24,0.03836500679363718
2,delta_worst_slack_ns,25,0.03688480923170442
2,delta_worst_slack_ns,26,0.03574429291325647
2,delta_worst_slack_ns,27,0.03485938223140376
2,delta_worst_slack_ns,28,0.034177384420379146
2,delta_worst_slack_ns,29,0.03365978789893356
2,delta_worst_slack_ns,30,0.033239717284838356
2,delta_total_negative_slack_ns,1,0.9259951175512137
2,delta_total_negative_slack_ns,2,0.8433244978343403
2,delta_total_negative_slack_ns,3,0.7931518359585209
2,delta_total_negative_slack_ns,4,0.7544052357430214
2,delta_total_negative_slack_ns,5,0.7213766091578716
2,delta_total_negative_slack_ns,6,0.6916755094184531
2,delta_total_negative_slack_ns,7,0.6647522624906477
2,delta_total_negative_slack_ns,8,0.6402502543217427
2,delta_total_negative_slack_ns,9,0.6180067978821717
2,delta_total_negative_slack_ns,10,0.5978296452814394
2,delta_total_negative_slack_ns,11,0.5796690155435968
2,delta_total_negative_slack_ns,12,0.5632809459626138
2,delta_total_negative_slack_ns,13,0.5485469503803654
2,delta_total_negative_slack_ns,14,0.5353954122947143
2,delta_total_negative_slack_ns,15,0.523750081971601
2,delta_total_negative_slack_ns,16,0.5135237519089524
2,delta_total_negative_slack_ns,17,0.5042990225929398
2,delta_total_negative_slack_ns,18,0.4962974296317802
2,delta_total_negative_slack_ns,19,0.4892966562026256
2,delta_total_negative_slack_ns,20,0.4832530850404734
2,delta_total_negative_slack_ns,21,0.47792173658047354
2,delta_total_negative_slack_ns,22,0.47334974869951474
2,delta_total_negative_slack_ns,23,0.46947293829273534
2,delta_total_negative_slack_ns,24,0.466149195178493
2,delta_total_negative_slack_ns,25,0.46339210483046983
2,delta_total_negative_slack_ns,26,0.4609795486604845
2,delta_total_negative_slack_ns,27,0.4590170132863271
2,delta_total_negative_slack_ns,28,0.45729837107944776
2,delta_total_negative_slack_ns,29,0.4559163495942995
2,delta_total_negative_slack_ns,30,0.4547903314009085
3,delta_worst_slack_ns,1,1.137521331421813
3,delta_worst_slack_ns,2,0.7815457202537716
3,delta_worst_slack_ns,3,0.5573430347163775
3,delta_worst_slack_ns,4,0.4037257105286358
3,delta_worst_slack_ns,5,0.2951952007256056
3,delta_worst_slack_ns,6,0.21719837789995627
3,delta_worst_slack_ns,7,0.1605290468150412
3,delta_worst_slack_ns,8,0.11962725331037365
3,delta_worst_slack_ns,9,0.0904376727708599
3,delta_worst_slack_ns,10,0.07004068386659287
3,delta_worst_slack_ns,11,0.05610136713897973
3,delta_worst_slack_ns,12,0.04682971709217244
3,delta_worst_slack_ns,13,0.04078954264347316
3,delta_worst_slack_ns,14,0.0369710938144497
3,delta_worst_slack_ns,15,0.03460348146962144
3,delta_worst_slack_ns,16,0.03317597170757969
3,delta_worst_slack_ns,17,0.03233081993390942
3,delta_worst_slack_ns,18,0.031832019814796615
