epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,-0.016840577,-0.034704566,-0.0034359694,-28.055452
2,0.0017766953,-0.021267056,0.01057744,-26.753687
3,0.020099401,-0.007346034,0.024124563,-25.488327
4,0.038227677,0.007133901,0.037285328,-24.25275
5,0.056260705,0.02211988,0.05013013,-23.06062
6,0.074290454,0.037688017,0.06269747,-21.937735
7,0.09240842,0.05381143,0.075054884,-20.85266
8,0.11070979,0.07042962,0.08724737,-19.784647
9,0.12924308,0.08750069,0.099282146,-18.716486
10,0.14802843,0.104929745,0.11117512,-17.637074
11,0.16707242,0.122694016,0.12290597,-16.55713
12,0.18638068,0.14070493,0.13446379,-15.475576
13,0.20593739,0.15887141,0.14583462,-14.404012
14,0.2257433,0.17720073,0.15702051,-13.361629
15,0.24574208,0.19562799,0.16805398,-12.35684
16,0.26591545,0.21419752,0.17896336,-11.39737
17,0.28624964,0.23288697,0.18979877,-10.480234
18,0.30669677,0.25175244,0.20057762,-9.606756
19,0.3272038,0.27087504,0.21132576,-8.790273
20,0.3477121,0.29038376,0.2220043,-8.034657
21,0.36814916,0.3102308,0.23260379,-7.323988
22,0.38848388,0.33038342,0.24311358,-6.6611953
23,0.40868622,0.35092795,0.25347942,-6.046795
24,0.42870975,0.37182784,0.2636515,-5.4806604
25,0.44850707,0.39285898,0.27358705,-4.962794
26,0.4680444,0.41391557,0.28327388,-4.500548
27,0.48732668,0.4349532,0.29265618,-4.0851455
28,0.50634885,0.45604104,0.30172014,-3.7301764
29,0.52510506,0.47709244,0.3104263,-3.43259
30,0.5435471,0.4980235,0.31877893,-3.1922412
31,0.5616421,0.5188173,0.32679302,-3.003499
32,0.5793682,0.5393705,0.33445084,-2.8633163
33,0.59672177,0.5596337,0.34184825,-2.762021
34,0.6136758,0.5793512,0.34904206,-2.6999469
35,0.63021207,0.598302,0.3560589,-2.672312
36,0.6463162,0.61639166,0.3629853,-2.6805034
37,0.6619643,0.6333997,0.36992848,-2.70242
38,0.67711115,0.6489959,0.37698656,-2.7370958
39,0.69174206,0.66296256,0.38426334,-2.7845962
40,0.70578337,0.6753787,0.39177942,-2.8374615
41,0.7192239,0.6858659,0.39958262,-2.8951147
42,0.73197657,0.69414324,0.4076622,-2.9518824
43,0.74400115,0.70007455,0.41596836,-3.016213
44,0.7552335,0.70349383,0.42443323,-3.0883336
45,0.7656304,0.704273,0.4329605,-3.1750965
46,0.77514976,0.70220697,0.4415024,-3.2814593
47,0.783751,0.6976409,0.45000547,-3.4151149
48,0.7914131,0.69051087,0.45840138,-3.5753903
49,0.7981196,0.6812365,0.46670026,-3.7661457
50,0.80386627,0.6705282,0.47501582,-3.9926019
51,0.80869955,0.65870273,0.48341304,-4.261168
