design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s27,4,total_negative_slack_ns,288,-161.85475158691406,1.6323473453521729,2.1919705867767334,-0.4652949869632721,0.0,-0.08177533745765686,-1.5934996604919434,-1.511724591255188
i2c,2,total_negative_slack_ns,288,-27.53644371032715,53.80970001220703,61.545772552490234,-33.42695617675781,0.0,-7.131219863891602,-60.94091796875,-53.80970001220703
s444,2,total_negative_slack_ns,288,-8.261293411254883,4.136769771575928,5.063694953918457,-4.594910144805908,0.0,-0.8916535973548889,-4.294118881225586,-3.4024648666381836
s510,1,total_negative_slack_ns,288,-7.8040571212768555,2.8459420204162598,3.7828617095947266,-3.521289110183716,0.0,-0.8304376602172852,-3.651027202606201,-2.820589303970337
usb_phy,1,total_negative_slack_ns,288,-5.299066543579102,12.556400299072266,18.425189971923828,-20.32241439819336,0.0,-4.0896806716918945,-15.115449905395508,-11.02577018737793
systemcdes,2,total_negative_slack_ns,288,-4.852113723754883,72.51519012451172,73.28959655761719,-83.60449981689453,0.0,-23.923463821411133,-96.43865203857422,-72.51519012451172
s344,2,total_negative_slack_ns,288,-1.3676948547363281,1.88511323928833,2.4833450317382812,-4.482790946960449,0.0,-0.950855016708374,-2.115713596343994,-1.164858341217041
s838,5,total_negative_slack_ns,288,-1.2420001029968262,4.116004943847656,5.741960525512695,-9.767878532409668,0.0,-2.6199939250946045,-6.14982795715332,-3.529834032058716
s386,5,total_negative_slack_ns,288,-0.5831930637359619,1.0044838190078735,1.4679219722747803,-3.1184980869293213,0.0,-0.746756911277771,-1.6920723915100098,-0.9453154802322388
s298,3,total_negative_slack_ns,288,-0.21356618404388428,1.0481680631637573,1.2499017715454102,-3.157489061355591,0.0,-0.5928377509117126,-1.230479121208191,-0.6376412510871887
s1423a,3,total_negative_slack_ns,288,-0.07106590270996094,11.266862869262695,15.50115966796875,-40.895965576171875,0.0,-14.305703163146973,-3.4427077770233154,10.862995147705078
s1423,4,total_negative_slack_ns,288,0.06320184469223022,10.73867416381836,14.547476768493652,-40.30670166015625,0.0,-14.81924819946289,-4.234782695770264,10.584465026855469
s832,2,total_negative_slack_ns,288,0.10653626918792725,1.8019750118255615,2.404815435409546,-6.867057800292969,0.0,-1.7138322591781616,-3.187747001647949,-1.473914623260498
s400,4,total_negative_slack_ns,288,0.12043249607086182,1.285786509513855,1.5352094173431396,-4.488002777099609,0.0,-0.8724053502082825,-2.050297498703003,-1.1778922080993652
s420,3,total_negative_slack_ns,288,0.14823293685913086,1.276186466217041,1.543617844581604,-4.480721950531006,0.0,-1.081291913986206,-1.8447394371032715,-0.7634475231170654
s832a,1,total_negative_slack_ns,288,0.23381584882736206,1.8306734561920166,2.226947069168091,-6.867057800292969,0.0,-1.7138322591781616,-3.5024824142456055,-1.7886500358581543
s526a,4,total_negative_slack_ns,288,0.2655484676361084,1.2077789306640625,1.4345372915267944,-4.59926700592041,0.0,-0.8958985805511475,-1.9851651191711426,-1.0892665386199951
s382,4,total_negative_slack_ns,288,0.30407100915908813,1.2392829656600952,1.4587743282318115,-4.823084831237793,0.0,-0.9624850749969482,-2.1351215839385986,-1.1726365089416504
s820a,3,total_negative_slack_ns,288,0.37027329206466675,1.5668339729309082,1.9808340072631836,-6.843706130981445,0.0,-1.6709110736846924,-2.998542547225952,-1.3276314735412598
ss_pcm,3,total_negative_slack_ns,288,0.48427170515060425,3.932389974594116,4.199542045593262,-16.613008499145508,0.0,-3.321835517883301,-6.302886009216309,-2.981050729751587
