epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0208733,-0.0007261157,-0.057565786,1.005974,0.010334718,-1.2605058
2,1.0018283,0.01804862,-0.045222975,0.9901978,0.025886059,-1.1403322
3,0.983781,0.03639834,-0.03352928,0.9755538,0.040912677,-1.0267993
4,0.9652855,0.05441829,-0.0224298,0.95989656,0.055504225,-0.9182685
5,0.94791317,0.07217549,-0.011947167,0.9465736,0.069670424,-0.81472015
6,0.9306699,0.08975695,-0.0020119785,0.9329666,0.08347312,-0.7154556
7,0.91301566,0.10719627,0.007466519,0.9190987,0.096897684,-0.6201749
8,0.89606744,0.12454442,0.016645003,0.90506697,0.10993828,-0.52866375
9,0.87923795,0.14184316,0.025602996,0.89207107,0.12266924,-0.44067174
10,0.86225665,0.15912394,0.03438164,0.8805238,0.13514051,-0.356452
11,0.84561574,0.17639907,0.043023743,0.86721563,0.14736243,-0.27611607
12,0.82827836,0.19368358,0.05152725,0.85570526,0.15939109,-0.20040128
13,0.81126577,0.21100803,0.059945025,0.84300643,0.17124854,-0.12979524
14,0.79393536,0.22838536,0.06831908,0.83206403,0.182933,-0.06478405
15,0.7766955,0.2458355,0.07669739,0.8195754,0.19446205,-0.005886972
16,0.759755,0.26338285,0.08515535,0.80760586,0.20583911,0.0464463
17,0.74303085,0.2810284,0.0938172,0.7974477,0.21700084,0.0921193
18,0.7247273,0.2987671,0.10281414,0.7857817,0.22791478,0.13092072
19,0.70695204,0.31660056,0.11227591,0.7760662,0.23855165,0.16305125
20,0.6896003,0.33453235,0.122297525,0.7647104,0.24885778,0.18875615
21,0.6719993,0.35255066,0.13293998,0.75482637,0.2588099,0.20845199
22,0.65433747,0.370647,0.14426439,0.7452222,0.2683611,0.22280326
23,0.636322,0.38880196,0.15631455,0.7350317,0.27753398,0.23271541
24,0.61834997,0.4070119,0.16910774,0.7259184,0.28632468,0.23902193
25,0.6000427,0.42527875,0.1825744,0.71771175,0.29473823,0.24261913
26,0.5830875,0.4436062,0.19665225,0.7085416,0.30278444,0.24436836
27,0.56523955,0.46199554,0.21118207,0.7018641,0.3104717,0.24503998
28,0.5468408,0.48045522,0.22598603,0.6939064,0.31782967,0.24517974
29,0.52925116,0.49898157,0.24090962,0.68719757,0.32489547,0.24530816
30,0.5102453,0.5175586,0.25580606,0.6795527,0.3317336,0.24580951
31,0.4918849,0.53614646,0.27051473,0.67336917,0.33839557,0.24683979
32,0.4736522,0.5547261,0.28492317,0.66691047,0.34492284,0.24855927
33,0.45545802,0.5732583,0.29879934,0.65844077,0.35137373,0.25109378
34,0.4371666,0.591683,0.31200975,0.6546805,0.35780117,0.2545126
35,0.41952324,0.6099447,0.32446423,0.64787376,0.36425644,0.25874195
36,0.40232077,0.62798727,0.33608168,0.6424091,0.37074494,0.26376003
37,0.38384673,0.64573944,0.3465778,0.6340329,0.37725386,0.2694241
38,0.36604485,0.66313213,0.35585278,0.62937385,0.38377312,0.27570483
39,0.35007125,0.68008006,0.36401373,0.6222571,0.39033383,0.2824904
40,0.33350664,0.6964977,0.37099448,0.61551154,0.39700508,0.28968665
41,0.31692573,0.71227723,0.3767128,0.6102939,0.403857,0.29715338
42,0.30208495,0.7273193,0.3812873,0.60231215,0.41092736,0.30477095
43,0.28743353,0.7415136,0.38465995,0.59424466,0.41817647,0.3123229
44,0.2736445,0.75476474,0.38734126,0.5909081,0.42550802,0.3195622
45,0.26177877,0.76699686,0.38966393,0.5820178,0.4328757,0.32645506
46,0.25020933,0.77813655,0.39113775,0.5748574,0.44024915,0.33288035
47,0.23767598,0.78815013,0.39221495,0.5651499,0.44764167,0.33879095
48,0.22913024,0.7970208,0.39309222,0.5609121,0.4550436,0.3441005
49,0.22119813,0.8047719,0.39297485,0.5537936,0.46245846,0.3488286
50,0.21336481,0.8114578,0.39272085,0.5469586,0.46988264,0.35309172
51,0.20752844,0.8171608,0.3929793,0.5388574,0.4773198,0.35697252
52,0.20242842,0.8219782,0.3937891,0.5317935,0.48480225,0.36054492
53,0.19717658,0.8260171,0.39510918,0.52446127,0.49235016,0.36394078
54,0.1938599,0.8293983,0.39703113,0.51818883,0.49996156,0.367276
55,0.19173588,0.8322426,0.39855623,0.5095981,0.5076102,0.37064075
56,0.18876012,0.83464766,0.4006546,0.50494945,0.5152854,0.37410897
57,0.1862962,0.8367117,0.40423068,0.49495205,0.522986,0.37757555
58,0.18522793,0.838525,0.4091207,0.4884495,0.53069913,0.38098568
59,0.18385902,0.84017074,0.41515136,0.48053282,0.53840804,0.38437194
60,0.18088081,0.84172726,0.4214968,0.47583094,0.54607666,0.3879572
61,0.17943655,0.84325665,0.42766672,0.465276,0.5537143,0.39171928
62,0.17968021,0.8448064,0.43287164,0.45976052,0.5612996,0.39597285
63,0.17827463,0.8463933,0.4388112,0.4501206,0.5688365,0.40049094
64,0.17618547,0.84800947,0.44540215,0.44615823,0.5763278,0.40553078
65,0.17547369,0.84964263,0.45292163,0.43587294,0.58376056,0.41089553
66,0.17264009,0.8512678,0.46140376,0.4313755,0.5911182,0.4164911
67,0.17147899,0.85285664,0.47021285,0.42233974,0.5983958,0.42236057
68,0.16951519,0.8543849,0.47920614,0.4162464,0.6055781,0.4283184
69,0.16869576,0.85582983,0.48806936,0.41107273,0.61263454,0.43423414
70,0.16664323,0.8571764,0.49683875,0.4025311,0.6195697,0.44023356
71,0.1657689,0.8584136,0.5057222,0.39570636,0.62638223,0.446101
72,0.16387309,0.859529,0.5134524,0.39178872,0.6330589,0.45166272
73,0.16248605,0.86052597,0.52107453,0.38425678,0.6395853,0.45723525
74,0.16079947,0.8614067,0.5281823,0.3770086,0.6459609,0.46276218
75,0.16030721,0.86218345,0.5337137,0.37282068,0.65216523,0.46856064
76,0.15936187,0.8628623,0.53856885,0.3658703,0.6582203,0.47472534
77,0.15881076,0.8634554,0.5427985,0.36058378,0.6641269,0.48091078
78,0.15747006,0.86398,0.5469793,0.35377544,0.66991496,0.48731834
79,0.15722233,0.8644537,0.550845,0.35008806,0.67556506,0.49349904
80,0.15677767,0.86489093,0.554879,0.34446263,0.6810782,0.49945107
81,0.15588108,0.8653053,0.55914354,0.3347755,0.6864605,0.5051211
82,0.15663683,0.86570615,0.56294155,0.33599544,0.69171077,0.51042384
83,0.15497255,0.8661,0.56671923,0.33058226,0.6968454,0.515808
84,0.15458271,0.8664917,0.5699538,0.32389274,0.70187986,0.5212391
85,0.15518844,0.86688787,0.57352716,0.32148153,0.70681214,0.5264347
86,0.15384078,0.86729175,0.5774648,0.3136204,0.7116303,0.5311376
87,0.15349098,0.8677009,0.5807878,0.30762187,0.71636015,0.5356522
88,0.15233144,0.86811334,0.58401257,0.30689913,0.721015,0.5396522
89,0.15162866,0.8685252,0.5865789,0.30306745,0.725592,0.5433031
90,0.15175655,0.8689353,0.58890545,0.29729956,0.73008794,0.5462837
91,0.15189442,0.86934215,0.59079367,0.2887454,0.73451567,0.5487482
92,0.15100226,0.869738,0.5920919,0.28810698,0.738875,0.5509889
93,0.15069969,0.87012255,0.5933605,0.28446978,0.74317706,0.55368054
94,0.15092422,0.8704918,0.5950476,0.27859885,0.7473897,0.5570117
95,0.15042512,0.8708452,0.59704816,0.2754762,0.7515274,0.5608217
96,0.14920667,0.8711816,0.5997113,0.27095366,0.75560105,0.5645715
97,0.14958663,0.87149715,0.6015988,0.2674877,0.7596343,0.5683292
98,0.14882891,0.87179816,0.60376996,0.2639239,0.76362324,0.57155883
99,0.14802171,0.87208474,0.6060589,0.2605749,0.76756597,0.5745601
100,0.1478219,0.87235767,0.6085995,0.25670615,0.77149487,0.5769426
101,0.14745165,0.87262315,0.611338,0.2541812,0.77538264,0.57870865
102,0.14745831,0.8728796,0.61454,0.2475507,0.7792014,0.58080846
103,0.14766464,0.87312734,0.6182374,0.24381304,0.78296936,0.5824625
104,0.14665994,0.87336177,0.6224126,0.23987527,0.78671277,0.5842401
105,0.14701077,0.87358487,0.62556547,0.2382325,0.79041445,0.5872247
106,0.14651163,0.8737997,0.6282472,0.23770776,0.7940691,0.5900835
107,0.14592159,0.8740077,0.630545,0.23040886,0.79766697,0.5930398
108,0.14555988,0.87421113,0.6326817,0.23190351,0.80120337,0.59488714
109,0.14498672,0.8744108,0.63448936,0.2226992,0.8046789,0.59707654
110,0.14501576,0.8746048,0.6365689,0.21800256,0.8081463,0.5986742
111,0.14471166,0.8747901,0.63895494,0.21565628,0.8115819,0.6001587
112,0.14400241,0.87496936,0.64215505,0.2137289,0.8149516,0.60176325
113,0.14362702,0.8751422,0.6465086,0.20726076,0.818244,0.6039107
114,0.14365673,0.8753117,0.6503073,0.2055829,0.8215021,0.6062204
115,0.14310835,0.87548363,0.65308875,0.20438275,0.82473373,0.6092196
116,0.14306188,0.8756572,0.654981,0.20089206,0.82795525,0.6120904
117,0.1428431,0.8758279,0.65639555,0.20058498,0.8311369,0.61453974
118,0.14261709,0.8759926,0.6578099,0.19447817,0.83430845,0.61634886
119,0.14217539,0.8761568,0.65872324,0.19354339,0.8374359,0.6177656
120,0.14278278,0.87631845,0.66049135,0.18610892,0.84048307,0.6188957
121,0.14269724,0.8764821,0.6628834,0.17904821,0.84342736,0.6209709
122,0.14146326,0.8766465,0.6655273,0.17991725,0.8463092,0.6238065
123,0.14144316,0.87680894,0.66814053,0.18086657,0.8491287,0.627608
124,0.1404669,0.87696964,0.6707934,0.17551918,0.8519119,0.63122
125,0.1415316,0.8771324,0.67293227,0.17567635,0.85464704,0.6346878
126,0.14086157,0.8772953,0.67424,0.17043278,0.8573246,0.63785934
127,0.14092603,0.87745273,0.6752949,0.1669488,0.85999995,0.64103043
128,0.14083934,0.8776045,0.6763342,0.1673216,0.8626401,0.64274013
129,0.14013821,0.87775916,0.6778571,0.16326584,0.8651794,0.6441739
130,0.13968125,0.87792337,0.6791126,0.15975161,0.8676543,0.6463599
131,0.1396399,0.87808865,0.6801378,0.15504876,0.8700658,0.6492327
132,0.13899747,0.8782544,0.6809907,0.15531884,0.87236625,0.6535791
133,0.13924605,0.87841636,0.6822634,0.15207715,0.87462693,0.65775466
134,0.13846684,0.8785742,0.683541,0.15194885,0.8769039,0.66083807
135,0.1389128,0.87873393,0.6852926,0.1475232,0.8792335,0.6637069
136,0.13840885,0.87889516,0.6871029,0.14483854,0.8815829,0.6663523
137,0.1376827,0.8790574,0.68852365,0.1406681,0.8838522,0.667967
138,0.1383056,0.8792187,0.68996996,0.14312412,0.88601017,0.66985226
139,0.13762,0.87937796,0.69117737,0.14224455,0.8881027,0.6723753
140,0.13769133,0.8795357,0.6919298,0.13927189,0.89014655,0.6753262
141,0.137173,0.87968934,0.6925602,0.13470678,0.89220047,0.6788762
142,0.1371936,0.8798399,0.69328034,0.13429478,0.8942534,0.6838295
143,0.13637194,0.87999123,0.69426405,0.12958372,0.8963032,0.6890438
144,0.13683972,0.88014287,0.69494426,0.12770477,0.89836276,0.6941961
145,0.13690662,0.8802954,0.69609815,0.12584582,0.90032995,0.6982278
146,0.13677756,0.88045025,0.69764066,0.12506115,0.9022589,0.70029736
147,0.13647278,0.88060224,0.69948065,0.123422824,0.9041629,0.7019828
148,0.13633536,0.88075006,0.7003962,0.11759374,0.9059831,0.7040211
149,0.1354324,0.8808945,0.7010238,0.117772415,0.907722,0.70703304
150,0.13529316,0.88104117,0.7012103,0.11776099,0.9095005,0.71147746
151,0.13514674,0.8811935,0.70185626,0.114422455,0.91133803,0.71585083
152,0.13524893,0.88134575,0.7028805,0.11301962,0.91310596,0.7202282
153,0.1353061,0.8814928,0.70445454,0.11051774,0.9148531,0.7229044
154,0.1337129,0.8816355,0.70664245,0.11032407,0.91657734,0.7249078
155,0.1345453,0.8817765,0.7089821,0.107700154,0.9182248,0.72695255
156,0.13390012,0.8819243,0.71070755,0.10564288,0.91976583,0.72893524
157,0.13352539,0.8820793,0.7119728,0.10407613,0.9213821,0.7324958
158,0.1340098,0.8822371,0.71275216,0.1030604,0.9229779,0.7364237
159,0.13330667,0.8823956,0.71293837,0.09921749,0.9244355,0.74040806
160,0.13349578,0.8825477,0.712453,0.09644394,0.9258453,0.7443843
161,0.13351078,0.88269264,0.7121026,0.09599022,0.9272927,0.74721813
162,0.1333668,0.8828395,0.71255225,0.09586618,0.928809,0.749411
163,0.13280885,0.8829939,0.71377325,0.094270766,0.93021774,0.751654
164,0.13309428,0.8831531,0.7158215,0.09367141,0.93158257,0.75351155
165,0.13268869,0.8833107,0.7174349,0.091386095,0.93290806,0.75496274
166,0.13202389,0.8834621,0.7183855,0.08927843,0.9340997,0.757421
167,0.13133691,0.88361084,0.7197684,0.08741755,0.9352276,0.7608359
168,0.13197221,0.88376075,0.7206754,0.08753083,0.9365147,0.7640729
169,0.13207398,0.8839153,0.72151166,0.084391996,0.93794566,0.7665783
170,0.13089064,0.88407266,0.7213019,0.08365972,0.93913174,0.76804
171,0.13154581,0.88422585,0.7212358,0.08423972,0.94027996,0.7694232
172,0.13113777,0.8843772,0.7206877,0.082028426,0.94154966,0.7712892
173,0.13103023,0.88452923,0.7208907,0.08147298,0.9427662,0.7736989
174,0.13065094,0.88468474,0.72228813,0.08101551,0.9438121,0.7753511
175,0.1304473,0.88484067,0.72430295,0.079833254,0.9448245,0.7770727
176,0.13027744,0.88499355,0.7258605,0.07617338,0.94592726,0.7775641
177,0.12989506,0.8851439,0.72705495,0.074541576,0.9470887,0.77942735
178,0.12973918,0.8852933,0.7279267,0.07415759,0.94817847,0.7816842
179,0.12956119,0.88544977,0.727866,0.07246106,0.94912565,0.7847661
180,0.12960592,0.8856104,0.7275785,0.07420149,0.9501487,0.78839797
181,0.12848626,0.88577044,0.72767085,0.07111941,0.95117587,0.7922999
182,0.12815008,0.885928,0.72846574,0.07052888,0.9521486,0.7951096
183,0.12879573,0.8860868,0.72924554,0.0723304,0.9530174,0.796144
184,0.12866667,0.8862468,0.729945,0.067358196,0.953924,0.79677147
185,0.12797137,0.8864077,0.73116815,0.06773654,0.9549359,0.79742914
186,0.12873402,0.88656634,0.732712,0.06595882,0.95583326,0.7985527
187,0.12810405,0.88672197,0.7335509,0.06618503,0.9567108,0.8011508
188,0.12800565,0.8868823,0.73426306,0.06386557,0.9575161,0.80376613
189,0.12733543,0.8870473,0.734835,0.06427854,0.9582176,0.80676764
190,0.1275039,0.8872159,0.7350973,0.06230948,0.9589933,0.8082174
191,0.12708098,0.8873841,0.73524064,0.06388078,0.9597893,0.80867875
192,0.12707041,0.88755095,0.73551166,0.06282832,0.9605284,0.8075293
193,0.12679179,0.8877179,0.7358288,0.059125803,0.96117496,0.80671275
194,0.12686886,0.8878864,0.73634386,0.05875048,0.9618906,0.8078402
195,0.12604788,0.88805723,0.73742634,0.05797258,0.96277696,0.81201744
196,0.1257985,0.8882289,0.7389363,0.05936579,0.9635316,0.81649524
197,0.12571347,0.88840216,0.74058616,0.05648359,0.9642062,0.81919515
198,0.12627143,0.88857317,0.7413882,0.056954544,0.9649728,0.8190366
199,0.12554094,0.8887426,0.7416662,0.056469332,0.96561843,0.8178153
200,0.12548423,0.8889178,0.74169034,0.05320719,0.9661132,0.8181778
201,0.12499239,0.8890945,0.74139917,0.05495671,0.9667174,0.82104284
202,0.12470697,0.88927376,0.7406542,0.051904134,0.9673498,0.8243023
203,0.12543273,0.88945407,0.7406471,0.05161176,0.96801853,0.82627094
204,0.12416963,0.8896357,0.7407292,0.050669104,0.968685,0.82631093
205,0.124311306,0.889818,0.74202496,0.050228316,0.96930015,0.82522696
206,0.12425931,0.89000094,0.7430457,0.050684553,0.96979934,0.82376623
207,0.123854496,0.8901831,0.7438967,0.050086558,0.9703768,0.8248293
208,0.12391736,0.89036655,0.7445866,0.047765218,0.97094333,0.82737046
209,0.12385259,0.89055026,0.745075,0.048540022,0.9714502,0.8292988
210,0.12334116,0.8907348,0.7455627,0.047134943,0.97191536,0.82975996
211,0.123415574,0.8909193,0.7446604,0.045549877,0.9722644,0.82983226
212,0.12290351,0.891102,0.74363124,0.046891518,0.9726116,0.83073455
213,0.122922145,0.89128625,0.74324715,0.045327116,0.97324896,0.83312255
214,0.122364774,0.89147663,0.74399096,0.044878256,0.97379494,0.8357085
215,0.12247042,0.89166945,0.74514544,0.044846606,0.97415847,0.8367769
216,0.12162201,0.8918583,0.74653727,0.044613224,0.9745388,0.83759594
217,0.12224908,0.89204586,0.7471029,0.043978743,0.97504294,0.8388486
218,0.12157035,0.8922287,0.7472145,0.04374667,0.9754173,0.83996487
219,0.1212828,0.89240676,0.74749094,0.043954942,0.9757451,0.8401009
220,0.12144248,0.8925966,0.74739516,0.04004559,0.9760553,0.8403963
221,0.120843455,0.89279807,0.74660635,0.04084955,0.9763581,0.84103125
222,0.12079511,0.8930025,0.7458522,0.042127304,0.97671413,0.84236944
223,0.12086978,0.8932012,0.744658,0.04155771,0.97717774,0.84351903
224,0.12018122,0.893397,0.74409974,0.0400295,0.97763604,0.844663
225,0.12034714,0.89359206,0.7441789,0.039676495,0.978018,0.8456917
226,0.12006344,0.89379084,0.74559087,0.039410856,0.97832334,0.84573823
227,0.11938657,0.893984,0.74758226,0.03778703,0.97847736,0.84646356
228,0.119697616,0.8941746,0.7481578,0.03776744,0.9784454,0.84619313
229,0.11898209,0.89436626,0.7485703,0.03990089,0.9786994,0.8459921
230,0.11886225,0.89456594,0.74808455,0.03760446,0.97921693,0.8468195
231,0.11896,0.894776,0.7474239,0.03791149,0.97979003,0.8486517
232,0.118606135,0.8949832,0.7466909,0.036577612,0.9801222,0.8497079
233,0.11816096,0.89519393,0.7456005,0.037012395,0.980409,0.849603
234,0.11830618,0.89539945,0.7438711,0.035783775,0.98061764,0.8492061
235,0.11792616,0.89559823,0.7424427,0.036899306,0.98079777,0.8484728
236,0.117432795,0.8957964,0.7421255,0.035760816,0.9809166,0.84904784
237,0.11782064,0.89599514,0.74267954,0.036938854,0.9810912,0.85110027
238,0.11723081,0.8961979,0.7430885,0.03458067,0.9813943,0.8521722
239,0.1174808,0.89639866,0.74402416,0.03345818,0.9818634,0.8518254
240,0.11715728,0.8965999,0.74473965,0.034758735,0.9820902,0.85140336
241,0.116709635,0.89680797,0.74484354,0.034375288,0.98224545,0.85250473
242,0.11623794,0.8970214,0.74392486,0.033010762,0.9824954,0.85484314
243,0.11667242,0.89723027,0.74311006,0.033594955,0.98265487,0.85503787
244,0.115524985,0.8974371,0.7420405,0.03227355,0.98277473,0.85491866
245,0.115495324,0.89764863,0.740914,0.032740645,0.98298323,0.8538187
246,0.11609479,0.8978674,0.74097365,0.03306809,0.9832365,0.85396135
247,0.115271285,0.89808065,0.74114615,0.031970363,0.9834243,0.8566473
248,0.11507629,0.8982891,0.7420704,0.031501826,0.9834646,0.85866195
249,0.114847645,0.8984932,0.7413247,0.032422423,0.9836832,0.85788184
250,0.11448932,0.8986944,0.74031544,0.03156396,0.9838959,0.8559477
251,0.114258006,0.89889085,0.73996735,0.030952638,0.9839926,0.85618496
