design_name,total_input_bits,total_output_bits,total_register_bits,total_logic_operator_bits,total_adder_sub_bits,total_multiplier_bits,total_comparator_bits,total_multiplexer_bits,total_shift_bits,total_division_bits,average_tree_depth,average_wire_width,ast_total_memory_read_addr_bits,ast_total_memory_read_addr_width,ast_total_memory_write_addr_bits,ast_total_memory_write_addr_width
flopoco_00000_ieeefpfma,1.215147,0.08014261,1.0954028,-0.066754855,0.16768698,1.0430659,-0.35859373,0.5143329,0.0,0.0,2.4167728,-0.04053624,0.0,0.0,0.0,0.0
flopoco_00001_fpconstdiv,-0.6822384,0.18216088,-0.3503103,-0.29871646,-0.3567025,-0.28429118,-0.09024792,0.013735122,0.0,0.0,1.010315,0.061209567,0.0,0.0,0.0,0.0
flopoco_00002_fpsqrt,-1.084714,-0.53196704,-0.1476805,-0.3540789,-0.12863961,-0.28429118,-0.35946217,-0.39573288,0.0,0.0,-0.2283182,-0.03728732,0.0,0.0,0.0,0.0
flopoco_00003_fpcomparator,2.1350915,-1.3991225,-0.3503103,-0.3099291,-0.54597914,-0.28429118,-0.3514602,-0.47577927,0.0,0.0,-0.50766605,-0.9031873,0.0,0.0,0.0,0.0
flopoco_00004_fpcomparator,1.1001539,-1.3991225,-0.3503103,-0.3099291,-0.54597914,-0.28429118,-0.35369328,-0.47577927,0.0,0.0,-0.50766605,-0.9464795,0.0,0.0,0.0,0.0
flopoco_00005_fpsqrt,0.23770604,1.8144535,1.4244967,-0.3253465,4.657578,-0.28429118,-0.35946217,0.5635922,0.0,0.0,1.06504,2.333817,0.0,0.0,0.0,0.0
flopoco_00006_fpadd,0.75517476,0.590234,-0.21809795,-0.18799159,-0.25275546,-0.28429118,-0.34072882,-0.12726966,0.0,0.0,0.62869614,-0.19771041,0.0,0.0,0.0,0.0
flopoco_00007_fpconstmult,0.23770604,1.8144535,-0.3503103,-0.3624884,0.2685311,-0.28429118,-0.3595242,-0.44560796,0.0,0.0,-1.0163276,3.3399146,0.0,0.0,0.0,0.0
flopoco_00008_ieeefpadd,0.18020952,0.08014261,0.5809244,-0.18448763,-0.3055047,-0.28429118,-0.3527008,-0.14512615,0.0,0.0,0.9898287,-0.28341845,0.0,0.0,0.0,0.0
flopoco_00009_fpconstmult,-1.1422106,-0.63398534,-0.3503103,-0.3624884,-0.5273618,-0.28429118,-0.3595242,-0.47824225,0.0,0.0,-1.0943348,-0.8472998,0.0,0.0,0.0,0.0
