design_name,total_input_bits,total_output_bits,total_register_bits,total_logic_operator_bits,total_adder_sub_bits,total_multiplier_bits,total_comparator_bits,total_multiplexer_bits,total_shift_bits,total_division_bits,total_memory_write_addr_bits,total_memory_write_addr_width,total_memory_read_addr_bits,total_memory_read_addr_width,average_tree_depth,average_wire_width
i2c,-0.3356597,-0.431412,-0.22153021,-0.48722622,2.7683685,0.0,6.525062,3.2553637,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.21867499,2.8269331
s1196,-0.50348955,-0.431412,-0.4705109,-0.3995633,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.2159768,-0.2977507
s1196a,-0.41957462,-0.431412,-0.4705109,-0.3995633,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.2159768,-0.2977507
s1196b,-0.41957462,-0.431412,-0.4705109,-0.3995633,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.2159768,-0.2977507
s1238,-0.50348955,-0.431412,-0.4705109,-0.39369678,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.1988128,-0.2977507
s1238a,-0.41957462,-0.431412,-0.4705109,-0.39369678,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.1988128,-0.2977507
s13207,1.5104687,1.2862911,0.9328348,0.64736325,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.2558523,-0.2977507
s13207a,1.5943836,1.2862911,0.9328348,0.64736325,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.2558523,-0.2977507
s1423,-0.37761718,-0.5434361,-0.3437571,-0.39302632,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.50878674,-0.2977507
s1423a,-0.29370224,-0.5434361,-0.3437571,-0.39302632,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.50878674,-0.2977507
s1488,-0.75523436,-0.3691764,-0.49767244,-0.38347223,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.08057693,-0.2977507
s15850,2.1398306,1.2613968,0.6974349,0.8815221,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.25396743,-0.2977507
s15850a,2.2237456,1.2613968,0.6974349,0.8815221,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.25396743,-0.2977507
s27,-0.9230642,-0.5932246,-0.50446284,-0.5160561,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-1.5056561,-0.2977507
s298,-0.88110673,-0.530989,-0.47956476,-0.4870586,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.9654438,-0.2977507
s344,-0.6293619,-0.46875337,-0.4773013,-0.48756146,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.20134322,-0.2977507
s349,-0.6293619,-0.46875337,-0.4773013,-0.4867234,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.14111215,-0.2977507
s35932,0.37761718,3.3774078,3.4000072,3.148857,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,1.2351041,-0.2977507
s382,-0.96502167,-0.530989,-0.46372053,-0.47582838,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.30520675,-0.2977507
s38417,0.08391493,0.7137234,3.1917686,3.0420861,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,0.971848,-0.2977507
s38584,0.50348955,3.178254,2.716442,2.9306219,-0.32182285,0.0,-0.2021886,-0.31656146,-0.14586498,0.0,-0.2085637,-0.2085637,-0.16963887,-0.24263261,-0.4780774,-0.2977507
