design_name,design_id,recipe_id,flow_mode,total_input_and_output_bits,total_register_bits,total_logic_operator_bits,total_adder_sub_bits,total_multiplier_bits,total_comparator_bits,total_multiplexer_bits,total_shift_bits,total_division_bits,average_tree_depth,average_wire_width,worst_slack_ns,total_negative_slack_ns,run_utc,run_id,top_module,clock_port,abc_fast_cfg,clock_period_ns_cfg,max_fanout_cfg,max_transition_ns_cfg,max_capacitance_ff_cfg,fanout_load_cfg,num_rtl_files,ast_json_path,ast_log_path,netlist_path,sdc_path,run_dir,area_um2,clock_period_ns_sta,utilization_pct,tool_runtime_s,status,error_stage,error_message,ast_input_file,ast_total_input_bits,ast_total_adder_sub_bits,ast_total_register_bits,ast_total_output_bits,ast_total_division_bits,ast_total_logic_operator_bits,ast_total_multiplexer_bits,ast_total_multiplication_bits,ast_total_shift_bits,ast_total_comparator_bits,ast_avg_wire_width,ast_avg_tree_depth
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p16_cap100_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.380054,-31.437371,2026-04-06T14:32:37+00:00,i2c__abcfast_clk0p1_fo16_tr0p16_cap100_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.16,100.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p16_cap100_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p16_cap100_fload1,2797.5220,0.100000,0.46,149.968,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p16_cap40_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.381261,-33.426958,2026-04-06T14:32:29+00:00,i2c__abcfast_clk0p1_fo16_tr0p16_cap40_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.16,40.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p16_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p16_cap40_fload1,3011.6520,0.100000,0.50,356.226,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p16_cap60_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.380054,-31.437371,2026-04-06T14:32:31+00:00,i2c__abcfast_clk0p1_fo16_tr0p16_cap60_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.16,60.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p16_cap60_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p16_cap60_fload1,2797.5220,0.100000,0.46,312.137,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p16_cap80_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.380054,-31.437371,2026-04-06T14:32:35+00:00,i2c__abcfast_clk0p1_fo16_tr0p16_cap80_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.16,80.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p16_cap80_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p16_cap80_fload1,2797.5220,0.100000,0.46,156.514,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p24_cap100_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.380054,-31.437371,2026-04-06T14:32:49+00:00,i2c__abcfast_clk0p1_fo16_tr0p24_cap100_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.24,100.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p24_cap100_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p24_cap100_fload1,2797.5220,0.100000,0.46,151.258,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p24_cap40_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.381261,-33.426958,2026-04-06T14:32:44+00:00,i2c__abcfast_clk0p1_fo16_tr0p24_cap40_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.24,40.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p24_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p24_cap40_fload1,3011.6520,0.100000,0.50,127.823,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p24_cap60_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.380054,-31.437371,2026-04-06T14:32:47+00:00,i2c__abcfast_clk0p1_fo16_tr0p24_cap60_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.24,60.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p24_cap60_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p24_cap60_fload1,2797.5220,0.100000,0.46,314.426,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p24_cap80_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.380054,-31.437371,2026-04-06T14:32:49+00:00,i2c__abcfast_clk0p1_fo16_tr0p24_cap80_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.24,80.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p24_cap80_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p24_cap80_fload1,2797.5220,0.100000,0.46,155.308,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p2_cap100_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.380054,-31.437371,2026-04-06T14:32:43+00:00,i2c__abcfast_clk0p1_fo16_tr0p2_cap100_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.2,100.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p2_cap100_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p2_cap100_fload1,2797.5220,0.100000,0.46,151.474,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
i2c,iwls05_0006,abcfast_clk0p1_fo16_tr0p2_cap40_fload1,full,33,356,816,31,0,1980,1240,0,0,29.5167,4.70795,-0.381261,-33.426958,2026-04-06T14:32:42+00:00,i2c__abcfast_clk0p1_fo16_tr0p2_cap40_fload1,i2c_master_top,wb_clk_i,True,0.1,16.0,0.2,40.0,1.0,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p1_fo16_tr0p2_cap40_fload1.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p1_fo16_tr0p2_cap40_fload1,3011.6520,0.100000,0.50,353.507,success,,,./iscas_asts/i2c.json,14,31,356,19,0,816,1240,0,0,1980,4.70795,29.5167
