run_utc,run_id,design_name,design_id,recipe_id,flow_mode,top_module,clock_port,abc_fast_cfg,default_clock_period_ns_cfg,clock_period_offset_ns_cfg,clock_period_ns_cfg,max_fanout_cfg,max_transition_ns_cfg,max_capacitance_ff_cfg,fanout_load_cfg,num_rtl_files,ast_json_path,ast_log_path,netlist_path,sdc_path,run_dir,area_um2,worst_slack_ns,total_negative_slack_ns,clock_period_ns_sta,utilization_pct,tool_runtime_s,status,error_stage,error_message
2026-04-26T22:35:58+00:00,i2c__abcfast_clk0p01_fo16_tr0p16_cap100,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p16_cap100,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.16,100.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p16_cap100.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p16_cap100,2488.9619,-0.024118,-0.369625,0.450000,0.41,126.451,success,,
2026-04-26T22:35:44+00:00,i2c__abcfast_clk0p01_fo16_tr0p16_cap40,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p16_cap40,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.16,40.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p16_cap40.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p16_cap40,2523.8081,-0.042078,-0.679895,0.450000,0.42,127.546,success,,
2026-04-26T22:35:52+00:00,i2c__abcfast_clk0p01_fo16_tr0p16_cap60,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p16_cap60,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.16,60.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p16_cap60.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p16_cap60,2488.9619,-0.024118,-0.369625,0.450000,0.41,246.354,success,,
2026-04-26T22:35:53+00:00,i2c__abcfast_clk0p01_fo16_tr0p16_cap80,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p16_cap80,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.16,80.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p16_cap80.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p16_cap80,2488.9619,-0.024118,-0.369625,0.450000,0.41,99.913,success,,
2026-04-26T22:36:17+00:00,i2c__abcfast_clk0p01_fo16_tr0p24_cap100,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p24_cap100,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.24,100.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p24_cap100.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p24_cap100,2488.9619,-0.024118,-0.369625,0.450000,0.41,251.948,success,,
2026-04-26T22:36:14+00:00,i2c__abcfast_clk0p01_fo16_tr0p24_cap40,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p24_cap40,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.24,40.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p24_cap40.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p24_cap40,2523.8081,-0.042078,-0.679895,0.450000,0.42,133.147,success,,
2026-04-26T22:36:14+00:00,i2c__abcfast_clk0p01_fo16_tr0p24_cap60,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p24_cap60,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.24,60.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p24_cap60.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p24_cap60,2488.9619,-0.024118,-0.369625,0.450000,0.41,59.533,success,,
2026-04-26T22:36:14+00:00,i2c__abcfast_clk0p01_fo16_tr0p24_cap80,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p24_cap80,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.24,80.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p24_cap80.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p24_cap80,2488.9619,-0.024118,-0.369625,0.450000,0.41,56.655,success,,
2026-04-26T22:36:07+00:00,i2c__abcfast_clk0p01_fo16_tr0p2_cap100,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p2_cap100,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.2,100.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p2_cap100.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p2_cap100,2488.9619,-0.024118,-0.369625,0.450000,0.41,251.391,success,,
2026-04-26T22:36:00+00:00,i2c__abcfast_clk0p01_fo16_tr0p2_cap40,i2c,iwls05_0006,abcfast_clk0p01_fo16_tr0p2_cap40,full,i2c_master_top,wb_clk_i,True,0.46,0.01,0.45,16.0,0.2,40.0,,5,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast/i2c.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_results/ast_logs/i2c.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/i2c__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/i2c__abcfast_clk0p01_fo16_tr0p2_cap40.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/iscas_runs/i2c__abcfast_clk0p01_fo16_tr0p2_cap40,2523.8081,-0.042078,-0.679895,0.450000,0.42,54.510,success,,
