model,target,label,r2,summary_type
graph_model,worst_slack_ns,s386,0.8459942376651356,design
graph_model,worst_slack_ns,s5378a,0.9639206662852586,design
graph_model,worst_slack_ns,s713,0.9580994526474326,design
graph_model,worst_slack_ns,s5378,-0.3947675602491765,design
graph_model,worst_slack_ns,s298,0.9506864204607476,design
graph_model,worst_slack_ns,Median,0.8763783999486877,median
linear_regression,worst_slack_ns,s386,0.9854977130889891,design
linear_regression,worst_slack_ns,s5378a,0.9899144172668456,design
linear_regression,worst_slack_ns,s713,0.9076060652732848,design
linear_regression,worst_slack_ns,s5378,0.9572318196296692,design
linear_regression,worst_slack_ns,s298,0.9571273922920228,design
linear_regression,worst_slack_ns,Median,0.9076060652732848,median
mlp,worst_slack_ns,s386,0.9931952953338624,design
mlp,worst_slack_ns,s5378a,0.9554010629653932,design
mlp,worst_slack_ns,s713,0.990184724330902,design
mlp,worst_slack_ns,s5378,0.9599034190177916,design
mlp,worst_slack_ns,s298,0.9926676750183104,design
mlp,worst_slack_ns,Median,0.9104393720626832,median
graph_model,total_negative_slack_ns,s9234,0.8171388237267667,design
graph_model,total_negative_slack_ns,s820,0.6816880125944731,design
graph_model,total_negative_slack_ns,s1238,0.4164547657792334,design
graph_model,total_negative_slack_ns,ss_pcm,0.6100756230961997,design
graph_model,total_negative_slack_ns,s953,0.2578065013328986,design
graph_model,total_negative_slack_ns,Median,-0.18482880484941366,median
linear_regression,total_negative_slack_ns,s9234,-0.5402276515960693,design
linear_regression,total_negative_slack_ns,s820,-0.4232650995254516,design
linear_regression,total_negative_slack_ns,s1238,-2.793030261993408,design
linear_regression,total_negative_slack_ns,ss_pcm,-0.9512042999267578,design
linear_regression,total_negative_slack_ns,s953,-0.5958070755004883,design
linear_regression,total_negative_slack_ns,Median,-0.5876829624176025,median
mlp,total_negative_slack_ns,s9234,0.949166774749756,design
mlp,total_negative_slack_ns,s820,0.7646333575248718,design
mlp,total_negative_slack_ns,s1238,0.7258912920951843,design
mlp,total_negative_slack_ns,ss_pcm,0.3890267014503479,design
mlp,total_negative_slack_ns,s953,0.7035871148109436,design
mlp,total_negative_slack_ns,Median,0.7034611105918884,median
