epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,test_loss,test_mae,test_rmse,test_mape,test_r2,num_epochs,learning_rate,batch_size,weight_decay,loss_fn,target_name,target_transform,device,shuffle_training,hidden_dim,num_gat_layers,num_heads,dropout
1,0.36885320898648855,0.8832010860378677,1.4525990361659407,857.1773809484533,-0.31673574447631836,0.07817071916069836,0.42439213941494625,0.5012050494778975,2417874.9247070313,-0.7226876020431519,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
2,0.26130627401105994,0.6746052504928263,1.19490225471249,564.848991875176,0.10901188850402832,0.06310301924434801,0.38071146719157695,0.4497791723204634,2224556.1779277483,-0.38731276988983154,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
3,0.23858546950594262,0.6293944907081019,1.1294186405672786,531.8454963065483,0.20399272441864014,0.06215747679040457,0.3740192797034979,0.44638981770177955,2418744.333716472,-0.3664829730987549,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
4,0.22435391632219157,0.5967748743725253,1.0968231369729426,490.1888009492341,0.24927586317062378,0.05721636660164222,0.351678801762561,0.42822901113911027,1523747.5530245623,-0.25755739212036133,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
5,0.2106255192712352,0.5679679061915424,1.0592623929683478,460.1327982722102,0.2998127341270447,0.05767926543048816,0.3572165616477529,0.42995345039093025,1324802.6498728276,-0.267706036567688,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
6,0.20450929641253776,0.5584018959386928,1.0401083506712272,445.7344439051173,0.3249059319496155,0.05255118209364203,0.33440220784395935,0.410395609225897,1011588.8610810916,-0.15499746799468994,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
7,0.19997673303828584,0.5506090262720177,1.0263062210235367,432.72653761855116,0.3427038788795471,0.05065488539961128,0.3285030635073781,0.40292406290028326,1263425.8945056598,-0.11332523822784424,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
8,0.19866880057127895,0.5460934330885475,1.023413711219305,442.1087257110321,0.34640365839004517,0.04874460069598475,0.31839937654634315,0.3952527682285466,864584.0255498886,-0.07133543491363525,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
9,0.19120433619497595,0.5312517892133009,1.001571356836152,411.9475193195515,0.37400490045547485,0.050689053034875545,0.34444451443850993,0.4030588882316411,1412205.5088993073,-0.11407041549682617,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
10,0.18676249739957285,0.5231404781073064,0.9823289265502659,394.16416367539415,0.3978273868560791,0.04439134741745268,0.313790625333786,0.3771903524411804,1182316.356493918,0.02434372901916504,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
11,0.1835565456013019,0.5149789852601988,0.9686534546273358,389.79696858036624,0.41447699069976807,0.04346706735668704,0.3132047342757384,0.37324292427854555,1210218.0164132118,0.04465794563293457,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
12,0.17956683120212039,0.5072251282430984,0.9578027075762676,386.98533867500925,0.427521288394928,0.041172353151099135,0.30206382895509404,0.36325723157077566,1099860.1289621035,0.09509247541427612,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
13,0.17537446001225765,0.500290412019502,0.937296333237755,338.32870806444873,0.4517722725868225,0.04284594967806091,0.31965461758275826,0.3705666213006112,1348114.1419627825,0.05830925703048706,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
14,0.16662189225154417,0.4849880243743862,0.9051921575232585,347.03439540691204,0.48868483304977417,0.036546338628977534,0.28367701830963293,0.3422420380614552,1163370.3921765487,0.1967654824256897,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
15,0.16329809372221027,0.4736687165122848,0.8920191341773109,333.29986098005963,0.5034586191177368,0.032698591887795676,0.2595862943679094,0.32372477682414685,1087821.4805309295,0.28133320808410645,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
16,0.15781939991221233,0.4625741843436215,0.8668699813298916,307.3167014766384,0.5310623645782471,0.03136489532965546,0.25912678614258766,0.317054071129415,1204014.6244908015,0.3106458783149719,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
17,0.15258725017711922,0.45171865163085695,0.8530905751575966,299.3793080647786,0.5458519458770752,0.02922364221497749,0.246886949116985,0.30604027977706344,1227582.806179889,0.35770750045776367,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
18,0.14400150418818533,0.43513402396494205,0.81492415677341,272.54613828229475,0.5855791568756104,0.0317623057984747,0.2614722721278667,0.31905637690598015,1164741.2848293623,0.3019114136695862,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
19,0.1393687931384455,0.42444817735268187,0.7998033736649943,259.40412937198676,0.6008155345916748,0.02945991753755758,0.25044425247857965,0.30727497302921836,1325124.081545655,0.35251450538635254,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
20,0.13375961425638683,0.41202797774259037,0.7745774115124647,243.7807081755217,0.6255991458892822,0.0279989602509886,0.2334971790512403,0.2995589967895778,1227605.6597161135,0.384624183177948,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
21,0.12747143818954895,0.3993382590176823,0.7505746124028422,237.80665880495363,0.6484436988830566,0.02731949974258896,0.22462918603171905,0.29590192485476646,1253582.5771640777,0.3995577096939087,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
22,0.12483497811397454,0.3912980446407387,0.7363836484108347,234.42217266666998,0.6616116166114807,0.029167446671635844,0.23099812995642424,0.3057458887583022,1117267.8690679232,0.3589426279067993,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
23,0.11908950933532135,0.3811663829528534,0.7120956583873577,222.4351314510311,0.6835654973983765,0.03148071439160655,0.2422290285428365,0.3176389142659579,1299735.573548778,0.3081004023551941,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
24,0.11429830552456346,0.3702782753620062,0.6918231921768998,203.6770729202408,0.7013260126113892,0.03170516188256443,0.24570756585647663,0.31876923697839665,1509833.2558482806,0.3031674027442932,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
25,0.1073422390665557,0.3589007749079584,0.659966858297748,216.8959653527887,0.728198766708374,0.03357766008120962,0.243362934452792,0.3280474252142294,1343710.7090168318,0.2620126008987427,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
26,0.10346918548499276,0.3510011529197564,0.642450352980142,201.99395288003458,0.7424353361129761,0.03532340091963609,0.2552635380998254,0.3364671499310018,1442289.7673686822,0.22364383935928345,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
27,0.09733574865553696,0.33963710499239397,0.6170002693068328,221.5520265596407,0.7624375224113464,0.03374417942444173,0.25448229151467483,0.32885985016139707,1341817.0602326712,0.25835275650024414,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
28,0.09204560181814002,0.328342129921054,0.6006665267307968,217.2415679897274,0.7748489379882812,0.03573446007600675,0.25918332499762375,0.3384192329221606,1395852.289498965,0.2146093249320984,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
29,0.09026999707828771,0.3251379575278308,0.593753807494937,215.49522592355538,0.7800014019012451,0.0382714112677301,0.25923964797208704,0.3502262244569797,1338678.2566142401,0.15885090827941895,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
30,0.08515833726840781,0.31388223500133633,0.5677990195802917,218.91541910601092,0.798814594745636,0.04134501908556558,0.27107718450327717,0.36401813142095146,1622076.4671826283,0.09129756689071655,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
31,0.08010625806511254,0.30474195266897613,0.5481232262352235,200.85413271242433,0.8125162720680237,0.0403104408440413,0.26353136307249464,0.359434863242662,1268781.3052656332,0.11403602361679077,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
32,0.07870873557991004,0.30324975964990825,0.5433947868252194,193.52061529417296,0.8157370090484619,0.0411028480011737,0.26846203319728373,0.3629504802961107,1346283.0620310784,0.09662008285522461,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
33,0.07172276403939536,0.2899666343991821,0.5081804463223817,196.85715866088867,0.8388452529907227,0.041636860580183566,0.2681810858349005,0.36530061738221287,1242074.3783789317,0.08488333225250244,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
34,0.07257351883779373,0.2902401057449547,0.522354132250797,206.5495914596695,0.8297303318977356,0.042482118815920934,0.26806939247374734,0.368990408567833,1234798.77706995,0.0663033127784729,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
35,0.06679745219429736,0.27992143508818773,0.49129160860762056,202.82679210697208,0.8493788838386536,0.04537561836574847,0.2758605263506373,0.3814188646573398,1377123.7954611857,0.002345860004425049,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
36,0.06547284631377405,0.28096781113931724,0.48284701865100865,190.08596679756232,0.8545123338699341,0.0434062592908352,0.27053054024775824,0.3730055496313612,1359718.639403216,0.04587286710739136,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
37,0.06268989601432606,0.2698880427995244,0.47543072557595994,196.96612729252996,0.858947217464447,0.043569077508679284,0.27027039087067045,0.37373065130833244,1201631.8642448424,0.04215967655181885,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
38,0.0650943432984924,0.27616143058817666,0.4885731071349506,202.54916804545636,0.8510411977767944,0.04610119209391996,0.2731426709642013,0.38450755154758404,1145662.8803029696,-0.013877391815185547,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
39,0.06275183381093247,0.27361123847800334,0.47431964949267036,209.31977768631668,0.8596057295799255,0.042861668737411186,0.2707162426163753,0.3706411097583499,1198662.4000801404,0.057930588722229004,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
