design_name,num_nodes,num_edges,average_node_count,average_edge_count
i2c,391,744,3115.5588235294117,4866.382352941177
s1196,756,1239,3115.5588235294117,4866.382352941177
s1238,791,1327,3115.5588235294117,4866.382352941177
s13207,7808,11587,3115.5588235294117,4866.382352941177
s1423,845,1408,3115.5588235294117,4866.382352941177
s1488,839,1570,3115.5588235294117,4866.382352941177
s15850,9115,13422,3115.5588235294117,4866.382352941177
s27,23,29,3115.5588235294117,4866.382352941177
s298,213,346,3115.5588235294117,4866.382352941177
s344,222,334,3115.5588235294117,4866.382352941177
s349,227,342,3115.5588235294117,4866.382352941177
s35932,23963,37859,3115.5588235294117,4866.382352941177
s382,285,450,3115.5588235294117,4866.382352941177
s38417,23013,34466,3115.5588235294117,4866.382352941177
s38584,22347,37194,3115.5588235294117,4866.382352941177
s386,239,423,3115.5588235294117,4866.382352941177
s400,301,473,3115.5588235294117,4866.382352941177
s420,324,486,3115.5588235294117,4866.382352941177
s444,330,514,3115.5588235294117,4866.382352941177
s510,376,573,3115.5588235294117,4866.382352941177
s526,383,650,3115.5588235294117,4866.382352941177
s5378,3375,4939,3115.5588235294117,4866.382352941177
s641,404,547,3115.5588235294117,4866.382352941177
s713,415,572,3115.5588235294117,4866.382352941177
s820,662,1114,3115.5588235294117,4866.382352941177
s832,672,1138,3115.5588235294117,4866.382352941177
s838,662,998,3115.5588235294117,4866.382352941177
s9234,5101,7627,3115.5588235294117,4866.382352941177
s953,665,1023,3115.5588235294117,4866.382352941177
sasc,186,309,3115.5588235294117,4866.382352941177
simple_spi,223,410,3115.5588235294117,4866.382352941177
ss_pcm,73,123,3115.5588235294117,4866.382352941177
systemcdes,181,316,3115.5588235294117,4866.382352941177
usb_phy,519,905,3115.5588235294117,4866.382352941177
