design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s1423a,3,total_negative_slack_ns,192,-359.8453369140625,0.3870629370212555,0.38908982276916504,-0.13133099675178528,-0.06387799978256226,-0.08588534593582153,0.30117759108543396,0.3870629370212555
s1423,4,total_negative_slack_ns,192,-357.2557373046875,0.4234369695186615,0.4268546402454376,-0.12927299737930298,-0.06098499894142151,-0.08553525060415268,0.3379017114639282,0.4234369695186615
s838,5,total_negative_slack_ns,192,-288.6229553222656,0.5172997117042542,0.5196754932403564,-0.12989799678325653,-0.014817999675869942,-0.059370141476392746,-0.5766698718070984,-0.5172997117042542
s27,4,total_negative_slack_ns,192,-138.1578369140625,0.7141565680503845,0.7161397933959961,-0.1602260023355484,-0.009356999769806862,-0.05707424879074097,-0.7712306976318359,-0.7141565680503845
s13207,1,total_negative_slack_ns,192,-20.211339950561523,0.12202649563550949,0.1321515440940857,-0.1092969998717308,-0.009139999747276306,-0.04741794988512993,0.07460854202508926,0.12202649563550949
sasc,5,total_negative_slack_ns,192,-13.63162612915039,1.0179482698440552,1.0486845970153809,-0.8929039835929871,-0.014287999831140041,-0.31401774287223816,-1.3319660425186157,-1.0179482698440552
s820,4,total_negative_slack_ns,192,-12.37828254699707,0.38113248348236084,0.38930317759513855,-0.4205459952354431,-0.011938000097870827,-0.12029977887868881,-0.5014322400093079,-0.38113248348236084
s820a,3,total_negative_slack_ns,192,-8.136284828186035,0.3124925196170807,0.32171592116355896,-0.4205459952354431,-0.011938000097870827,-0.12029977887868881,-0.4327922761440277,-0.3124925196170807
i2c,2,total_negative_slack_ns,192,-6.231005668640137,2.9569509029388428,3.180399179458618,-3.937537908554077,-0.13646300137043,-1.420336127281189,1.5366148948669434,2.9569509029388428
s15850a,5,total_negative_slack_ns,192,-5.827679634094238,0.285684198141098,0.30468660593032837,-0.6054199934005737,-0.11545100063085556,-0.30560314655303955,-0.019918952137231827,0.285684198141098
s1238a,2,total_negative_slack_ns,192,-4.656373500823975,0.75995272397995,0.8534346222877502,-1.3239649534225464,-0.022326000034809113,-0.5050209164619446,0.2547438442707062,0.7597647309303284
s1488,2,total_negative_slack_ns,192,-4.358593940734863,1.3797250986099243,1.5215996503829956,-3.070791006088257,-0.3474990129470825,-1.3409546613693237,0.03877053037285805,1.3797250986099243
s5378,3,total_negative_slack_ns,192,-3.5235443115234375,0.22389797866344452,0.23715226352214813,-0.5261890292167664,-0.026570999994874,-0.1376672387123108,-0.35958632826805115,-0.22191905975341797
s1238,3,total_negative_slack_ns,192,-3.2129225730895996,0.5392792820930481,0.5967899560928345,-1.3080660104751587,-0.054361000657081604,-0.6376897096633911,-0.09865287691354752,0.5390368103981018
s13207a,5,total_negative_slack_ns,192,-3.000638008117676,0.055029720067977905,0.05761169642210007,-0.11797299981117249,0.0,-0.03936168923974037,-0.0705561712384224,-0.031194472685456276
s832,2,total_negative_slack_ns,192,-2.4473330974578857,0.32420551776885986,0.4119408428668976,-0.7806270122528076,-0.0004600000102072954,-0.1929394155740738,0.08200278878211975,0.27494221925735474
s15850,1,total_negative_slack_ns,192,-2.0602872371673584,0.16647525131702423,0.19691382348537445,-0.6172950267791748,-0.09925399720668793,-0.3188788592815399,-0.15801183879375458,0.16086702048778534
systemcdes,2,total_negative_slack_ns,192,-1.760680913925171,2.203477144241333,2.615171194076538,-5.402651786804199,-0.47061601281166077,-2.6155879497528076,-4.712029933929443,-2.0964419841766357
s5378a,2,total_negative_slack_ns,192,-1.1915392875671387,0.6331413388252258,0.8438078165054321,-2.157953977584839,-0.19798099994659424,-0.7666769027709961,-0.1601327359676361,0.6065441966056824
s344,2,total_negative_slack_ns,192,-1.086834192276001,0.5248163342475891,0.7043757438659668,-1.3589470386505127,-0.04116300120949745,-0.5115486979484558,-0.04318444803357124,0.46836426854133606
s832a,1,total_negative_slack_ns,192,-1.0681140422821045,0.3002525568008423,0.31906595826148987,-0.7806270122528076,-0.0004600000102072954,-0.1929394155740738,-0.4485454857349396,-0.255606085062027
ss_pcm,3,total_negative_slack_ns,192,-0.9689605236053467,2.5459866523742676,3.482083797454834,-8.161742210388184,-0.8455790281295776,-3.6769320964813232,-1.191571831703186,2.4853603839874268
s953,2,total_negative_slack_ns,192,-0.9620524644851685,0.763373613357544,1.0454262495040894,-2.0701820850372314,-0.08073800057172775,-0.752457857131958,-0.03728092834353447,0.7151769995689392
s444,2,total_negative_slack_ns,192,-0.9538842439651489,0.5388720631599426,0.7371608018875122,-1.3880929946899414,-0.036146000027656555,-0.49931514263153076,-0.0196272823959589,0.4796879291534424
s38584,2,total_negative_slack_ns,192,-0.9363441467285156,0.32656291127204895,0.43201494216918945,-1.2727450132369995,-0.03384900093078613,-0.41574108600616455,-0.18838952481746674,0.2273515909910202
s641,1,total_negative_slack_ns,192,-0.750029444694519,0.07095498591661453,0.08595314621925354,-0.3309299945831299,-0.06863299757242203,-0.17872382700443268,-0.21880020201206207,-0.040076375007629395
s1196a,5,total_negative_slack_ns,192,-0.6251670122146606,0.14042167365550995,0.19422069191932678,-0.574953019618988,-0.018559999763965607,-0.15119397640228271,-0.011505373753607273,0.13968859612941742
s713,5,total_negative_slack_ns,192,-0.5658010244369507,0.04067516699433327,0.050318643450737,-0.17412500083446503,-0.010545000433921814,-0.045111894607543945,-0.035484008491039276,0.009627881459891796
simple_spi,4,total_negative_slack_ns,192,-0.22443270683288574,1.644791603088379,2.4000821113586426,-6.410980224609375,-0.2992039918899536,-2.2733848094940186,-1.1522570848464966,1.121127724647522
s38417,3,total_negative_slack_ns,192,-0.21146011352539062,1.9123479127883911,2.9426064491271973,-9.465668678283691,-0.010869000107049942,-2.501450300216675,-1.1799871921539307,1.321462869644165
s38584a,1,total_negative_slack_ns,192,-0.1119922399520874,0.2905429005622864,0.32738468050956726,-1.2727450132369995,-0.03384900093078613,-0.41574108600616455,-0.5684244632720947,-0.1526833474636078
usb_phy,1,total_negative_slack_ns,192,-0.04378318786621094,1.796602725982666,2.3661348819732666,-6.3679399490356445,-0.1381099969148636,-2.2755179405212402,-1.622862458229065,0.6526556611061096
s35932,5,total_negative_slack_ns,192,0.01668095588684082,0.48995617032051086,0.6670694947242737,-3.4065608978271484,-0.14092999696731567,-0.9428141713142395,-0.9087294936180115,0.0340847373008728
s386,5,total_negative_slack_ns,192,0.018712103366851807,0.19391323626041412,0.2748138904571533,-0.9276419878005981,-0.16832800209522247,-0.4335278570652008,-0.3277558982372284,0.10577201098203659
s1196b,4,total_negative_slack_ns,192,0.019243478775024414,0.13450543582439423,0.1508784145116806,-0.574953019618988,-0.018559999763965607,-0.15119397640228271,-0.22831149399280548,-0.07711753249168396
s9234,4,total_negative_slack_ns,192,0.025125324726104736,0.5580831170082092,0.8300579190254211,-2.7595880031585693,-0.315869003534317,-1.0422183275222778,-0.797980010509491,0.2442382127046585
s400,4,total_negative_slack_ns,192,0.025988459587097168,0.38425275683403015,0.4042748510837555,-1.1162309646606445,-0.07655800133943558,-0.4380436837673187,-0.6068596839904785,-0.16881601512432098
s382,4,total_negative_slack_ns,192,0.04245495796203613,0.45070186257362366,0.47037896513938904,-1.3614929914474487,-0.006413999944925308,-0.398747056722641,-0.5743085741996765,-0.17556147277355194
s298,3,total_negative_slack_ns,192,0.07201379537582397,0.42732787132263184,0.45891693234443665,-1.2435330152511597,-0.02398199960589409,-0.45977625250816345,-0.6025230288505554,-0.14274677634239197
s9234a,3,total_negative_slack_ns,192,0.07365906238555908,0.472968727350235,0.654880166053772,-2.1383368968963623,-0.2587830126285553,-0.8293507099151611,-0.685758650302887,0.1435919851064682
s526,5,total_negative_slack_ns,192,0.07988923788070679,0.5023652911186218,0.6283074617385864,-1.7081999778747559,-0.03565499931573868,-0.6151630878448486,-0.5590806603431702,0.05608244612812996
s953a,1,total_negative_slack_ns,192,0.09098660945892334,0.5056969523429871,0.6427278518676758,-1.810181975364685,-0.02993299998342991,-0.6085281372070312,-0.5164469480514526,0.0920812264084816
s526a,4,total_negative_slack_ns,192,0.12332433462142944,0.5110853910446167,0.6329969763755798,-1.7524789571762085,-0.030247999355196953,-0.6210957765579224,-0.5853189826011658,0.03577685356140137
