epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,test_loss,test_mae,test_rmse,test_mape,test_r2,num_epochs,learning_rate,batch_size,weight_decay,loss_fn,target_name,target_transform,device,shuffle_training,hidden_dim,num_gat_layers,num_heads,dropout
1,0.48205773401678653,0.9507791678372183,1.7597562784887586,609469.6584439863,-1.2814137935638428,0.22840392865085354,0.6015314554312715,1.0601013249410063,621.1865637037489,0.04764676094055176,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
2,0.3165337985479518,0.7118091038183162,1.259916127724265,473362.4608723155,-0.16945159435272217,0.21985576096146056,0.5781924704572668,1.0435667845281449,565.3219074496517,0.07712298631668091,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
3,0.26653492431107323,0.6378179276198671,1.1263113025730263,526224.0688533449,0.06542128324508667,0.21136495752553283,0.5532463861422406,1.025909442937787,513.133245061945,0.10808926820755005,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
4,0.24034620903170945,0.5893752726546505,1.0619618407255147,616631.3342998571,0.16916108131408691,0.19496286658276976,0.5101942782876668,0.9865426558185948,468.40742708135537,0.17522579431533813,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
5,0.22198743340477609,0.558991305922207,1.0191735918945448,622936.3984326815,0.23476415872573853,0.19111849084125693,0.4867453185358533,0.981094228620938,409.43317047754925,0.18431061506271362,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
6,0.21317668865320452,0.5390796739804117,1.003806214795842,446769.1936656885,0.25766700506210327,0.18901011961753722,0.5095751471817493,0.9583337529030362,482.6671794078968,0.22171813249588013,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
7,0.20875476874215038,0.5288527973911219,0.9934158596931802,261170.4417278892,0.27295517921447754,0.18307096732314676,0.4870254760263143,0.9440413821478911,441.9518844463207,0.24475932121276855,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
8,0.20126306283565468,0.5161334852638998,0.9731574575107272,259084.971989548,0.30230557918548584,0.180183812311885,0.47113995950807025,0.9371805872646315,399.5340392854479,0.25569677352905273,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
9,0.1964240870683601,0.5067832267336678,0.9620858994173893,210973.2672410597,0.31809061765670776,0.177715896911212,0.47463425862844344,0.9248105632325798,410.93835805963585,0.2752155661582947,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
10,0.19129231325432397,0.49870041104262336,0.9473616937143473,512588.82687906636,0.33880335092544556,0.1716652558027784,0.45890244041328077,0.904031705227354,393.1067071137605,0.3074188828468323,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
11,0.19002757479616425,0.4919765471366414,0.9398736131347964,259668.25083307634,0.34921443462371826,0.17014803287262717,0.46696604426122373,0.8956387222831216,414.9120802702727,0.3202189803123474,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
12,0.1837223910546878,0.482027808759819,0.926434260201334,449386.9945735262,0.3676927089691162,0.16609307133411574,0.4606806890073198,0.8616734883775806,422.9496582172535,0.3707998991012573,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
13,0.18012973524858816,0.47342617783630103,0.9135196793766721,224060.52372152763,0.38519877195358276,0.16148503486841004,0.44675238037274945,0.8512164511003779,393.54152682975484,0.3859788775444031,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
14,0.17585191369187414,0.4655717677322396,0.8981937377259752,304014.56118837994,0.4056544303894043,0.15626145689532644,0.4256191192953675,0.8335741083343204,347.7221936826353,0.41116762161254883,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
15,0.17122355618171,0.45688050331776603,0.8832873003404875,285368.3877995809,0.42521822452545166,0.1543899310102764,0.42006155562207653,0.8113650131877727,335.36924892001684,0.44212639331817627,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
16,0.16777095556455224,0.4474793402641489,0.8696367921214796,304961.7034017663,0.4428465962409973,0.1517183211550151,0.42408675317549044,0.7928601525483824,363.99005866933754,0.46728307008743286,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
17,0.1639753459511619,0.43822513971673815,0.8639512407354476,230842.65529281215,0.4501079320907593,0.15019415352058044,0.415340432483289,0.7734318933527321,339.88708573800545,0.4930706024169922,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
18,0.16086377689549536,0.4311417000074136,0.8489090619627808,154361.41748578925,0.4690895080566406,0.1486691016395559,0.40618477672062536,0.7553820474226298,308.27025060300474,0.5164552927017212,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
19,0.15585710479992262,0.4206336422316861,0.8356720269891109,241136.93536276565,0.4855174422264099,0.14917548982581744,0.40388838450113934,0.74065688687423,298.08358960681494,0.5351236462593079,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
20,0.1517639278450556,0.41391388137351004,0.8176418599557812,204034.175827796,0.5074784755706787,0.15264512315991818,0.42385679566197926,0.7366358875850254,362.2841743893093,0.5401575565338135,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
21,0.14898437009143986,0.4045913122071509,0.8105042774838835,328481.66362479696,0.5160399079322815,0.15215942032389446,0.41217506476850424,0.7271205371175274,317.9503004109418,0.5519607067108154,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
22,0.1443208181707744,0.3972271749455678,0.786002522536447,227539.69212389828,0.5448580384254456,0.1450633887585287,0.40507912670296653,0.7079089854179329,318.4936034237897,0.5753235816955566,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
23,0.1404026930318459,0.38870197031320186,0.7795964369586472,197326.7888025652,0.5522469282150269,0.15246594332469007,0.40578617521182253,0.718119724239311,305.1385540609007,0.5629843473434448,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
24,0.13853727857043086,0.385613358661271,0.7709823242255043,209228.77317331548,0.5620869994163513,0.15958037314703688,0.4135197732873537,0.7369344576595416,295.691762553321,0.5397847294807434,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
25,0.13351755276355043,0.37745169981529836,0.7456499750304708,301422.3077467868,0.5903915166854858,0.16627647985135102,0.44134678939978284,0.7519128289409202,353.4023987805402,0.5208866596221924,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
26,0.13032374284311868,0.3721477686705297,0.7326709493051277,118420.1130553965,0.6045268774032593,0.16198052847930403,0.40737760032492654,0.7480117345650918,267.44949504181193,0.5258452296257019,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
27,0.1280555051195909,0.36668598344712927,0.7209267266505998,234235.9748047444,0.6171036958694458,0.17083561994971846,0.43253887810364916,0.7792156640360511,318.57240055225515,0.4854605793952942,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
28,0.12557387875654458,0.3617592981379283,0.71358664514384,149663.65755671787,0.6248608827590942,0.16396791168652405,0.41025535486362597,0.7599022697262828,270.6731213993496,0.5106508731842041,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
29,0.12204882773783124,0.35617140824334664,0.6965473043190135,231772.02594022584,0.6425623893737793,0.1743885017155359,0.4307051083693902,0.8043951458611421,307.3671775923835,0.45166975259780884,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
30,0.11744376494990368,0.3473103756183072,0.672669622683621,150578.50105370974,0.6666483879089355,0.17930011110190577,0.447884657661672,0.8197293649845582,336.31834919364366,0.430564820766449,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
31,0.11616418123441308,0.3445016099956998,0.6688527696784201,111598.18833946764,0.6704206466674805,0.17830671218905114,0.44239662063342555,0.8263635499824257,328.1119891449257,0.4213104844093323,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
32,0.110980842221659,0.3358509377167936,0.6486794215761388,173510.569666394,0.6900017261505127,0.200279965544016,0.46386790089309216,0.904906418592195,329.13534489384404,0.3060779571533203,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
33,0.10694166866801026,0.3268846809994756,0.6368963745463,163389.90031399642,0.7011615037918091,0.19800714027735888,0.43200196401664503,0.91242520396354,250.32606200818663,0.29449862241744995,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
34,0.10557822681342562,0.3257106010589683,0.6246389284330395,145300.07155219297,0.7125535011291504,0.2319632024521491,0.5018968039916621,1.0155837505388008,330.2297965950436,0.12595295906066895,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
35,0.10074377014595819,0.31817712353771194,0.6026209267884446,254852.9126611174,0.7324607372283936,0.20312710487956387,0.4585133917905666,0.9167134820929138,302.40759965225504,0.2878515124320984,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
36,0.1000174396148507,0.3162204629757948,0.5968206199630101,136321.44616806298,0.737586259841919,0.20413047021267833,0.43470677002160635,0.9300663960338412,230.6483111558137,0.26695406436920166,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
37,0.09785416952677463,0.31261356318728967,0.5913582013812997,114474.71519257729,0.7423677444458008,0.2281925705147269,0.48994177234945474,0.9914405626992309,303.28326559949807,0.16701596975326538,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
38,0.09333333025457696,0.30565945425054486,0.5690948845994593,116283.58721523955,0.7614011168479919,0.24387040131626203,0.513512624496663,1.0351430087439808,324.9589585728115,0.09196197986602783,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
39,0.09014058612254366,0.2998214809125976,0.5557303213318834,205166.9995730216,0.7724760174751282,0.24758479974008407,0.508582136835213,1.0532084867802185,311.2062504379838,0.05999106168746948,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
40,0.0867457939230167,0.2966595252224228,0.5414361638685161,121317.12037707212,0.7840299606323242,0.2398596332296384,0.4901199305637015,1.0231510092134952,279.4143012364705,0.11287915706634521,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
41,0.08510559087357762,0.2927317120984458,0.5327260524219635,295511.2669370551,0.7909227609634399,0.2874818651406612,0.5481344373137863,1.1743246501766318,275.7217939518116,-0.16863715648651123,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
42,0.08401061999284777,0.2935056382496106,0.5273645604893654,223433.43307101936,0.7951099276542664,0.29167541756544746,0.555606108572748,1.1839360997160266,301.71213349589596,-0.1878451108932495,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
43,0.08022713535383605,0.2830056059909494,0.5170410075026632,247563.6230146174,0.8030532002449036,0.24966145942259269,0.509169126343396,1.040230262408273,301.5935845375061,0.0830148458480835,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
44,0.0794162851259962,0.2852120655016941,0.5094186767332063,170944.038084164,0.8088172674179077,0.28068497480772847,0.5332321401133582,1.1470632943088352,266.1933106669673,-0.11500823497772217,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
45,0.07590609632857274,0.27829721909866,0.49219745481867067,95771.72985249235,0.8215248584747314,0.32655858861377324,0.5951562948800899,1.29420750207713,310.36829024774056,-0.4194207191467285,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
46,0.07438526722079698,0.2773501097894551,0.48991636622277657,90836.77896682003,0.823175311088562,0.3000101125163147,0.5505769650141398,1.2118472382703447,270.3849498077675,-0.24451196193695068,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
47,0.0690837246529235,0.2684282993146202,0.4636579859689164,77216.88370702977,0.8416221737861633,0.3124800306352511,0.560370418070643,1.2610159518216084,246.5386380619473,-0.3475487232208252,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
48,0.0671436552146221,0.2647733805995238,0.4598067888834202,173977.06836600052,0.8442422151565552,0.34262612782724855,0.6063117673275648,1.355510366110379,289.66272165157176,-0.5570729970932007,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
49,0.06748226308876551,0.2634066057048346,0.46206728988455764,108542.90740628829,0.8427069783210754,0.3273475873381055,0.5805282686595563,1.3093059348726095,261.1937241907473,-0.4527323246002197,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
50,0.06538343192650038,0.2607205778425723,0.4504956972749064,194434.5462171153,0.8504865169525146,0.36635360731506134,0.6279552064973999,1.4469760354576835,279.8140106201172,-0.7742955684661865,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
51,0.06487162574602846,0.25986346635117863,0.4474480025429627,100353.57264458506,0.852502703666687,0.36481595678574025,0.6350940546641747,1.4393760410212086,294.418999530651,-0.7557061910629272,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
52,0.06307699481074355,0.25679416869554605,0.4396593007323961,185646.59743675432,0.8575929403305054,0.3423776607928125,0.6060487729393773,1.367138044720128,286.9757834010654,-0.5839011669158936,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
53,0.06326629631956548,0.25819364471132294,0.44441532431458974,186446.27220372987,0.8544952869415283,0.3551118692881169,0.6104387722357556,1.41972820864132,262.3025522761875,-0.708101749420166,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
54,0.0594521625857931,0.25053672976138297,0.42753533788181847,142335.86778409858,0.8653386235237122,0.3877695200380576,0.6380131697213208,1.543487098319424,211.52088355135035,-1.0188746452331543,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
55,0.06203155230175246,0.2557307394842307,0.43942277246656924,128077.208137027,0.8577461242675781,0.3821027539487221,0.6399483537577368,1.5306813382814044,251.0268774650715,-0.9855136871337891,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
56,0.058539353474451786,0.2494187705349504,0.4215200795524849,91938.92844158306,0.8691012859344482,0.42425894896560173,0.6967507368988461,1.6751719647300634,283.98473626595955,-1.3780560493469238,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
57,0.05757256478210094,0.24662881200773673,0.4200915565244512,80264.06070115273,0.8699869513511658,0.4128194943105983,0.6956224435319504,1.6315663658411705,301.5765490002102,-1.2558634281158447,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
58,0.05315812833590858,0.2397891469953353,0.4014819813716698,116122.05199788747,0.8812506794929504,0.36595628759123094,0.620597314193017,1.4930789642159987,249.50034999847412,-0.8891605138778687,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
59,0.05649229885373069,0.24344012775180632,0.41949701061044115,252792.66059652963,0.8703547120094299,0.3679546158581851,0.6240520427624384,1.4930268558519757,229.57673814561633,-0.8890286684036255,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
60,0.05666778700246492,0.24517186633066126,0.41820148934243795,127395.77041910405,0.871154248714447,0.4207591535092366,0.6920778301923916,1.6806570676473036,277.6408822801378,-1.3936548233032227,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
61,0.05498643784391645,0.2437141684063694,0.4084845028339546,115266.79731211746,0.8770722150802612,0.40952911303719264,0.6740023499975601,1.6538719179013874,272.0062224953263,-1.3179662227630615,300,0.0001,32,0.0001,SmoothL1Loss,tns,none,cuda,True,32,2,4,0.1
