design_name,num_nodes,num_edges,average_node_count,average_edge_count
i2c,391,744,3387.68085106383,5305.595744680851
s1196,756,1239,3387.68085106383,5305.595744680851
s1196a,758,1239,3387.68085106383,5305.595744680851
s1196b,758,1239,3387.68085106383,5305.595744680851
s1238,791,1327,3387.68085106383,5305.595744680851
s1238a,793,1327,3387.68085106383,5305.595744680851
s13207,7808,11587,3387.68085106383,5305.595744680851
s13207a,7810,11587,3387.68085106383,5305.595744680851
s1423,845,1408,3387.68085106383,5305.595744680851
s1423a,847,1408,3387.68085106383,5305.595744680851
s1488,839,1570,3387.68085106383,5305.595744680851
s15850,9115,13422,3387.68085106383,5305.595744680851
s15850a,9117,13422,3387.68085106383,5305.595744680851
s27,23,29,3387.68085106383,5305.595744680851
s298,213,346,3387.68085106383,5305.595744680851
s344,222,334,3387.68085106383,5305.595744680851
s349,227,342,3387.68085106383,5305.595744680851
s35932,23963,37859,3387.68085106383,5305.595744680851
s382,285,450,3387.68085106383,5305.595744680851
s38417,23013,34466,3387.68085106383,5305.595744680851
s38584,22347,37194,3387.68085106383,5305.595744680851
s38584a,22347,37194,3387.68085106383,5305.595744680851
s386,239,423,3387.68085106383,5305.595744680851
s400,301,473,3387.68085106383,5305.595744680851
s420,324,486,3387.68085106383,5305.595744680851
s444,330,514,3387.68085106383,5305.595744680851
s510,376,573,3387.68085106383,5305.595744680851
s526,383,650,3387.68085106383,5305.595744680851
s526a,383,649,3387.68085106383,5305.595744680851
s5378,3375,4939,3387.68085106383,5305.595744680851
s5378a,3377,4939,3387.68085106383,5305.595744680851
s641,404,547,3387.68085106383,5305.595744680851
s713,415,572,3387.68085106383,5305.595744680851
s820,662,1114,3387.68085106383,5305.595744680851
s820a,662,1114,3387.68085106383,5305.595744680851
s832,672,1138,3387.68085106383,5305.595744680851
s832a,672,1138,3387.68085106383,5305.595744680851
s838,662,998,3387.68085106383,5305.595744680851
s9234,5101,7627,3387.68085106383,5305.595744680851
s9234a,5103,7627,3387.68085106383,5305.595744680851
s953,665,1023,3387.68085106383,5305.595744680851
s953a,665,1023,3387.68085106383,5305.595744680851
sasc,186,309,3387.68085106383,5305.595744680851
simple_spi,223,410,3387.68085106383,5305.595744680851
ss_pcm,73,123,3387.68085106383,5305.595744680851
systemcdes,181,316,3387.68085106383,5305.595744680851
usb_phy,519,905,3387.68085106383,5305.595744680851
