design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error,model,source_path
i2c,2,total_negative_slack_ns,288,-4.354144096374512,24.866077423095703,26.65896797180176,-33.42695617675781,0.0,-7.131219863891602,17.73485565185547,24.866077423095703,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
i2c,2,total_negative_slack_ns,288,0.0225351452827453,9.31692600250244,11.390660285949709,-33.42695617675781,0.0,-7.131219863891602,0.920964539051056,8.05218505859375,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s1196,1,total_negative_slack_ns,288,-1.106628656387329,3.810926675796509,4.207752227783203,-8.146805763244629,0.0,-2.3030331134796143,1.5078930854797363,3.810926675796509,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s1196,1,total_negative_slack_ns,288,0.9325122237205504,0.5833835005760193,0.7531277537345886,-8.146805763244629,0.0,-2.3030331134796143,-1.9247125387191768,0.3783208131790161,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s1196a,5,total_negative_slack_ns,288,-0.8358263969421387,3.263046264648437,3.748491525650024,-7.770129203796387,0.0,-2.162314414978028,1.1007322072982788,3.263046264648437,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s1196a,5,total_negative_slack_ns,288,0.8456599712371826,0.8991442918777466,1.0868761539459229,-7.770129203796387,0.0,-2.162314414978028,-2.081939220428467,0.0803749859333038,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s1196b,4,total_negative_slack_ns,288,-0.602807879447937,2.2768287658691406,3.5025267601013184,-7.770129203796387,0.0,-2.162314414978028,-0.0111479125916957,2.1511662006378174,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s1196b,4,total_negative_slack_ns,288,0.9666818976402284,0.4135426580905914,0.5049877166748047,-7.770129203796387,0.0,-2.162314414978028,-2.1976919174194336,-0.0353776738047599,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s1238,3,total_negative_slack_ns,288,-2.1607913970947266,5.447626113891602,5.714699745178223,-9.127351760864258,0.0,-2.787226438522339,2.660399436950684,5.447626113891602,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s1238,3,total_negative_slack_ns,288,0.8427069783210754,0.9965697526931764,1.2748240232467651,-9.127351760864258,0.0,-2.787226438522339,-2.1623501777648926,0.6248761415481567,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s1238a,2,total_negative_slack_ns,288,-1.6737737655639648,4.845342636108398,5.159797191619873,-8.9385986328125,0.0,-2.6519179344177246,2.193424701690674,4.845342636108398,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s1238a,2,total_negative_slack_ns,288,-0.2423703670501709,2.921299934387207,3.5171899795532227,-8.9385986328125,0.0,-2.6519179344177246,-1.0795689821243286,1.5723490715026855,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s13207,1,total_negative_slack_ns,288,-0.0883983373641967,37.290489196777344,57.740760803222656,-152.84768676757812,0.0,-39.19118118286133,-16.58341407775879,22.60776710510254,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s13207,1,total_negative_slack_ns,288,0.9853572845458984,5.135186195373535,6.697298049926758,-152.84768676757812,0.0,-39.19118118286133,-38.70671463012695,0.4844627380371094,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
s13207a,5,total_negative_slack_ns,288,-0.0224843025207519,34.44440460205078,51.33162689208984,-141.1276397705078,0.0,-34.330806732177734,-17.48857879638672,16.84222412109375,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s13207a,5,total_negative_slack_ns,288,0.9613879323005676,8.461287498474121,9.975126266479492,-141.1276397705078,0.0,-34.330806732177734,-42.56273651123047,-8.231931686401367,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_073\design_metrics.csv
