epoch,train_loss,train_mae,train_rmse,train_mape,train_r2,test_loss,test_mae,test_rmse,test_mape,test_r2,num_epochs,learning_rate,batch_size,weight_decay,loss_fn,target_name,target_transform,device,shuffle_training,hidden_dim,num_gat_layers,num_heads,dropout
1,0.4207041273632693,0.3282325536249176,0.4132262374303413,325.3821931566511,0.0025066733360290527,0.38663291338265743,0.3098945540213396,0.39029834090539695,120.82415111481197,0.06470131874084473,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
2,0.25581640135201195,0.23866939461893505,0.31062522480153876,290.15425288487995,0.43635237216949463,0.22010427257711335,0.2202769722641697,0.2808082408132562,181.3231578554426,0.5158537030220032,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
3,0.09799058596411395,0.1393228956453857,0.18511288418407434,324.60649036225817,0.7998260855674744,0.21488092925181493,0.21378002132451723,0.2750134117504951,226.3319287829929,0.535629391670227,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
4,0.07275454382899971,0.12156526105744499,0.15864313932993848,284.7107931621491,0.852979838848114,0.20760888039755324,0.20843511453223607,0.2702780297228302,219.1405427455902,0.5514835119247437,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
5,0.06214224175357866,0.1117881808784746,0.14619132046547484,268.44301749032644,0.8751531839370728,0.20740728025760738,0.20760048878571344,0.27039032975554955,219.45062435997858,0.5511107444763184,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
6,0.05261504015190497,0.10216527086283479,0.13444626637534748,226.00734238397507,0.8944078087806702,0.20434935415225539,0.2032975521500385,0.26896956969712893,206.1284623146057,0.5558156967163086,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
7,0.047674185714669644,0.0976565448892495,0.12785265866348985,251.47750977864342,0.9045109152793884,0.19260294718061766,0.19598302608799367,0.26040469425736856,201.2809960879977,0.5836538672447205,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
8,0.04219289425583113,0.0905995135239902,0.12027723861448425,257.47561091468447,0.9154913425445557,0.1872429509775617,0.1918760548301396,0.25650732239325275,197.6883521761213,0.5960232019424438,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
9,0.038882135317498255,0.0877034885306207,0.11541038763926625,215.68143724259875,0.9221920371055603,0.18266452120114413,0.18766934811950675,0.25356032035839393,196.23475053575305,0.6052523851394653,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
10,0.037495187550250976,0.08557092602409068,0.11335046010390423,225.34165998489138,0.9249448180198669,0.182606635355143,0.18693514447659254,0.25345222617368607,192.0241419701349,0.6055888533592224,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
11,0.035212590041319054,0.0832353744596716,0.10983013690009896,214.03693119684854,0.929534375667572,0.18320941453474382,0.1859464749753002,0.25410645289595324,190.39349546886626,0.6035500764846802,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
12,0.032280351811399065,0.07982176063316208,0.10513109741416006,222.7531140115526,0.9354350566864014,0.1754163372647276,0.17986514553841618,0.24856729580056305,178.84103133943347,0.6206458210945129,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
13,0.03168613803646867,0.0784230667151629,0.10419123082869093,221.0589320091974,0.9365843534469604,0.17690077614471583,0.18014834365910953,0.25003800574406315,180.92947199231102,0.6161434054374695,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
14,0.02924401977557748,0.07560129451846319,0.10006953030455894,180.5037994082012,0.9415023922920227,0.17567426628998614,0.1770894296896008,0.24897033917473485,171.8585946067931,0.6194145679473877,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
15,0.027557171563366577,0.07302730824680083,0.09715193412785966,187.77271778621372,0.9448637962341309,0.17488667026110408,0.176198086198715,0.24865609586331203,165.97757686887468,0.6203746795654297,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
16,0.026301479735781275,0.07184872671311336,0.09492663891771676,165.43255450233582,0.947360634803772,0.17991028913289367,0.17810809356530036,0.25262503850420553,170.4897266796657,0.608159065246582,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
17,0.02474197757519072,0.06934793127907647,0.09205610250865705,155.0055762851049,0.9504960775375366,0.1779095760901414,0.1752512896403907,0.2510697152428109,162.5652441713545,0.612969160079956,300,0.0001,32,0.0001,SmoothL1Loss,wns,none,cuda,True,32,2,4,0.1
